date_vente,isbn,quantite,prix_unitaire_eur,email_client,canal
2025-09-25,9780358023951,1,22.75,ines.bernard97@example.org,web
2025-10-24,9780739371077,1,5.36,hugo.lefebvre79@example.org,site
2026-05-19,9780297859390,1,29.15,arthur.michel32@example.org,boutique
2025-07-03,9791000000159,2,31.76,nathan.morel55@example.org,web
2026-06-22,9781471198144,1,24.23,nathan.lefebvre18@example.org,Magasin
2026-04-13,9781841593326,1,31.24,zoe.roux93@example.org,online
2026-04-07,9781433231933,2,30.83,arthur.lefebvre34@example.org,web
2025-11-19,9781432622459,2,21.65,hugo.laurent57@example.org,site
2025-10-29,9780872205925,1,36.11,lea.dubois20@example.org,web
2025-09-17,9781565843790,1,19.19,ines.leroy60@example.org,Magasin
2026-02-01,9781726017640,3,25.18,camille.fournier98@example.org,Magasin
2025-12-28,9780079131195,2,34.71,gabriel.leroy96@example.org,boutique
2025-11-17,9780809533756,1,18.27,jade.bertrand22@example.org,Magasin
2026-05-15,9781442006188,1,18.45,camille.bernard83@example.org,MP
2026-02-22,9781775415190,1,17.92,chloe.lefebvre42@example.org,STORE
2026-01-11,9780765316974,2,33.95,manon.fournier11@example.org,online
2026-04-03,9780843940008,0,16.89,lea.morel84@example.org,magasin
2025-11-04,9798618236188,2,26.5,hugo.dubois61@example.org,site
2025-10-20,9780963270702,1,31.65,louis.roux78@example.org,magasin
2025-09-22,9791000000899,1,24.99,theo.roux87@example.org,online
2025-10-10,9781408999011,1,33.9,hugo.bernard90@example.org,STORE
2026-05-04,9780224617253,1,39.33,jules.simon69@example.org,online
2025-08-05,9781984819574,1,4.95,gabriel.fournier63@example.org,site
2026-01-02,9780749391843,2,20.77,emma.michel23@example.org,STORE
2026-04-02,9786070793677,1,19.92,manon.simon32@example.org,site
2026-02-16,9781958943052,2,24.67,jade.simon4@example.org,Magasin
2025-10-02,9781421889276,1,32.74,ines.laurent77@example.org,en ligne
2026-03-22,9791000000729,1,13.04,gabriel.lefebvre72@example.org,boutique
2026-05-27,9788427298286,1,32.57,lea.laurent29@example.org,online
2025-12-04,9780198118244,1,21.25,lucas.michel96@example.org,en ligne
2026-02-18,9780263122169,1,12.66,chloe.simon16@example.org,boutique
2026-03-05,9780345301451,2,39.07,theo.bernard25@example.org,STORE
2025-09-30,9788427911758,1,23.41,manon.martin7@example.org,STORE
2025-09-03,9798417265099,2,21.88,camille.roux37@example.org,online
2025-12-22,9780671491758,3,13.44,arthur.bernard9@example.org,Magasin
2026-04-22,9789578278035,1,9.87,theo.bernard32@example.org,magasin
2026-01-30,978957467950X,1,26.39,jade.lefebvre57@example.org,STORE
2026-02-05,9781780318578,1,6.63,nathan.morel27@example.org,web
2025-08-11,9789022591932,1,24.04,louis.martin53@example.org,Magasin
2026-02-26,9780141378893,1,14.7,theo.bertrand59@example.org,site
2025-11-13,9781883217044,2,25.38,chloe.michel15@example.org,web
2025-11-14,9780071408691,1,6.61,theo.roux96@example.org,en ligne
2026-02-25,9780765314673,1,18.75,manon.leroy70@example.org,Magasin
2026-05-03,9781512157055,2,30.5,manon.martin12@example.org,boutique
2026-04-21,9798893310856,3,39.88,manon.roux6@example.org,marketplace
2026-05-30,9780812540116,3,10.92,gabriel.david63@example.org,magasin
2026-01-26,9781629376363,1,8.2,louis.simon53@example.org,Magasin
2026-01-22,9780671742881,2,5.8,lea.simon33@example.org,STORE
2026-01-23,9788501117687,1,39.48,zoe.michel7@example.org,boutique
2026-05-15,9781322110233,1,20.15,jules.moreau35@example.org,boutique
2026-02-10,9791000000029,1,8.8,hugo.bertrand21@example.org,MP
2026-04-09,978281120345X,1,39.63,nathan.lefebvre16@example.org,boutique
2025-11-27,9781975618674,2,19.21,arthur.lefebvre32@example.org,Magasin
2026-01-13,9780070441606,3,22.49,emma.fournier9@example.org,STORE
2026-01-29,9798475273906,3,22.47,camille.laurent93@example.org,en ligne
2026-04-23,9788432217456,1,9.76,arthur.simon43@example.org,online
2025-12-12,9780062839701,1,29.19,jade.moreau53@example.org,magasin
2026-02-28,9781957568225,3,18.0,emma.lefebvre5@example.org,boutique
2026-04-29,9781631619854,2,35.45,zoe.bernard68@example.org,Magasin
2025-09-12,9781439580721,2,38.84,lea.lefebvre34@example.org,STORE
2026-01-20,978006095685X,1,16.13,jade.simon81@example.org,online
2025-07-19,9780810997516,1,26.84,theo.moreau96@example.org,site
2025-08-20,9788440220677,1,35.39,zoe.dubois89@example.org,STORE
2025-07-24,9780131105409,2,14.89,lucas.michel19@example.org,marketplace
2026-04-16,9781691553822,2,10.52,lea.roux49@example.org,boutique
2026-04-25,9780141018980,1,27.08,zoe.laurent86@example.org,magasin
2026-02-24,9791000000249,1,23.85,lea.lefebvre45@example.org,en ligne
2026-02-03,9780860099697,1,34.42,chloe.michel62@example.org,site
2026-04-19,9780061285752,1,39.64,theo.martin85@example.org,Magasin
2026-04-16,9788501117687,1,30.86,jules.roux96@example.org,Magasin
2025-11-24,9780736423298,2,25.99,lucas.moreau82@example.org,web
2026-06-13,9783257208634,2,27.84,emma.david13@example.org,site
2026-02-11,9798212378338,1,30.43,lea.laurent42@example.org,Magasin
2025-09-06,9788418483448,1,38.89,manon.fournier22@example.org,STORE
2026-03-04,9791000000929,2,30.93,ines.morel15@example.org,MP
2025-09-11,9780380395606,3,34.95,jade.fournier72@example.org,MP
2026-01-19,9781532913686,1,8.88,lucas.david96@example.org,STORE
2026-05-23,9791000000649,1,28.39,arthur.martin80@example.org,STORE
2025-10-22,9786073814423,1,33.66,theo.david53@example.org,marketplace
2025-07-20,9781305639614,0,8.61,hugo.leroy18@example.org,Magasin
2026-06-09,9791000000749,2,37.99,gabriel.roux96@example.org,boutique
2026-06-01,9780313207693,2,26.29,manon.martin89@example.org,en ligne
2026-02-13,9791000000759,1,17.34,lucas.leroy83@example.org,STORE
2025-11-19,9788448034580,3,38.09,zoe.bernard85@example.org,boutique
2026-05-02,9791000000969,1,32.35,hugo.dubois73@example.org,web
2026-04-10,9781593974336,1,33.28,hugo.simon19@example.org,magasin
2025-09-13,9798893311020,1,32.77,nathan.david4@example.org,boutique
2025-10-30,9789993957720,1,10.67,jules.dubois95@example.org,Magasin
2025-08-02,9789353445416,1,17.32,nathan.lefebvre65@example.org,boutique
2025-07-23,9789000338658,2,35.19,theo.lefebvre83@example.org,marketplace
2026-03-03,9785557099196,1,28.79,arthur.bertrand57@example.org,magasin
2025-12-12,9780130853660,1,8.97,ines.michel77@example.org,en ligne
2026-05-06,9780823420278,1,29.34,chloe.michel58@example.org,boutique
2026-02-18,9788445007037,1,7.87,gabriel.simon86@example.org,STORE
2025-09-17,9798513996880,3,6.88,lea.bernard56@example.org,magasin
2026-01-07,9781595583260,1,6.62,ines.david16@example.org,online
2026-06-06,9791000000659,2,35.23,jules.laurent77@example.org,STORE
2026-04-22,9780786189694,1,27.75,hugo.fournier14@example.org,STORE
2026-01-05,9780575073241,2,24.82,gabriel.fournier72@example.org,site
2026-06-02,9780825616518,1,5.52,manon.bertrand98@example.org,en ligne
2025-12-27,9780072466652,1,9.57,jade.bernard19@example.org,place de marché
2025-07-16,9780263098839,2,12.12,gabriel.lefebvre44@example.org,web
2025-12-14,9781613822494,3,25.61,jules.dubois21@example.org,magasin
2025-11-17,9780843960044,1,21.69,zoe.michel35@example.org,web
2025-08-28,9781442472426,1,14.53,arthur.leroy86@example.org,en ligne
2026-01-19,9788417454432,1,11.74,chloe.morel18@example.org,STORE
2025-08-31,9780062019813,1,19.75,emma.michel69@example.org,boutique
2026-06-08,9780739371077,1,18.56,jules.michel3@example.org,Magasin
2025-12-08,9780297859390,1,18.82,gabriel.laurent15@example.org,MP
2025-12-14,9780061365515,2,26.38,lucas.bernard56@example.org,magasin
2026-04-28,9781857157246,1,18.51,theo.bertrand44@example.org,boutique
2025-09-25,9788499300023,1,8.54,chloe.morel45@example.org,STORE
2026-05-27,9798479401305,1,8.14,manon.moreau23@example.org,web
2026-06-01,9781408999011,1,31.86,arthur.lefebvre97@example.org,online
2026-04-16,9780747557777,1,26.61,ines.dubois57@example.org,site
2026-05-20,9780967162461,2,25.44,lucas.leroy10@example.org,STORE
2025-07-20,9783423763349,1,14.66,lea.roux77@example.org,Magasin
2026-04-10,9791000000799,2,36.21,zoe.morel74@example.org,boutique
2026-03-01,9780263102734,1,6.69,nathan.morel44@example.org,magasin
2025-09-27,9781512157055,1,20.0,zoe.leroy67@example.org,boutique
2025-11-22,9781440673641,1,16.48,jules.morel81@example.org,STORE
2025-08-18,9781250879530,1,14.56,emma.simon11@example.org,boutique
2025-12-06,9791000000929,1,27.94,emma.roux91@example.org,marketplace
2026-01-09,9780747557777,2,33.29,lea.david86@example.org,Magasin
2025-07-10,9798716103634,1,38.17,ines.morel63@example.org,boutique
2025-09-09,9781119621508,1,34.39,nathan.leroy99@example.org,magasin
2026-05-13,9780606404518,1,9.96,louis.fournier89@example.org,web
2025-07-23,9780300278576,1,29.97,zoe.roux37@example.org,online
2025-10-31,9789500417563,3,32.27,chloe.simon87@example.org,Magasin
2025-11-22,9781377100975,1,23.17,louis.fournier26@example.org,boutique
2025-07-27,9781974343539,1,17.64,nathan.bertrand67@example.org,site
2025-09-21,9783734163357,1,22.67,gabriel.bernard29@example.org,Magasin
2025-07-14,9781414340913,1,22.27,hugo.michel11@example.org,en ligne
2025-12-11,9791000000559,1,29.8,ines.morel19@example.org,boutique
2026-02-27,9780307741172,2,31.36,arthur.lefebvre79@example.org,magasin
2025-07-10,9785170912360,1,9.79,gabriel.bernard37@example.org,marketplace
2025-07-25,9788828350453,1,32.6,zoe.bernard15@example.org,Magasin
2025-07-09,9781504765145,1,13.06,emma.laurent55@example.org,magasin
2025-11-01,9798627159133,1,28.02,lea.leroy47@example.org,site
2026-04-05,9780786189694,2,22.47,camille.michel61@example.org,marketplace
2026-01-08,978083177404X,2,17.14,lea.simon31@example.org,site
2025-12-18,9780263784701,1,23.83,louis.fournier88@example.org,online
2026-03-03,9781529152975,1,9.27,zoe.martin38@example.org,marketplace
2025-10-11,9791000000089,1,37.54,jade.fournier70@example.org,Magasin
2026-05-28,9780070441606,1,35.02,jules.fournier84@example.org,STORE
2026-01-05,9780003303377,2,30.81,jade.simon24@example.org,Magasin
2026-01-05,9791000000489,2,13.94,lea.bertrand55@example.org,site
2025-10-01,9781417701155,1,8.13,ines.david38@example.org,STORE
2026-02-04,9791020900593,1,16.94,jules.bertrand46@example.org,Magasin
2025-07-30,9788476603819,1,18.88,louis.martin19@example.org,Magasin
2025-08-04,9780307394392,2,17.47,jade.roux5@example.org,boutique
2026-01-06,9780671746520,1,7.22,emma.leroy47@example.org,online
2025-11-20,9781535540124,3,5.42,louis.lefebvre67@example.org,Magasin
2025-08-30,9780060826086,2,29.42,chloe.roux37@example.org,place de marché
2026-03-09,9798618236188,1,34.69,zoe.dubois92@example.org,MP
2026-06-15,9791000000929,2,15.81,lucas.bertrand9@example.org,place de marché
2025-12-01,9780594091400,1,29.62,louis.morel47@example.org,boutique
2025-10-11,9788074770814,1,32.48,camille.simon71@example.org,STORE
2026-04-09,9780788729386,1,7.55,theo.michel92@example.org,Magasin
2026-01-26,9780263753820,1,8.94,ines.david10@example.org,Magasin
2026-03-22,9781409095484,1,33.85,louis.morel17@example.org,Magasin
2025-07-29,9780373114108,1,9.92,louis.dubois42@example.org,boutique
2026-03-23,9791000000179,1,7.29,chloe.david71@example.org,STORE
2025-12-03,9780525572923,1,22.29,louis.roux75@example.org,boutique
2026-05-16,9780349440187,3,16.45,jules.fournier4@example.org,magasin
2026-05-25,9780141394718,1,27.55,gabriel.roux82@example.org,magasin
2026-05-18,9781417701155,1,38.37,arthur.moreau88@example.org,Magasin
2025-08-07,9780765314673,1,20.06,arthur.lefebvre27@example.org,STORE
2025-12-08,9783893400614,2,30.49,lucas.michel17@example.org,en ligne
2025-08-24,9798352831533,1,8.84,zoe.moreau19@example.org,magasin
2026-01-13,9780750503075,1,13.29,louis.fournier42@example.org,STORE
2025-09-20,9780425104347,0,21.03,theo.lefebvre3@example.org,magasin
2026-03-16,9780451168283,3,12.12,lucas.martin7@example.org,MP
2026-05-31,9798515079307,1,23.5,nathan.michel18@example.org,STORE
2026-01-23,9781480342187,1,6.31,chloe.simon71@example.org,en ligne
2026-03-16,9789999589604,2,14.4,nathan.dubois13@example.org,Magasin
2025-12-21,9781250879530,3,31.23,chloe.roux66@example.org,Magasin
2025-07-24,9780563524922,1,16.29,arthur.leroy59@example.org,boutique
2026-03-21,9780061244650,1,26.2,louis.michel79@example.org,en ligne
2026-03-17,9788374801171,1,21.84,theo.lefebvre3@example.org,STORE
2025-08-26,978038049668X,1,32.71,camille.roux61@example.org,STORE
2026-04-23,9781536435078,1,6.32,arthur.dubois68@example.org,place de marché
2026-01-11,9780307815651,2,13.07,nathan.moreau3@example.org,online
2025-09-16,9786073108409,1,19.03,arthur.fournier95@example.org,magasin
2026-03-23,9781593974336,1,39.83,arthur.leroy49@example.org,en ligne
2026-02-21,9791000000369,1,23.84,manon.roux62@example.org,marketplace
2025-11-20,9781250879530,1,37.83,theo.morel37@example.org,place de marché
2026-06-26,9788466642613,1,16.85,manon.laurent16@example.org,Magasin
2026-01-19,9786051719092,1,31.87,emma.laurent6@example.org,en ligne
2025-08-10,9781476873626,3,27.72,arthur.moreau26@example.org,place de marché
2026-04-14,9780307741172,1,8.37,hugo.moreau7@example.org,boutique
2025-07-27,9780804168441,1,29.89,nathan.david99@example.org,web
2026-04-08,9791000000539,1,27.61,arthur.lefebvre84@example.org,boutique
2025-11-25,9789794130834,1,6.59,lea.david74@example.org,web
2025-07-20,9791000000379,3,19.29,louis.martin51@example.org,Magasin
2025-11-26,9781400142866,1,15.06,nathan.simon37@example.org,Magasin
2026-04-05,9780263775051,1,37.73,zoe.laurent25@example.org,marketplace
2026-02-20,9786073814423,1,11.09,ines.morel38@example.org,boutique
2026-05-24,9791000000199,1,19.64,ines.bernard52@example.org,magasin
2025-09-10,9780763603519,1,13.28,manon.michel31@example.org,Magasin
2025-12-16,9788427911758,1,24.78,manon.david47@example.org,web
2025-08-30,9780963270702,1,18.85,theo.bertrand16@example.org,STORE
2025-10-22,9781408998465,3,21.43,zoe.bertrand78@example.org,STORE
2026-04-08,9791000000369,1,23.53,chloe.morel32@example.org,magasin
2026-03-28,9798791612762,1,36.97,nathan.martin71@example.org,boutique
2025-09-15,9781915593009,1,22.92,nathan.david27@example.org,Magasin
2026-03-19,9781433231933,2,20.55,gabriel.lefebvre73@example.org,magasin
2026-06-10,9783453161818,1,5.27,manon.fournier1@example.org,boutique
2025-07-24,9780256234787,1,6.76,jules.bernard61@example.org,magasin
2025-10-01,9781419772955,1,27.21,gabriel.simon49@example.org,Magasin
2026-01-10,9781534487673,1,38.63,emma.david45@example.org,site
2026-04-02,978006024803X,1,30.27,hugo.fournier1@example.org,magasin
2026-02-23,9780590113076,2,19.51,jade.fournier30@example.org,marketplace
2025-09-18,9788501110008,1,35.48,nathan.martin85@example.org,Magasin
2025-07-09,9788324592838,1,8.07,jules.lefebvre77@example.org,site
2025-07-23,9781108057875,1,23.61,jules.dubois65@example.org,STORE
2026-04-21,9798352831533,1,31.85,ines.moreau39@example.org,boutique
2026-03-24,9780061739590,1,14.24,louis.david87@example.org,MP
2025-07-25,9791000000979,1,27.27,jade.morel68@example.org,STORE
2026-01-26,9783464107676,1,11.01,arthur.moreau29@example.org,en ligne
2025-09-12,9780739371077,1,6.54,gabriel.michel72@example.org,web
2025-11-08,9780545541251,1,7.3,zoe.fournier48@example.org,magasin
2025-10-06,9781548261887,1,28.35,jules.fournier10@example.org,boutique
2026-04-27,9780316310420,1,12.18,chloe.fournier43@example.org,en ligne
2025-07-08,9780356502571,3,38.56,nathan.bertrand97@example.org,MP
2026-06-22,9789144023649,2,18.54,hugo.leroy42@example.org,MP
2026-03-31,9780131272866,1,13.76,arthur.lefebvre13@example.org,Magasin
2025-12-11,9791000000389,1,15.58,jules.roux29@example.org,web
2026-04-10,9791000000599,1,29.99,theo.dubois26@example.org,STORE
2026-04-18,9780007354733,1,23.99,ines.laurent98@example.org,Magasin
2026-05-25,9780216897984,1,10.46,lucas.dubois18@example.org,place de marché
2025-10-03,9791000000409,2,39.56,jules.leroy5@example.org,magasin
2026-06-08,9780007493579,2,19.1,hugo.bernard91@example.org,marketplace
2026-03-16,9789710843480,1,26.37,arthur.david63@example.org,magasin
2026-04-09,9789812340931,1,23.24,manon.leroy37@example.org,magasin
2026-06-23,9780312856830,1,37.77,louis.bernard13@example.org,boutique
2026-05-14,9786155514142,1,17.05,jade.bernard48@example.org,Magasin
2025-11-02,9780224618144,1,28.72,lea.david84@example.org,magasin
2026-01-11,9781481428149,1,6.49,camille.bertrand22@example.org,magasin
2026-02-08,9780756992248,2,24.53,nathan.leroy6@example.org,boutique
2026-06-20,9791000000099,1,14.1,lea.david36@example.org,magasin
2025-12-09,9782266208178,3,25.28,jade.bernard39@example.org,boutique
2026-04-17,9788491052371,2,28.47,ines.michel97@example.org,boutique
2026-06-18,9780316310420,1,30.89,lucas.martin13@example.org,online
2025-08-08,9798475273906,1,26.23,jade.morel42@example.org,magasin
2026-02-16,9780143566526,1,24.08,jade.michel24@example.org,online
2026-05-13,9798688109153,2,29.74,lea.laurent20@example.org,Magasin
2026-05-21,9788381351881,2,15.71,nathan.bernard1@example.org,en ligne
2025-11-16,9788494945786,1,11.13,zoe.leroy72@example.org,Magasin
2025-08-15,9781976709135,1,25.63,ines.fournier50@example.org,magasin
2026-01-15,9780008115456,1,36.4,hugo.roux67@example.org,boutique
2025-09-25,9789994714094,1,14.0,emma.bernard22@example.org,online
2025-12-01,9780263118124,2,17.28,hugo.bertrand81@example.org,Magasin
2025-10-09,9780451168283,1,15.28,jade.simon80@example.org,Magasin
2025-12-16,9781306337564,1,33.37,emma.laurent42@example.org,web
2025-09-29,9791000000899,1,15.8,arthur.roux32@example.org,STORE
2026-01-18,9788402092014,1,24.46,louis.david99@example.org,magasin
2026-02-22,9791000000679,2,20.02,theo.fournier89@example.org,marketplace
2026-01-26,9780590113076,1,26.92,hugo.laurent85@example.org,web
2026-01-10,9789388144346,1,25.67,jade.leroy65@example.org,online
2026-01-01,9783548362595,2,23.51,lea.bernard99@example.org,boutique
2025-12-29,9791020900593,1,6.07,jade.morel43@example.org,online
2025-08-20,9781957635002,1,30.94,hugo.lefebvre48@example.org,Magasin
2026-06-13,9789993957720,1,9.84,camille.lefebvre14@example.org,STORE
2025-08-13,9789367901229,2,30.35,lucas.laurent44@example.org,Magasin
2026-03-24,9780451493835,1,7.96,zoe.simon9@example.org,en ligne
2026-06-29,9780575073241,1,16.64,nathan.david22@example.org,boutique
2026-04-09,9780590411011,1,19.59,zoe.moreau52@example.org,boutique
2026-06-02,9781444833386,1,30.6,chloe.lefebvre76@example.org,Magasin
2026-06-26,9781071068403,1,31.13,lea.roux14@example.org,boutique
2025-10-09,9780451168283,1,28.24,arthur.leroy82@example.org,STORE
2026-05-09,9780230015760,1,16.82,zoe.roux23@example.org,STORE
2026-04-29,9781574535587,1,15.59,hugo.laurent15@example.org,marketplace
2025-09-11,9780671827038,1,25.61,jade.michel24@example.org,Magasin
2026-06-21,9791000000439,1,39.9,louis.lefebvre37@example.org,web
2026-02-16,9785553671754,1,17.21,camille.lefebvre18@example.org,boutique
2026-04-14,9788440672599,1,18.98,arthur.michel91@example.org,online
2025-08-12,9780862416041,1,31.44,theo.martin36@example.org,boutique
2025-09-25,9780241753859,1,30.79,arthur.leroy66@example.org,magasin
2025-11-15,9786070793677,1,39.58,jules.morel93@example.org,Magasin
2026-02-03,9788494945786,2,27.64,hugo.laurent5@example.org,Magasin
2025-08-14,9781435336667,2,8.66,hugo.moreau95@example.org,STORE
2026-05-09,9781504765145,1,26.31,chloe.fournier27@example.org,site
2026-03-30,9781436253796,1,10.46,theo.laurent74@example.org,STORE
2026-03-21,9791000000239,1,7.87,gabriel.martin36@example.org,place de marché
2025-09-06,9781535540124,1,15.9,hugo.morel87@example.org,Magasin
2026-04-22,9781504765145,1,19.16,zoe.bernard82@example.org,magasin
2025-11-20,9781497303881,3,17.57,arthur.simon75@example.org,magasin
2025-08-17,9780807275122,3,26.97,lucas.fournier9@example.org,online
2026-02-05,9781957464176,1,14.01,theo.simon71@example.org,boutique
2026-03-06,9781094048994,1,28.66,jules.martin13@example.org,Magasin
2025-09-19,9780425029459,1,39.61,gabriel.moreau89@example.org,boutique
2025-12-02,9780263762495,2,35.53,lea.david47@example.org,en ligne
2026-06-06,9791000000279,1,6.33,theo.bertrand90@example.org,boutique
2025-08-16,9798791612762,1,12.06,lea.dubois76@example.org,boutique
2026-02-13,9783499174766,1,16.66,nathan.fournier55@example.org,boutique
2025-10-26,9798532977518,1,33.03,nathan.simon48@example.org,STORE
2025-09-07,9781974343539,0,9.56,camille.roux84@example.org,boutique
2025-10-18,9780811806404,2,37.06,zoe.fournier28@example.org,magasin
2025-09-10,9780984358137,1,30.34,lucas.michel41@example.org,web
2026-05-27,9781574535587,1,25.78,theo.morel89@example.org,magasin
2026-06-03,9781984842305,1,22.83,chloe.bertrand51@example.org,en ligne
2025-10-31,9788447369225,1,13.03,lea.leroy2@example.org,en ligne
2025-09-06,9781440673641,2,24.62,lucas.leroy88@example.org,marketplace
2025-08-07,9780898796827,1,4.99,chloe.martin8@example.org,online
2026-05-18,9780140209723,1,19.21,jade.bernard82@example.org,boutique
2025-12-06,9789584275097,1,11.69,emma.leroy42@example.org,Magasin
2026-05-29,9780061351426,1,15.48,gabriel.bertrand31@example.org,magasin
2026-02-08,9789367901229,1,26.05,theo.david95@example.org,boutique
2026-06-28,9780449908587,2,10.3,lucas.leroy67@example.org,STORE
2025-09-03,9781424231355,2,14.01,nathan.morel4@example.org,STORE
2025-11-17,9780263775051,1,29.72,lea.lefebvre59@example.org,en ligne
2026-04-17,9791020900593,1,13.53,nathan.roux87@example.org,magasin
2026-03-18,9781119251736,1,35.05,hugo.martin61@example.org,STORE
2025-09-15,9782226018052,3,34.85,gabriel.moreau42@example.org,boutique
2025-12-11,9780263122169,2,24.73,nathan.leroy87@example.org,magasin
2026-03-22,9781476878584,3,6.94,zoe.fournier37@example.org,STORE
2026-04-10,9780449024959,1,11.6,theo.bertrand80@example.org,boutique
2026-04-29,9791000000979,1,31.85,chloe.bertrand70@example.org,boutique
2026-01-26,9784871877664,1,16.76,camille.simon1@example.org,Magasin
2025-12-05,9798454025748,1,39.3,gabriel.lefebvre8@example.org,web
2025-08-17,9780333675182,3,36.26,gabriel.bertrand48@example.org,online
2025-08-13,9780063429147,1,9.23,jade.bernard76@example.org,place de marché
2026-06-05,9791000000899,1,14.83,ines.morel51@example.org,STORE
2025-11-17,9780373833740,1,11.68,nathan.dubois14@example.org,boutique
2025-12-08,9781335468437,1,17.18,chloe.lefebvre40@example.org,Magasin
2025-08-31,9780757910869,1,28.79,jules.moreau42@example.org,boutique
2025-11-05,9791000000939,1,22.68,theo.laurent23@example.org,magasin
2026-02-17,9789583004506,2,13.34,zoe.bernard18@example.org,marketplace
2025-10-22,9798893311020,1,18.68,lea.roux76@example.org,STORE
2025-08-08,9780553902716,0,11.5,zoe.morel17@example.org,marketplace
2025-12-17,9780792483809,1,20.82,louis.roux56@example.org,place de marché
2025-07-16,9780575085688,1,10.62,chloe.dubois36@example.org,STORE
2025-09-15,9780380821099,1,26.34,theo.lefebvre53@example.org,Magasin
2025-11-21,9798532977518,1,11.56,hugo.david70@example.org,magasin
2025-12-31,9781695322240,1,21.66,ines.michel35@example.org,marketplace
2026-05-02,9781408998465,1,33.2,manon.martin61@example.org,STORE
2025-10-28,9791000000999,1,13.27,hugo.laurent69@example.org,site
2025-10-21,9780297859390,2,32.73,lucas.fournier23@example.org,web
2025-12-10,9780739371077,2,17.2,camille.bertrand90@example.org,STORE
2026-04-15,9780263137958,1,11.16,arthur.leroy40@example.org,marketplace
2025-08-16,9780373110926,1,12.25,arthur.martin43@example.org,boutique
2025-12-22,9781679583353,1,32.91,ines.martin3@example.org,web
