date;code_isbn;nb;prix;mail;canal;commentaire
22-09-2025;9780545926751;2;26,69;louis.martin11@example.org;magasin;
27-09-2025;9785553671754;3;21,16;arthur.laurent83@example.org;MP;client fidèle
31-05-2026;9780198118244;2;16,32;hugo.fournier77@example.org;online;commande spéciale
17-02-2026;9780061895968;1;33,93;louis.simon20@example.org;Magasin;
14-06-2026;9780394299877;2;13,63;louis.martin37@example.org;site;commande spéciale
27-08-2025;9780263782011;2;11,98;theo.martin88@example.org;STORE;RAS
05-10-2025;9788828350453;1;32,15;hugo.fournier57@example.org;Magasin;client fidèle
19-01-2026;9781449486792;1;32,23;zoe.michel69@example.org;site;commande spéciale
09-01-2026;9780072957549;3;34,15;ines.simon64@example.org;site;client fidèle
20-02-2026;9780575042681;1;6,14;lucas.leroy39@example.org;online;RAS
10-08-2025;9798625352550;1;26,17;jules.moreau44@example.org;Magasin;commande spéciale
24-07-2025;9780312856830;1;13,54;ines.martin73@example.org;Magasin;
10-11-2025;9781850180005;2;15,73;zoe.bertrand76@example.org;magasin;RAS
29-08-2025;9780757910869;1;6,51;lucas.morel89@example.org;magasin;
06-11-2025;9780300278576;1;36,26;ines.roux29@example.org;marketplace;commande spéciale
30-12-2025;9780071408691;1;8,67;chloe.martin85@example.org;Magasin;RAS
10-10-2025;9780679803072;1;37,67;camille.morel6@example.org;web;
31-01-2026;9780062225719;1;26,31;arthur.david18@example.org;magasin;commande spéciale
17-12-2025;9780550200686;1;10,3;arthur.morel71@example.org;magasin;RAS
11-09-2025;9791000000939;1;31,36;theo.lefebvre88@example.org;en ligne;client fidèle
03-04-2026;9780356232928;1;18,19;theo.dubois75@example.org;web;commande spéciale
23-08-2025;9782266227049;2;37,03;arthur.morel24@example.org;marketplace;RAS
10-08-2025;9780881039108;1;16,39;jules.morel35@example.org;STORE;
15-05-2026;9781804992326;2;19,5;gabriel.roux65@example.org;online;client fidèle
04-04-2026;9780061556746;1;21,16;theo.laurent43@example.org;STORE;commande spéciale
28-11-2025;9791000000919;1;14,33;nathan.roux18@example.org;web;
02-07-2025;9780099558781;1;25,81;louis.bertrand59@example.org;STORE;RAS
02-08-2025;978030747249X;1;13,39;hugo.leroy78@example.org;site;
20-11-2025;9780606374224;3;14,64;theo.lefebvre78@example.org;boutique;
08-06-2026;9780263782011;1;37,11;lea.simon53@example.org;Magasin;commande spéciale
06-09-2025;9783548362595;3;35,22;jules.morel60@example.org;magasin;commande spéciale
19-12-2025;9781974052264;1;5,57;ines.moreau14@example.org;online;
27-06-2026;9798893311020;1;37,2;hugo.moreau7@example.org;boutique;
11-06-2026;9798737952464;2;36,84;arthur.bernard69@example.org;online;client fidèle
21-09-2025;9788804507727;1;35,38;lucas.michel25@example.org;site;
23-08-2025;9798893311020;1;11,92;camille.lefebvre70@example.org;web;RAS
07-03-2026;9788835161189;2;6,18;jade.michel10@example.org;STORE;
30-11-2025;9780205176076;1;22,58;jade.michel30@example.org;en ligne;
28-06-2026;9780007354733;1;23,01;camille.dubois81@example.org;boutique;
08-08-2025;9791000000629;1;27,96;jade.michel75@example.org;magasin;client fidèle
09-12-2025;9788491052371;3;14,15;theo.dubois69@example.org;place de marché;client fidèle
20-06-2026;9780749459116;1;14,64;jules.simon20@example.org;site;client fidèle
08-06-2026;9788492412402;2;10,43;zoe.bernard94@example.org;boutique;
20-09-2025;9791000000419;1;35,21;jade.leroy56@example.org;STORE;commande spéciale
12-02-2026;9791000000539;2;21,51;jade.dubois55@example.org;STORE;client fidèle
12-09-2025;9789715502016;1;17,91;camille.bertrand32@example.org;boutique;client fidèle
05-03-2026;9780060829575;1;33,92;zoe.bernard96@example.org;magasin;RAS
06-06-2026;9781559343602;1;12,35;lucas.fournier97@example.org;STORE;RAS
23-12-2025;9791000000139;1;11,33;emma.fournier58@example.org;Magasin;client fidèle
19-07-2025;9780373110926;1;12,04;lucas.bertrand75@example.org;online;
03-09-2025;9780736423298;1;30,89;emma.dubois71@example.org;STORE;
15-02-2026;9791000000469;3;15,55;louis.morel33@example.org;site;commande spéciale
17-09-2025;9781631619854;1;14,78;gabriel.leroy78@example.org;web;client fidèle
16-02-2026;9791000000149;3;20,72;jules.laurent14@example.org;marketplace;RAS
12-04-2026;9782265077249;2;6,95;gabriel.david37@example.org;Magasin;client fidèle
21-02-2026;9780061451652;1;34,29;ines.michel78@example.org;site;RAS
20-11-2025;9780736614818;1;36,28;gabriel.lefebvre96@example.org;boutique;commande spéciale
30-06-2026;9788191032406;1;7,0;louis.laurent70@example.org;STORE;client fidèle
24-02-2026;9791000000429;1;5,53;gabriel.dubois31@example.org;STORE;RAS
25-04-2026;9780749459116;1;34,3;louis.michel36@example.org;marketplace;RAS
13-07-2025;9780393966435;1;15,94;jules.bernard17@example.org;magasin;client fidèle
03-11-2025;9780297859390;1;29,06;hugo.bertrand65@example.org;Magasin;client fidèle
09-01-2026;9780071332484;1;13,27;gabriel.leroy80@example.org;magasin;
07-04-2026;9786070793677;0;5,85;camille.bernard47@example.org;boutique;commande spéciale
21-11-2025;9780151189786;2;16,04;zoe.martin17@example.org;Magasin;commande spéciale
19-03-2026;9780072957549;1;39,83;jade.simon78@example.org;Magasin;client fidèle
05-01-2026;9788408282952;1;25,08;theo.simon64@example.org;en ligne;
10-05-2026;9780792443483;1;17,52;ines.simon84@example.org;boutique;client fidèle
15-01-2026;9781955876162;1;26,86;zoe.bernard39@example.org;en ligne;client fidèle
24-11-2025;9791000000209;1;12,44;lucas.dubois89@example.org;en ligne;
05-06-2026;9791000000199;1;33,14;jules.lefebvre86@example.org;boutique;commande spéciale
08-08-2025;9780141378480;1;7,91;lea.roux81@example.org;web;RAS
08-01-2026;9788481096156;1;14,97;emma.martin27@example.org;magasin;RAS
06-06-2026;9781725530911;1;18,15;manon.lefebvre26@example.org;site;commande spéciale
07-04-2026;9780593109069;1;6,51;lucas.david31@example.org;boutique;client fidèle
16-08-2025;9780679728054;1;39,62;theo.martin95@example.org;web;RAS
09-02-2026;9780373833740;1;34,08;camille.roux33@example.org;magasin;RAS
15-08-2025;9780708313503;1;5,87;louis.simon62@example.org;STORE;client fidèle
01-08-2025;9798417660092;1;37,25;arthur.roux33@example.org;magasin;RAS
01-06-2026;9780140281118;3;16,0;gabriel.martin12@example.org;magasin;client fidèle
28-08-2025;9780545541251;2;30,73;hugo.laurent65@example.org;place de marché;RAS
05-08-2025;9798855127560;1;31,66;gabriel.bertrand23@example.org;Magasin;
29-01-2026;9789024512799;1;12,97;emma.bernard99@example.org;magasin;client fidèle
23-09-2025;9785553671754;1;29,13;chloe.leroy11@example.org;boutique;commande spéciale
26-11-2025;9788417347970;2;24,34;louis.roux68@example.org;magasin;RAS
27-05-2026;9780263775570;2;24,98;gabriel.laurent47@example.org;boutique;
20-04-2026;9780547524009;1;35,26;jules.leroy20@example.org;magasin;
07-10-2025;9789794130834;1;24,38;chloe.bernard57@example.org;web;RAS
06-02-2026;9791000000039;2;18,61;jules.laurent92@example.org;magasin;RAS
13-08-2025;9798585573934;2;12,2;lea.roux15@example.org;place de marché;
03-03-2026;9780996487191;1;33,29;camille.bernard31@example.org;web;RAS
12-07-2025;9780898451429;2;13,32;manon.roux48@example.org;online;RAS
10-03-2026;9788499300023;1;22,88;jade.simon8@example.org;Magasin;client fidèle
26-06-2026;9788381351881;1;34,93;zoe.dubois29@example.org;magasin;client fidèle
15-10-2025;9798596021639;1;34,07;arthur.david65@example.org;site;
09-06-2026;9780785744580;3;6,44;zoe.fournier4@example.org;boutique;
20-04-2026;9781568955575;1;31,81;jules.michel52@example.org;online;RAS
24-12-2025;9780393656435;1;18,75;jade.michel88@example.org;boutique;commande spéciale
09-09-2025;9781432622459;1;28,93;jules.martin64@example.org;site;client fidèle
10-12-2025;9781442486126;2;32,16;arthur.fournier9@example.org;en ligne;RAS
13-04-2026;9780155826083;1;10,96;theo.moreau4@example.org;online;client fidèle
31-03-2026;9781377100975;1;14,6;chloe.roux84@example.org;boutique;
19-12-2025;9780708883587;2;34,26;arthur.dubois19@example.org;STORE;client fidèle
20-06-2026;9780593109069;1;23,98;ines.bertrand36@example.org;MP;RAS
27-08-2025;9780356502571;1;8,55;gabriel.morel4@example.org;boutique;RAS
23-03-2026;9783893400614;1;31,09;gabriel.lefebvre70@example.org;place de marché;RAS
07-04-2026;9781534431010;1;18,53;chloe.dubois31@example.org;place de marché;client fidèle
10-11-2025;9781497303881;1;13,54;lucas.leroy40@example.org;Magasin;client fidèle
18-11-2025;9781727208351;1;21,48;manon.bernard51@example.org;boutique;client fidèle
15-08-2025;9798893311020;1;12,57;zoe.simon45@example.org;boutique;RAS
04-03-2026;9788420683324;1;13,71;theo.martin66@example.org;magasin;commande spéciale
15-11-2025;978083177404X;2;17,59;louis.leroy15@example.org;STORE;commande spéciale
25-06-2026;9780460116947;2;7,07;jade.bernard14@example.org;en ligne;
16-07-2025;9780373300693;1;17,78;lea.leroy78@example.org;boutique;RAS
12-07-2025;9781617807558;1;16,53;manon.michel45@example.org;STORE;
20-01-2026;9781534438545;3;17,94;manon.fournier30@example.org;Magasin;RAS
14-11-2025;9783453161818;1;14,77;manon.david88@example.org;STORE;
21-12-2025;9785557099196;1;28,38;gabriel.martin2@example.org;boutique;client fidèle
14-08-2025;9781101137833;1;19,14;emma.dubois64@example.org;marketplace;client fidèle
25-03-2026;9780812992182;2;21,19;manon.david17@example.org;place de marché;commande spéciale
13-02-2026;9780001711129;2;11,85;hugo.leroy48@example.org;magasin;client fidèle
14-12-2025;9780151189786;1;20,46;chloe.laurent4@example.org;place de marché;
13-08-2025;9781335468437;1;36,6;jules.leroy15@example.org;site;client fidèle
20-06-2026;9780451628800;1;36,06;camille.moreau36@example.org;STORE;RAS
05-10-2025;9781561037629;2;21,27;zoe.martin2@example.org;Magasin;commande spéciale
07-03-2026;9791000000529;1;29,72;ines.bertrand16@example.org;STORE;
01-05-2026;9791000000799;1;14,59;jade.michel74@example.org;en ligne;commande spéciale
13-08-2025;9781449486792;2;21,35;lucas.fournier56@example.org;boutique;commande spéciale
25-09-2025;9781534438545;1;4,92;gabriel.bertrand92@example.org;magasin;
14-02-2026;9780241573754;1;20,82;theo.bertrand97@example.org;en ligne;client fidèle
28-10-2025;9789868856097;1;33,39;chloe.leroy30@example.org;boutique;
21-03-2026;978957467950X;1;7,72;jules.martin12@example.org;Magasin;commande spéciale
11-04-2026;9791000000919;3;8,94;theo.david84@example.org;STORE;commande spéciale
08-08-2025;9798669140557;2;5,95;manon.fournier73@example.org;STORE;client fidèle
16-08-2025;978030747249X;3;14,71;hugo.simon92@example.org;STORE;client fidèle
04-04-2026;9798855127560;1;21,61;arthur.bertrand46@example.org;online;client fidèle
20-04-2026;9780393963298;1;11,87;emma.michel42@example.org;online;RAS
19-02-2026;9791000000759;2;7,89;lea.simon67@example.org;boutique;
03-08-2025;9780343038007;1;39,47;zoe.martin87@example.org;en ligne;RAS
02-07-2025;9781421889276;2;8,78;gabriel.bernard10@example.org;STORE;commande spéciale
09-11-2025;9798561631788;1;27,5;nathan.roux65@example.org;marketplace;commande spéciale
22-04-2026;9780451168283;1;15,24;theo.fournier63@example.org;boutique;client fidèle
09-06-2026;9780517202753;3;34,87;ines.bertrand24@example.org;marketplace;RAS
08-06-2026;9780451493835;3;24,31;arthur.lefebvre1@example.org;magasin;client fidèle
13-04-2026;9791000000099;1;9,7;hugo.dubois43@example.org;magasin;commande spéciale
29-05-2026;9789000338658;2;33,82;louis.morel22@example.org;Magasin;client fidèle
26-04-2026;9780061550676;1;28,07;gabriel.bertrand3@example.org;boutique;client fidèle
01-01-2026;9791000000349;2;11,7;chloe.fournier74@example.org;STORE;
26-01-2026;9781597223072;1;33,71;emma.bernard99@example.org;magasin;
05-10-2025;9780316479264;0;21,22;camille.lefebvre6@example.org;web;commande spéciale
01-08-2025;9780263775570;1;31,11;gabriel.bertrand91@example.org;Magasin;RAS
23-04-2026;9780805013344;1;22,15;jules.roux66@example.org;web;RAS
16-11-2025;9780393656435;1;29,11;gabriel.lefebvre93@example.org;STORE;RAS
26-01-2026;9791000000589;1;26,3;lucas.martin61@example.org;STORE;client fidèle
15-11-2025;9781595583260;1;15,71;emma.michel61@example.org;online;client fidèle
19-11-2025;9780263130249;2;22,55;nathan.lefebvre76@example.org;STORE;commande spéciale
22-04-2026;9781470825553;1;37,05;jules.moreau40@example.org;STORE;RAS
15-09-2025;9780446511070;1;39,01;jade.roux29@example.org;site;client fidèle
16-01-2026;9780198118244;3;13,55;louis.simon57@example.org;boutique;
10-05-2026;9791000000349;2;5,67;zoe.morel34@example.org;magasin;
25-10-2025;9780136054054;1;22,73;emma.david20@example.org;en ligne;commande spéciale
03-03-2026;9781690319849;1;16,63;chloe.lefebvre98@example.org;magasin;client fidèle
31-12-2025;9780749459116;2;11,93;gabriel.roux27@example.org;boutique;RAS
08-02-2026;9780736614016;1;13,63;emma.leroy46@example.org;Magasin;client fidèle
24-03-2026;9780736614016;1;36,19;hugo.lefebvre87@example.org;boutique;RAS
23-04-2026;9781593974336;1;12,75;hugo.bertrand61@example.org;magasin;
20-06-2026;9780575105843;1;27,69;manon.martin27@example.org;Magasin;RAS
10-10-2025;9780070441606;1;31,46;nathan.david81@example.org;boutique;
04-01-2026;9788445007037;1;38,78;emma.simon83@example.org;Magasin;RAS
17-05-2026;9791000000469;1;20,95;zoe.bernard76@example.org;en ligne;
17-06-2026;9783442457472;1;38,11;jade.leroy3@example.org;online;commande spéciale
27-06-2026;9780450055492;1;30,27;emma.bernard48@example.org;Magasin;RAS
03-04-2026;9788498723533;1;26,47;louis.michel38@example.org;site;
13-09-2025;9789578278035;2;11,52;gabriel.leroy68@example.org;STORE;RAS
12-11-2025;9789333394918;3;23,13;chloe.david74@example.org;site;RAS
19-02-2026;9781974052264;3;21,09;chloe.david28@example.org;magasin;
12-07-2025;9780655672241;1;25,52;lucas.morel75@example.org;online;
02-01-2026;9781653656752;1;28,75;camille.dubois43@example.org;marketplace;RAS
08-02-2026;9781400142866;3;27,49;jade.david86@example.org;magasin;commande spéciale
20-02-2026;9781844135844;0;22,0;arthur.bernard39@example.org;Magasin;RAS
13-04-2026;9780697034342;1;26,29;camille.moreau68@example.org;STORE;commande spéciale
14-09-2025;9780263758993;1;10,48;nathan.simon46@example.org;Magasin;client fidèle
12-06-2026;9780812540116;1;24,78;gabriel.moreau77@example.org;STORE;
02-05-2026;9780142423295;1;24,19;lucas.simon96@example.org;en ligne;RAS
08-02-2026;9780008115456;1;17,53;lea.lefebvre8@example.org;Magasin;commande spéciale
28-07-2025;9780862201234;2;7,72;emma.bertrand60@example.org;boutique;RAS
09-01-2026;9780061739590;1;38,94;lucas.bertrand50@example.org;Magasin;client fidèle
26-06-2026;9780071408691;1;38,03;chloe.laurent65@example.org;Magasin;RAS
18-10-2025;9789643114190;3;19,58;jade.martin13@example.org;magasin;RAS
06-07-2025;9788427911758;1;19,75;camille.bertrand57@example.org;boutique;
17-09-2025;9780373104420;1;37,21;zoe.morel99@example.org;place de marché;client fidèle
18-05-2026;9780099558781;1;21,1;lucas.roux47@example.org;en ligne;client fidèle
06-02-2026;9788804686521;1;33,39;camille.roux26@example.org;Magasin;client fidèle
29-01-2026;9788374805568;3;31,8;lucas.david72@example.org;magasin;
27-12-2025;9781433207938;1;13,24;manon.michel56@example.org;STORE;
10-03-2026;9788074770814;1;38,5;hugo.leroy57@example.org;magasin;commande spéciale
30-06-2026;9780449235997;1;37,9;camille.david43@example.org;online;client fidèle
14-08-2025;9780736628174;1;23,7;theo.bertrand58@example.org;Magasin;
28-03-2026;9791000000469;2;22,29;zoe.laurent32@example.org;STORE;commande spéciale
07-05-2026;9780307568083;1;15,79;chloe.leroy6@example.org;Magasin;RAS
13-12-2025;9788475842318;1;6,1;jade.laurent51@example.org;boutique;commande spéciale
22-10-2025;9780079131195;2;12,72;manon.leroy52@example.org;STORE;client fidèle
27-08-2025;9780718188740;2;28,79;jade.martin31@example.org;Magasin;commande spéciale
24-03-2026;9783608938296;1;16,19;theo.michel80@example.org;STORE;
01-07-2025;9791000000289;1;32,9;chloe.lefebvre52@example.org;STORE;RAS
21-02-2026;9780823420278;2;25,13;lea.michel11@example.org;boutique;commande spéciale
21-12-2025;9780099439752;0;12,92;jade.bertrand41@example.org;STORE;
26-01-2026;9781534431010;1;37,29;lea.david73@example.org;magasin;
02-12-2025;9780792483809;1;25,82;chloe.moreau48@example.org;boutique;
29-01-2026;9780511783289;2;18,7;nathan.fournier29@example.org;en ligne;
01-07-2025;9781432622459;2;10,42;ines.morel62@example.org;boutique;commande spéciale
06-07-2025;9780970373908;0;35,8;lea.dubois38@example.org;en ligne;commande spéciale
18-08-2025;9791000000889;1;36,76;jules.michel96@example.org;site;client fidèle
08-05-2026;9781093750065;2;8,6;jade.david93@example.org;STORE;
30-12-2025;9780517082461;1;7,86;hugo.fournier74@example.org;Magasin;client fidèle
11-08-2025;9780263102734;1;27,87;lea.lefebvre1@example.org;magasin;
09-05-2026;9791000000729;1;34,61;louis.morel72@example.org;en ligne;client fidèle
25-06-2026;9780028729206;1;7,46;hugo.moreau18@example.org;magasin;client fidèle
21-11-2025;9780007299805;1;38,54;jules.roux99@example.org;en ligne;RAS
27-07-2025;9791000000689;0;12,05;lea.lefebvre64@example.org;STORE;RAS
26-12-2025;9782724215908;1;20,39;camille.michel52@example.org;magasin;
01-10-2025;9791000000289;1;39,06;emma.bertrand5@example.org;boutique;RAS
15-01-2026;9788417347970;0;17,62;lea.michel41@example.org;MP;
25-09-2025;9781500420536;1;19,78;lea.leroy11@example.org;site;commande spéciale
06-09-2025;9780750503075;1;27,34;hugo.fournier87@example.org;web;commande spéciale
02-10-2025;9780131105409;1;35,47;arthur.roux93@example.org;boutique;RAS
16-09-2025;9780061739590;1;14,57;ines.roux56@example.org;magasin;client fidèle
25-04-2026;9798791612762;1;8,31;jade.fournier71@example.org;site;
31-12-2025;9780380813018;1;7,65;emma.morel7@example.org;marketplace;RAS
04-07-2025;9780373020751;1;32,33;nathan.bertrand72@example.org;site;
25-01-2026;9780007120970;1;23,66;lea.bertrand79@example.org;Magasin;RAS
09-11-2025;9780563524922;2;24,03;hugo.laurent55@example.org;place de marché;client fidèle
21-11-2025;9780393966848;2;5,56;jade.martin76@example.org;STORE;commande spéciale
14-03-2026;9780380821099;1;9,16;zoe.laurent44@example.org;online;
12-04-2026;9788492412402;1;27,07;lucas.roux84@example.org;magasin;RAS
11-09-2025;9780130853660;0;7,27;emma.david80@example.org;magasin;client fidèle
31-12-2025;9781963349023;3;39,79;zoe.michel23@example.org;STORE;client fidèle
11-06-2026;9782702411933;1;14,68;jade.morel50@example.org;site;
24-12-2025;9781432645960;1;18,33;theo.lefebvre18@example.org;online;RAS
28-11-2025;9798515079307;2;36,01;ines.roux2@example.org;boutique;
17-06-2026;9781440673641;1;33,05;jade.bernard16@example.org;MP;client fidèle
03-04-2026;9788445007037;1;31,69;theo.roux67@example.org;boutique;RAS
21-01-2026;9781400142866;1;36,98;gabriel.lefebvre84@example.org;magasin;client fidèle
06-01-2026;9781798850466;1;22,12;arthur.fournier88@example.org;STORE;client fidèle
02-08-2025;9791000000199;1;37,59;emma.moreau12@example.org;boutique;RAS
18-11-2025;9782226018052;3;16,54;ines.fournier96@example.org;Magasin;client fidèle
01-07-2025;9780393419610;1;34,13;theo.roux50@example.org;site;commande spéciale
25-08-2025;9780451622891;3;6,5;emma.martin81@example.org;STORE;
25-10-2025;9780593160015;1;7,6;nathan.leroy35@example.org;MP;client fidèle
09-07-2025;9780534359454;1;33,86;hugo.laurent85@example.org;marketplace;client fidèle
03-09-2025;9789333394918;2;8,87;lea.dubois75@example.org;STORE;client fidèle
24-10-2025;9780857550460;1;33,33;lea.laurent4@example.org;place de marché;commande spéciale
06-03-2026;9788580445046;1;29,09;chloe.david82@example.org;MP;
04-03-2026;9788416906550;2;9,85;theo.martin97@example.org;web;client fidèle
28-08-2025;9780451118103;3;9,71;lea.moreau63@example.org;magasin;client fidèle
31-05-2026;9780373114306;3;32,96;jade.dubois40@example.org;boutique;client fidèle
24-12-2025;9780030314810;1;26,33;gabriel.morel28@example.org;place de marché;RAS
16-03-2026;9798511718255;1;14,49;lucas.fournier17@example.org;Magasin;RAS
25-06-2026;9780307567291;1;38,14;emma.moreau96@example.org;Magasin;commande spéciale
15-09-2025;9780786215133;1;30,97;emma.david42@example.org;web;
04-08-2025;9791000000229;1;23,13;louis.leroy4@example.org;STORE;RAS
05-11-2025;9780072457445;1;12,66;louis.leroy61@example.org;boutique;client fidèle
12-11-2025;9780425029459;1;19,9;jade.bertrand6@example.org;boutique;
11-03-2026;9781491543382;1;29,15;zoe.bernard93@example.org;boutique;
27-02-2026;9789868856097;1;28,71;chloe.bertrand50@example.org;STORE;commande spéciale
22-08-2025;9780671746520;2;29,61;jade.dubois13@example.org;site;RAS
29-11-2025;9788427298286;2;7,41;manon.moreau1@example.org;magasin;commande spéciale
15-01-2026;9789871144686;1;14,63;emma.roux77@example.org;Magasin;commande spéciale
28-12-2025;9798417660092;1;14,1;chloe.moreau9@example.org;place de marché;
03-03-2026;9788371501531;2;28,7;lucas.moreau30@example.org;web;commande spéciale
24-04-2026;9791000000579;1;26,53;zoe.martin12@example.org;site;
14-10-2025;9788498723533;1;12,51;theo.roux77@example.org;online;client fidèle
30-06-2026;9798874620929;2;33,31;gabriel.david9@example.org;magasin;commande spéciale
01-03-2026;9788580445046;1;38,06;emma.bernard47@example.org;web;client fidèle
08-11-2025;9781478312932;1;39,11;hugo.leroy17@example.org;Magasin;commande spéciale
25-04-2026;9781593976064;1;37,06;chloe.bernard21@example.org;marketplace;
05-05-2026;9780312472849;1;5,95;zoe.martin38@example.org;Magasin;
30-08-2025;9780263096378;2;35,59;chloe.morel51@example.org;Magasin;RAS
27-02-2026;9788416029808;2;13,56;zoe.martin29@example.org;Magasin;
28-12-2025;9781108057875;1;28,3;zoe.michel92@example.org;boutique;client fidèle
08-04-2026;9781857234701;1;35,14;louis.morel88@example.org;boutique;RAS
17-10-2025;9783785530030;2;19,2;louis.lefebvre72@example.org;STORE;client fidèle
07-09-2025;9780263138382;1;32,48;chloe.moreau2@example.org;en ligne;
01-01-2026;9780613135818;1;34,18;louis.david98@example.org;site;client fidèle
