date_vente,isbn,quantite,prix_unitaire,email_client,canal
12 mars 2026,9781094048994,1,37.04,lea.martin38@example.org,magasin
26 juin 2026,9781561037629,2,10.36,jade.fournier80@example.org,Magasin
22 novembre 2025,9780804168441,2,21.71,lea.david66@example.org,magasin
24 novembre 2025,9780241950265,1,29.43,camille.lefebvre14@example.org,magasin
21 novembre 2025,9781535540124,2,13.3,jules.dubois55@example.org,STORE
21 août 2025,9780141378893,1,12.36,lucas.simon4@example.org,magasin
6 janvier 2026,9780061652264,3,27.92,camille.bernard93@example.org,STORE
6 janvier 2026,9789020632729,1,12.47,lea.fournier29@example.org,Magasin
24 juillet 2025,9780316310420,1,6.82,zoe.laurent73@example.org,boutique
16 février 2026,9787229030933,1,5.48,arthur.moreau1@example.org,boutique
27 juin 2026,9791000000579,2,39.82,zoe.moreau59@example.org,marketplace
1 mai 2026,9786053751120,2,27.83,lea.fournier1@example.org,magasin
26 novembre 2025,9780393966848,1,10.04,louis.fournier21@example.org,en ligne
1 juillet 2025,9781936719112,1,23.06,ines.laurent89@example.org,Magasin
28 juillet 2025,9780061365515,3,15.58,lea.laurent32@example.org,MP
22 juillet 2025,9788491052371,1,21.17,lea.fournier72@example.org,magasin
17 juillet 2025,9791000000819,1,6.36,ines.bertrand32@example.org,marketplace
19 avril 2026,9791000000689,1,38.73,gabriel.martin20@example.org,online
6 octobre 2025,9798855090437,2,35.03,arthur.lefebvre78@example.org,Magasin
15 décembre 2025,9785170912360,3,34.33,ines.michel20@example.org,STORE
5 juillet 2025,9780151189786,1,10.85,jade.fournier34@example.org,magasin
12 novembre 2025,9781568655611,2,22.21,nathan.morel94@example.org,Magasin
10 novembre 2025,9791000000019,1,22.85,arthur.morel64@example.org,magasin
1 décembre 2025,9788845212178,1,32.42,jade.martin48@example.org,site
17 avril 2026,9798438389804,1,35.04,lucas.lefebvre6@example.org,place de marché
9 mars 2026,9798669140557,1,34.6,ines.martin34@example.org,STORE
16 août 2025,9791000000259,1,39.32,emma.roux34@example.org,web
10 mars 2026,9780451628800,1,23.26,jules.bertrand45@example.org,site
2 septembre 2025,9780553350630,1,22.62,gabriel.morel23@example.org,Magasin
13 mai 2026,9791000000729,0,6.02,emma.laurent9@example.org,Magasin
6 juin 2026,9788440672599,1,9.81,camille.lefebvre49@example.org,site
6 juillet 2025,9780099439752,1,7.25,manon.moreau55@example.org,STORE
17 septembre 2025,9780606283892,3,25.6,zoe.michel53@example.org,magasin
8 décembre 2025,9780072457445,1,20.75,lea.simon5@example.org,site
7 février 2026,9781532913686,1,33.94,zoe.simon97@example.org,site
1 avril 2026,9791000000029,1,36.33,arthur.leroy33@example.org,web
5 janvier 2026,9798716103634,1,8.13,gabriel.lefebvre62@example.org,magasin
7 mars 2026,9780606404518,1,25.89,louis.morel23@example.org,boutique
30 août 2025,9781529369526,1,38.15,emma.bernard47@example.org,boutique
29 septembre 2025,9780769206684,1,21.68,hugo.moreau55@example.org,Magasin
21 novembre 2025,9780816137152,1,36.19,nathan.dubois88@example.org,marketplace
26 avril 2026,9780061557064,1,14.64,zoe.david99@example.org,Magasin
31 mars 2026,9783442245666,1,7.71,louis.simon97@example.org,Magasin
1 août 2025,9789711024154,1,7.9,camille.fournier72@example.org,site
9 mars 2026,9780263753820,1,32.54,jade.fournier84@example.org,boutique
31 mai 2026,9780061944727,2,20.7,hugo.simon44@example.org,en ligne
15 mai 2026,9780970373908,1,18.36,jade.morel10@example.org,online
16 septembre 2025,9781559348263,1,33.0,lucas.leroy51@example.org,web
28 juillet 2025,9780750504355,2,13.12,jade.leroy63@example.org,boutique
1 août 2025,9780060721428,1,16.05,manon.simon6@example.org,place de marché
11 juillet 2025,9781440673641,1,5.15,zoe.leroy60@example.org,marketplace
29 mai 2026,9783893400614,1,36.76,chloe.david37@example.org,site
27 juillet 2025,9781521105948,1,18.29,theo.leroy37@example.org,web
15 avril 2026,9780736614016,3,31.28,manon.michel8@example.org,web
8 décembre 2025,9780007163243,1,19.16,arthur.martin50@example.org,en ligne
15 juin 2026,9798753137173,1,26.58,camille.laurent37@example.org,Magasin
27 juillet 2025,9780749391843,2,15.65,hugo.martin34@example.org,online
8 mars 2026,9780374524524,1,5.34,zoe.michel34@example.org,STORE
5 octobre 2025,978031212598X,1,31.69,ines.david7@example.org,magasin
6 avril 2026,9791000000519,3,36.91,ines.laurent62@example.org,web
18 mars 2026,9786070793677,1,14.51,arthur.laurent4@example.org,MP
23 septembre 2025,9780263102734,1,4.59,louis.simon41@example.org,boutique
6 janvier 2026,9780671702427,1,23.48,lea.simon48@example.org,magasin
16 décembre 2025,9789022591932,1,7.35,zoe.leroy66@example.org,Magasin
24 décembre 2025,9781405617093,2,8.82,nathan.leroy82@example.org,en ligne
13 juillet 2025,9780061285752,2,33.59,nathan.dubois3@example.org,magasin
20 mai 2026,9791000000499,1,14.23,lucas.bernard43@example.org,Magasin
17 octobre 2025,9780416027020,2,9.95,gabriel.bertrand80@example.org,boutique
12 janvier 2026,9788845212178,1,36.97,manon.lefebvre29@example.org,online
12 octobre 2025,9780263808568,1,9.84,lucas.dubois27@example.org,site
27 juillet 2025,9781942788768,1,19.07,jules.lefebvre11@example.org,boutique
2 septembre 2025,9780545541251,1,26.08,theo.roux12@example.org,boutique
1 avril 2026,9780671742881,1,12.35,gabriel.michel75@example.org,en ligne
6 février 2026,9781436223881,1,19.63,chloe.bernard85@example.org,en ligne
9 décembre 2025,9780833589484,3,39.01,manon.simon54@example.org,place de marché
5 janvier 2026,9780613642880,2,25.16,nathan.laurent49@example.org,web
25 août 2025,9781442006188,1,23.99,arthur.michel30@example.org,web
24 juillet 2025,9783442424504,1,14.45,chloe.moreau29@example.org,place de marché
20 mai 2026,9783458080664,1,27.91,jade.martin99@example.org,boutique
9 mai 2026,9789333394918,2,9.94,camille.laurent1@example.org,magasin
3 novembre 2025,9786070793677,2,36.96,jade.michel66@example.org,en ligne
13 mars 2026,9780141038148,1,6.02,louis.lefebvre41@example.org,Magasin
7 mai 2026,9780894108815,3,11.67,camille.simon27@example.org,online
30 juillet 2025,9781410498700,1,23.12,emma.moreau25@example.org,magasin
16 juillet 2025,9780263108262,1,39.66,louis.laurent60@example.org,Magasin
17 juin 2026,9780805243550,1,23.04,jade.dubois14@example.org,magasin
4 juin 2026,9780007815586,2,27.73,gabriel.fournier25@example.org,Magasin
17 juin 2026,9780658006340,1,27.52,gabriel.leroy74@example.org,Magasin
10 janvier 2026,9786070793677,2,18.62,lea.dubois63@example.org,magasin
22 septembre 2025,9781536681949,1,28.29,jade.simon65@example.org,magasin
8 août 2025,9783442457472,1,9.25,theo.bernard86@example.org,Magasin
12 février 2026,9780754000471,1,5.96,jules.leroy28@example.org,MP
3 juillet 2025,9780810997516,1,34.6,manon.laurent68@example.org,Magasin
23 juillet 2025,9791000000689,2,37.97,hugo.moreau33@example.org,Magasin
10 décembre 2025,9788835161189,1,29.0,emma.michel8@example.org,marketplace
5 août 2025,9780356502410,0,28.85,gabriel.bertrand55@example.org,Magasin
11 décembre 2025,9791000000469,1,35.8,arthur.david88@example.org,STORE
13 juillet 2025,9788447333165,1,24.17,chloe.lefebvre68@example.org,boutique
25 mai 2026,9780736423298,1,37.14,hugo.lefebvre14@example.org,marketplace
27 mars 2026,9780263775570,1,14.67,lea.simon41@example.org,Magasin
22 mai 2026,9780416225907,1,30.48,chloe.bertrand10@example.org,STORE
31 août 2025,9780749459116,1,16.47,emma.laurent62@example.org,en ligne
7 novembre 2025,9780755334223,1,8.44,louis.lefebvre29@example.org,place de marché
28 décembre 2025,9780131272866,2,21.41,gabriel.dubois5@example.org,en ligne
11 février 2026,9780393419610,1,36.91,manon.martin98@example.org,site
15 février 2026,9788381352079,1,18.17,nathan.roux79@example.org,Magasin
10 décembre 2025,9780373024209,1,26.84,ines.simon85@example.org,STORE
19 décembre 2025,9788845212178,2,18.73,louis.roux23@example.org,magasin
21 septembre 2025,9781725530911,0,19.37,manon.martin56@example.org,place de marché
8 décembre 2025,9781932796575,1,12.56,louis.lefebvre92@example.org,boutique
9 juin 2026,9782265077249,1,39.51,emma.morel26@example.org,Magasin
31 décembre 2025,9798739955418,2,19.48,gabriel.dubois73@example.org,Magasin
14 août 2025,9780061550676,1,18.71,arthur.laurent83@example.org,site
7 décembre 2025,9780061762604,1,37.28,theo.fournier99@example.org,boutique
4 mars 2026,9787555027706,1,4.64,jade.martin7@example.org,magasin
5 février 2026,9786073108409,2,34.78,jules.roux56@example.org,magasin
19 juillet 2025,9781250030962,3,7.46,jules.roux14@example.org,Magasin
6 juin 2026,9789719201847,2,15.44,theo.bertrand32@example.org,magasin
28 février 2026,9791000000079,1,14.01,jade.dubois84@example.org,Magasin
30 mai 2026,9780099558781,1,33.61,ines.dubois92@example.org,web
11 juin 2026,9780593105061,1,37.56,zoe.david26@example.org,magasin
10 octobre 2025,9780618058952,1,39.61,lucas.fournier52@example.org,magasin
15 février 2026,9780833566980,1,28.53,jade.morel9@example.org,magasin
17 août 2025,9782207256343,1,13.45,emma.simon5@example.org,site
29 septembre 2025,9780307815651,3,39.69,manon.moreau40@example.org,STORE
28 janvier 2026,9783423262644,1,19.76,lucas.martin41@example.org,web
9 mars 2026,9798515079307,2,7.32,gabriel.martin21@example.org,STORE
28 décembre 2025,978147893377X,2,39.27,arthur.simon46@example.org,online
15 avril 2026,9791000000569,2,6.6,lea.david45@example.org,MP
29 mars 2026,9798669140557,2,36.96,hugo.martin13@example.org,Magasin
18 novembre 2025,9780358067801,1,36.72,hugo.david18@example.org,place de marché
20 février 2026,9780843934632,1,27.28,theo.moreau30@example.org,place de marché
30 avril 2026,9781536457674,1,28.54,gabriel.lefebvre89@example.org,place de marché
28 juin 2026,9780345313904,1,34.83,arthur.lefebvre17@example.org,en ligne
18 janvier 2026,9780670058167,1,26.46,emma.morel95@example.org,web
29 novembre 2025,9781101192740,1,4.86,zoe.david85@example.org,site
2 mai 2026,9781559348263,1,14.82,louis.roux66@example.org,boutique
4 novembre 2025,9781442421844,1,13.69,nathan.dubois65@example.org,boutique
17 mars 2026,9780263782011,3,21.13,jules.fournier99@example.org,boutique
30 avril 2026,9780064601375,1,27.27,arthur.roux74@example.org,magasin
28 mars 2026,9780001711129,1,13.86,lucas.michel45@example.org,magasin
23 octobre 2025,979821701436X,1,13.89,jules.bertrand60@example.org,site
11 juillet 2025,9781414340913,2,12.16,hugo.roux43@example.org,STORE
16 février 2026,9788835161189,2,27.72,manon.fournier42@example.org,magasin
16 octobre 2025,9780099558781,2,8.87,louis.bernard82@example.org,site
2 octobre 2025,978006024803X,1,9.89,lea.simon33@example.org,en ligne
10 avril 2026,9788440672599,1,31.66,zoe.martin63@example.org,site
15 juillet 2025,9780143432821,1,17.63,camille.david52@example.org,boutique
20 octobre 2025,9780007164943,1,10.85,manon.bertrand85@example.org,boutique
19 décembre 2025,9780486243832,1,38.41,arthur.roux68@example.org,magasin
9 mars 2026,9780434007493,1,26.5,hugo.lefebvre78@example.org,Magasin
16 décembre 2025,9789132428876,2,27.57,gabriel.fournier25@example.org,Magasin
25 août 2025,9798986868035,1,17.31,manon.bernard87@example.org,boutique
2 janvier 2026,9780486243832,3,36.02,emma.leroy22@example.org,MP
6 mai 2026,9780061492570,1,32.94,lucas.bernard41@example.org,en ligne
23 novembre 2025,9788445073834,2,23.74,arthur.bernard47@example.org,STORE
7 octobre 2025,9791000000869,1,39.05,zoe.roux30@example.org,site
18 octobre 2025,9781974343539,1,22.03,jade.bernard79@example.org,online
23 février 2026,9780460116947,1,6.29,nathan.morel3@example.org,site
26 septembre 2025,9780425104347,1,15.39,lucas.fournier67@example.org,online
3 juillet 2025,9781561005987,1,8.93,ines.moreau66@example.org,magasin
1 février 2026,9781605090962,1,29.29,ines.moreau64@example.org,online
15 octobre 2025,9780263120974,2,21.06,louis.bertrand64@example.org,MP
14 janvier 2026,9786070793677,1,18.49,arthur.simon25@example.org,site
26 décembre 2025,9781434462770,1,31.39,chloe.leroy63@example.org,boutique
14 juillet 2025,9781841492391,1,25.83,nathan.laurent84@example.org,en ligne
8 mai 2026,9780385142519,2,32.79,jade.david35@example.org,STORE
21 avril 2026,9791000000969,3,31.51,jade.dubois82@example.org,MP
10 avril 2026,9780765316974,1,24.84,emma.morel64@example.org,online
8 août 2025,9780373104383,1,34.72,hugo.david82@example.org,MP
3 juillet 2025,9798739955418,1,15.85,nathan.leroy20@example.org,STORE
30 août 2025,9780451628800,1,11.28,gabriel.lefebvre17@example.org,magasin
23 avril 2026,9786525917313,1,33.83,lucas.michel55@example.org,magasin
23 janvier 2026,9798589452563,1,17.83,camille.bernard93@example.org,en ligne
16 novembre 2025,9783898535526,1,4.55,lea.martin24@example.org,Magasin
23 décembre 2025,9780856352737,1,15.27,lucas.michel83@example.org,online
20 février 2026,9791000000049,1,9.43,arthur.lefebvre39@example.org,magasin
20 décembre 2025,9781119251736,1,15.98,camille.morel97@example.org,web
28 juillet 2025,9781568955575,2,36.05,gabriel.morel90@example.org,boutique
25 juin 2026,9780945353874,1,35.08,nathan.fournier49@example.org,STORE
22 février 2026,9788492412402,2,32.48,ines.moreau38@example.org,boutique
1 juillet 2025,9791000000759,1,23.2,gabriel.dubois75@example.org,boutique
21 avril 2026,9780008305703,1,8.44,jules.lefebvre15@example.org,magasin
1 septembre 2025,9781538739723,1,12.3,zoe.martin43@example.org,magasin
31 août 2025,9781521093443,1,24.82,arthur.lefebvre78@example.org,Magasin
23 août 2025,9780393656435,1,14.59,zoe.martin73@example.org,online
8 avril 2026,9780739370971,1,19.37,lea.fournier20@example.org,web
19 mars 2026,9781408998465,1,28.2,arthur.leroy67@example.org,en ligne
17 février 2026,9780061728419,1,22.5,emma.laurent28@example.org,online
23 janvier 2026,9788447333165,2,23.54,gabriel.dubois58@example.org,STORE
4 octobre 2025,9791000000639,1,4.93,jules.roux92@example.org,MP
14 décembre 2025,9780307491572,1,16.29,lucas.martin15@example.org,boutique
19 octobre 2025,9781732172234,1,9.86,lea.bernard42@example.org,online
25 mars 2026,9791000000929,1,5.13,louis.leroy24@example.org,STORE
24 janvier 2026,9780872863101,3,27.25,nathan.david31@example.org,online
14 décembre 2025,9780373110926,1,28.22,louis.david28@example.org,magasin
18 avril 2026,9780373511648,1,21.11,lea.morel29@example.org,magasin
9 mai 2026,9781591846918,1,22.65,lea.bertrand31@example.org,online
12 juillet 2025,9781439116050,1,20.08,jules.laurent56@example.org,en ligne
12 novembre 2025,9780061550676,2,28.66,lea.simon13@example.org,boutique
18 septembre 2025,9788447369225,1,35.89,lea.roux88@example.org,web
31 mars 2026,9781250242754,1,26.58,gabriel.david7@example.org,Magasin
25 mars 2026,9780785740568,2,33.97,theo.fournier11@example.org,online
4 février 2026,9780466208349,2,7.9,arthur.morel60@example.org,web
20 novembre 2025,9781434462770,3,18.99,arthur.martin72@example.org,site
23 mars 2026,9780001711129,3,24.12,manon.david2@example.org,STORE
3 mars 2026,9780945353874,2,25.37,ines.bertrand62@example.org,web
4 juillet 2025,9798212378338,1,11.48,lucas.bernard96@example.org,Magasin
25 décembre 2025,9780593642009,1,19.91,emma.david40@example.org,STORE
25 février 2026,9780958854344,1,38.47,manon.roux45@example.org,web
2 janvier 2026,9781408999011,1,5.84,camille.dubois52@example.org,boutique
15 mai 2026,9780343038007,1,9.63,arthur.bertrand98@example.org,Magasin
15 décembre 2025,9781536435078,1,28.54,gabriel.leroy23@example.org,boutique
1 janvier 2026,9781449486792,1,11.53,manon.laurent69@example.org,web
25 mars 2026,9782843623103,1,8.77,ines.lefebvre52@example.org,STORE
10 juin 2026,9791000000909,1,38.98,chloe.roux70@example.org,en ligne
5 novembre 2025,9789022591932,3,11.75,lucas.martin65@example.org,marketplace
2 novembre 2025,9798596021639,1,36.26,ines.dubois88@example.org,web
29 octobre 2025,9780072457445,1,7.9,chloe.roux45@example.org,Magasin
7 février 2026,9780449235997,3,10.37,camille.lefebvre26@example.org,web
7 juillet 2025,9780155826083,2,34.83,ines.morel42@example.org,magasin
4 décembre 2025,9783596035694,1,26.2,theo.martin61@example.org,place de marché
23 mars 2026,9780460116947,1,30.51,zoe.bertrand24@example.org,boutique
17 février 2026,9780553539899,2,35.53,louis.david82@example.org,en ligne
23 février 2026,9780316310420,1,5.19,jules.simon46@example.org,web
8 septembre 2025,9780894108815,1,11.68,lea.michel59@example.org,en ligne
2 août 2025,9781574535587,1,34.59,zoe.bertrand4@example.org,web
18 août 2025,9780825616518,3,14.61,zoe.lefebvre44@example.org,online
5 avril 2026,9781975618674,1,19.42,arthur.bernard31@example.org,online
27 avril 2026,9782265077249,1,23.09,ines.moreau65@example.org,marketplace
25 avril 2026,9780593105061,2,7.16,louis.bertrand20@example.org,boutique
10 mai 2026,9780786918065,2,16.19,lucas.fournier25@example.org,place de marché
16 janvier 2026,9780571226856,2,16.26,louis.david42@example.org,Magasin
25 septembre 2025,9781101138816,1,38.65,chloe.morel36@example.org,Magasin
12 juin 2026,9780091203207,2,9.16,jade.bernard27@example.org,site
13 avril 2026,9780465067091,2,17.81,gabriel.roux76@example.org,boutique
12 novembre 2025,9798475273906,1,38.17,chloe.leroy93@example.org,web
6 août 2025,9781466864580,1,25.11,jade.martin40@example.org,web
8 janvier 2026,9780373706099,1,32.78,jules.moreau54@example.org,boutique
1 janvier 2026,9780812992182,1,27.56,gabriel.dubois41@example.org,site
13 janvier 2026,9781974052264,1,9.46,ines.dubois71@example.org,site
7 avril 2026,9791000000119,1,31.52,jade.morel4@example.org,site
2 juillet 2025,9781521093443,1,25.59,louis.moreau91@example.org,Magasin
28 janvier 2026,9780671827038,1,27.52,theo.laurent99@example.org,STORE
7 mars 2026,9781955876162,2,34.25,louis.michel92@example.org,Magasin
30 janvier 2026,9780879015497,2,32.16,hugo.morel10@example.org,place de marché
16 juin 2026,9791000000469,1,32.86,hugo.leroy39@example.org,boutique
29 avril 2026,9780451525918,1,21.78,jade.leroy92@example.org,STORE
11 avril 2026,9783849536206,1,38.51,lea.morel68@example.org,Magasin
24 septembre 2025,9789643114190,1,38.26,hugo.bernard16@example.org,boutique
30 décembre 2025,9780060721428,1,15.44,camille.moreau8@example.org,marketplace
24 août 2025,9780263784701,1,23.18,zoe.morel97@example.org,site
26 juin 2026,9798753137173,2,21.99,ines.leroy70@example.org,magasin
30 mars 2026,9780525537113,1,10.4,gabriel.moreau4@example.org,en ligne
24 décembre 2025,9798893311020,2,10.43,jade.bernard71@example.org,magasin
24 décembre 2025,9780805013344,1,6.01,lea.lefebvre78@example.org,boutique
2 août 2025,9780805013344,1,27.06,emma.moreau70@example.org,site
5 juin 2026,9780060829575,3,10.75,lea.fournier77@example.org,STORE
19 novembre 2025,9781784878719,1,7.42,hugo.fournier52@example.org,magasin
11 mars 2026,9780141018980,2,10.05,theo.simon7@example.org,place de marché
9 avril 2026,9780062019813,1,34.32,chloe.bertrand88@example.org,en ligne
14 octobre 2025,9798716103634,1,38.3,louis.michel17@example.org,STORE
19 juillet 2025,9780263096378,2,24.9,jade.bernard63@example.org,marketplace
2 janvier 2026,9783453089228,1,30.31,ines.bernard27@example.org,boutique
16 juillet 2025,9788416906550,1,11.69,emma.laurent1@example.org,online
23 mai 2026,9780373024209,1,24.57,gabriel.michel44@example.org,boutique
26 juillet 2025,9781250819369,2,12.48,lucas.lefebvre36@example.org,boutique
21 août 2025,9789993957720,1,22.35,camille.martin71@example.org,STORE
11 septembre 2025,9781691553822,1,17.26,lea.bertrand40@example.org,Magasin
28 mai 2026,9783849536206,1,17.34,camille.moreau74@example.org,STORE
6 janvier 2026,9781593976064,2,22.58,theo.michel96@example.org,en ligne
31 juillet 2025,9780416225907,1,31.5,camille.dubois28@example.org,web
9 janvier 2026,9781723208614,1,22.99,camille.michel96@example.org,magasin
27 août 2025,9781857234701,1,16.86,zoe.simon16@example.org,web
22 février 2026,9798511718255,1,32.91,manon.michel13@example.org,Magasin
4 juin 2026,9780393091809,1,36.62,theo.moreau94@example.org,online
2 avril 2026,9791000000019,2,27.03,arthur.morel22@example.org,magasin
2 juillet 2025,9780307491572,2,37.98,arthur.bernard4@example.org,boutique
10 juin 2026,9788324592265,1,21.77,theo.bernard33@example.org,STORE
29 juin 2026,9783442245666,2,8.57,zoe.laurent44@example.org,web
29 novembre 2025,9780263095760,1,17.07,jules.martin19@example.org,magasin
25 avril 2026,9781470825553,1,11.43,ines.michel33@example.org,marketplace
18 juin 2026,9789994714094,1,11.69,lea.martin79@example.org,site
20 septembre 2025,9781250790514,1,27.33,nathan.laurent91@example.org,Magasin
12 février 2026,9780606309912,1,11.51,camille.lefebvre38@example.org,site
5 février 2026,9781405617093,1,17.35,ines.simon26@example.org,magasin
17 août 2025,9780060513061,1,39.69,camille.roux45@example.org,STORE
9 mars 2026,9781536681949,1,5.62,jade.moreau58@example.org,place de marché
8 avril 2026,9780385142519,1,24.1,zoe.moreau79@example.org,boutique
9 mai 2026,9781476870748,1,26.82,nathan.martin98@example.org,boutique
2 février 2026,9780141038148,1,17.03,nathan.dubois8@example.org,online
20 novembre 2025,9781405224031,1,37.86,arthur.michel34@example.org,Magasin
30 décembre 2025,9780575085688,1,36.32,manon.simon8@example.org,magasin
4 décembre 2025,9780321623539,2,33.82,emma.simon60@example.org,site
23 avril 2026,9791000000069,1,19.79,camille.dubois67@example.org,en ligne
24 août 2025,9780802142641,1,28.44,emma.simon88@example.org,en ligne
4 novembre 2025,9783442353927,3,28.31,gabriel.simon73@example.org,magasin
1 septembre 2025,9783442245666,2,32.52,jules.morel45@example.org,boutique
14 octobre 2025,9780061002823,1,39.89,jules.fournier44@example.org,boutique
7 février 2026,9788466642613,1,5.03,hugo.morel7@example.org,boutique
27 mars 2026,9798990047709,1,30.61,arthur.lefebvre52@example.org,boutique
3 août 2025,9781428811195,2,8.85,camille.simon2@example.org,online
23 avril 2026,9780881039108,1,17.03,arthur.laurent98@example.org,en ligne
27 juin 2026,9780765316974,1,19.95,nathan.laurent32@example.org,Magasin
27 février 2026,9781593974336,1,15.3,nathan.morel89@example.org,en ligne
7 janvier 2026,9780373104420,1,26.03,zoe.roux21@example.org,online
26 janvier 2026,9780553350630,1,21.35,louis.laurent30@example.org,Magasin
6 octobre 2025,9780586045145,2,26.3,jules.simon53@example.org,online
15 juin 2026,9780739371077,3,37.21,manon.bernard88@example.org,web
11 juillet 2025,9791000000159,1,22.85,hugo.dubois74@example.org,Magasin
21 juin 2026,9789994910458,1,26.91,gabriel.martin46@example.org,magasin
