ts_vente,isbn,quantite,prix_unitaire,email_client,canal
1782473400,9780263096378,2,34.73,lea.fournier51@example.org,boutique
1758640680,9780802142641,1,36.64,louis.dubois30@example.org,place de marché
1757695140,9781709948305,1,23.53,manon.moreau74@example.org,online
1782318360,9780670058167,1,36.46,jade.bertrand7@example.org,online
1777012860,9781737507710,1,16.89,nathan.simon81@example.org,magasin
1754395020,9781177541923,2,37.66,lea.michel97@example.org,en ligne
1766392740,9780373107148,2,23.36,lea.morel47@example.org,boutique
1758183420,9781531888176,2,10.54,hugo.david48@example.org,web
1780142880,9798625352550,1,16.24,lea.simon22@example.org,magasin
1769799300,9780345458889,2,37.12,nathan.david41@example.org,Magasin
1777393860,9781428811195,1,34.74,louis.laurent52@example.org,online
1778079000,9782221073841,1,23.02,gabriel.moreau99@example.org,online
1755872040,9780007164943,2,17.85,chloe.fournier7@example.org,magasin
1771070160,9781713532125,1,36.5,louis.bertrand37@example.org,STORE
1776186420,9788191032406,2,7.7,chloe.dubois44@example.org,STORE
1758354780,9781534487673,1,39.17,lea.lefebvre83@example.org,boutique
1758277980,978957467950X,1,11.06,hugo.michel79@example.org,site
1770296760,9780878210329,1,9.07,jade.moreau10@example.org,Magasin
1753457220,9780843929959,2,14.24,jules.laurent86@example.org,magasin
1760522460,9780263096378,0,7.93,arthur.michel1@example.org,online
1773416100,9780763603519,1,26.57,jade.laurent3@example.org,STORE
1752681000,9780872205925,2,9.86,gabriel.morel52@example.org,STORE
1774773540,9780894108815,1,29.24,manon.moreau2@example.org,magasin
1757065740,9781440673641,1,8.67,hugo.david42@example.org,en ligne
1756748220,9780241745168,1,37.29,lucas.morel6@example.org,web
1754233860,9780380395606,1,9.41,lucas.roux29@example.org,marketplace
1763462760,9780754000471,2,35.87,theo.david3@example.org,online
1760110440,9788447333165,1,35.94,gabriel.dubois32@example.org,boutique
1757227620,9780345337757,1,15.41,camille.dubois73@example.org,magasin
1760615640,9780825616495,1,19.47,camille.fournier27@example.org,place de marché
1756830540,9781442426757,1,39.67,gabriel.morel42@example.org,place de marché
1768499460,9781957635002,3,36.57,lucas.morel43@example.org,site
1777024680,9780786189694,1,29.37,nathan.leroy88@example.org,magasin
1762159740,9780810918849,2,26.23,jade.roux4@example.org,STORE
1760184540,9780007163243,1,22.13,hugo.bertrand14@example.org,place de marché
1766237160,9791000000109,1,34.96,zoe.simon31@example.org,web
1780899660,9780671702427,1,6.08,ines.david84@example.org,boutique
1759834080,9791000000339,1,13.91,hugo.moreau93@example.org,MP
1768745760,9780297859390,2,31.87,theo.moreau28@example.org,site
1763109600,9780425104347,2,28.0,louis.lefebvre70@example.org,magasin
1768735260,9781481428149,1,15.45,lucas.david53@example.org,online
1781870880,9791000000409,1,25.65,jade.bertrand65@example.org,en ligne
1756215360,9781857987386,1,35.7,nathan.bernard68@example.org,web
1768842000,9791000000759,3,32.79,arthur.martin90@example.org,STORE
1767100560,9781439580721,2,8.18,manon.david12@example.org,STORE
1761051840,978030747249X,3,19.3,theo.simon3@example.org,STORE
1779525480,9780340874592,1,10.0,lucas.morel66@example.org,magasin
1752847140,9781574535587,1,39.01,nathan.roux4@example.org,STORE
1764668160,9789000338658,1,10.54,nathan.michel40@example.org,STORE
1752855480,9780131272866,2,8.36,jade.bertrand29@example.org,STORE
1776932820,9780143566526,2,18.62,theo.bertrand35@example.org,STORE
1767785580,9780007120970,1,14.78,gabriel.leroy18@example.org,STORE
1762505220,9780450055492,1,9.21,jules.simon6@example.org,marketplace
1768295580,9780553902716,1,9.45,theo.david75@example.org,online
1773218580,9780263778809,2,25.18,jules.dubois75@example.org,Magasin
1770826680,9788445073834,1,33.99,zoe.roux39@example.org,boutique
1781607900,9781250242754,1,18.06,jade.lefebvre12@example.org,magasin
1767172500,9781538745748,1,9.29,hugo.morel72@example.org,Magasin
1776780540,978006095685X,1,21.36,chloe.david95@example.org,Magasin
1762345560,9780007815586,1,9.14,lucas.bernard28@example.org,magasin
1765806720,9781092148580,2,9.55,camille.lefebvre10@example.org,web
1776591000,9791000000369,1,28.08,ines.laurent82@example.org,site
1762853580,9791000000329,1,26.28,manon.bernard14@example.org,boutique
1769360940,9781491543382,2,29.04,ines.martin49@example.org,place de marché
1781795820,9781338611991,2,4.72,manon.lefebvre40@example.org,magasin
1767723780,9780521205542,1,21.34,camille.bernard95@example.org,online
1767452640,9780205060450,2,14.33,arthur.leroy58@example.org,magasin
1757141760,9787555027706,1,30.86,arthur.bertrand31@example.org,MP
1774287780,9780307704511,1,9.86,gabriel.simon28@example.org,magasin
1763897460,9780156724005,1,28.91,manon.bertrand13@example.org,online
1772875800,9798377220947,1,23.1,jade.bernard89@example.org,STORE
1780396500,9780701219116,1,5.11,camille.laurent37@example.org,web
1775062440,9781850890362,2,29.99,nathan.martin7@example.org,Magasin
1772200440,9798212378338,2,30.06,gabriel.martin32@example.org,en ligne
1767521640,9781250819369,1,27.68,zoe.david25@example.org,en ligne
1758214260,9781695322240,1,28.0,lea.dubois69@example.org,magasin
1753946220,9781594488849,3,13.03,jules.bernard97@example.org,magasin
1773074820,9789953432540,2,31.78,zoe.laurent14@example.org,boutique
1752150720,9780263790429,3,38.83,gabriel.david94@example.org,online
1781597880,9780984358137,1,7.11,manon.dubois97@example.org,magasin
1764319080,9780671868376,1,22.27,camille.fournier21@example.org,boutique
1759907400,9781377100975,2,16.81,ines.dubois20@example.org,magasin
1775150280,979821701436X,2,6.7,camille.dubois46@example.org,magasin
1756464000,9798627347820,2,32.43,ines.bertrand39@example.org,Magasin
1759765500,9789630711722,1,27.75,theo.laurent14@example.org,STORE
1770971820,9781428640382,2,7.24,chloe.fournier84@example.org,en ligne
1770637140,9780755334223,1,39.82,jade.simon69@example.org,STORE
1775810100,9783596035694,2,35.89,zoe.michel23@example.org,magasin
1776435000,9782075094450,1,27.4,theo.morel66@example.org,Magasin
1760697540,9789710843480,1,28.55,nathan.bertrand77@example.org,MP
1756651920,9782376862185,2,11.59,gabriel.laurent93@example.org,magasin
1781104080,9780007164943,1,8.75,lucas.leroy66@example.org,STORE
1775288160,9780679432531,1,24.69,camille.roux12@example.org,magasin
1753778820,9780263120974,1,35.28,jules.martin86@example.org,marketplace
1752645840,9798642299869,2,24.59,manon.leroy97@example.org,web
1760706420,9781848721791,1,28.46,zoe.david61@example.org,magasin
1771785540,9798737952464,2,25.56,jules.moreau34@example.org,MP
1767784560,9781417701155,3,31.58,louis.david6@example.org,boutique
1768980660,9780356502410,2,14.56,chloe.roux81@example.org,Magasin
1757931900,9780131105409,1,25.51,hugo.martin40@example.org,boutique
1765559280,9780241573754,1,37.36,chloe.moreau22@example.org,magasin
1752908640,9780375507250,2,12.23,jade.david66@example.org,boutique
1771951200,9791000000909,1,16.66,nathan.bernard77@example.org,STORE
1755685260,9798377220947,1,16.1,emma.roux58@example.org,boutique
1766322300,9791000000699,3,38.58,manon.laurent40@example.org,Magasin
1764612420,9788170554240,1,16.39,chloe.laurent63@example.org,magasin
1770387840,9780736628174,1,6.57,arthur.lefebvre12@example.org,site
1770480780,9780393656435,1,13.72,jade.simon4@example.org,marketplace
1767717300,9781713532125,2,32.13,theo.morel5@example.org,Magasin
1762541820,9781982127794,1,29.65,camille.simon40@example.org,boutique
1755103080,9780070441606,1,22.45,manon.fournier76@example.org,Magasin
1776677760,9783464107676,2,26.14,jules.bertrand70@example.org,site
1775323560,9781593976064,1,28.26,ines.roux81@example.org,magasin
1759041900,9788170554240,1,28.43,nathan.morel60@example.org,online
1777285740,9781410498700,1,6.55,hugo.leroy31@example.org,MP
1774523520,9780823420278,1,14.21,lea.bertrand51@example.org,magasin
1779961020,9780843940008,1,19.07,ines.martin31@example.org,STORE
1778914740,,3,22.16,jade.bernard13@example.org,place de marché
1762597560,9780553902716,1,19.75,camille.moreau39@example.org,place de marché
1752856620,9781984819574,1,39.5,arthur.laurent87@example.org,Magasin
1767943620,9781101160459,1,38.85,jules.david58@example.org,en ligne
1758712560,9780263108262,1,34.16,hugo.bertrand70@example.org,boutique
1765471500,9798627159133,1,7.15,manon.roux57@example.org,site
1777446000,9798893310856,1,21.61,nathan.bernard59@example.org,magasin
1781977320,9780263790429,2,14.6,zoe.simon81@example.org,Magasin
1782041880,9781665141253,2,31.61,nathan.lefebvre50@example.org,Magasin
1759410600,9781306337564,1,28.63,gabriel.bernard45@example.org,STORE
1778779380,9781442445987,3,27.79,jade.roux11@example.org,magasin
1760276580,9780079131195,1,-6.55,hugo.moreau40@example.org,STORE
1776703020,9788422631880,1,21.34,emma.dubois12@example.org,Magasin
1777123440,9780263102734,1,17.28,arthur.morel97@example.org,magasin
1768498380,9780007354733,1,28.08,ines.moreau57@example.org,place de marché
1775236620,9780833566980,1,13.01,jade.david70@example.org,boutique
1754638860,9781594131523,2,27.03,louis.roux64@example.org,magasin
1755452880,9780063273986,1,22.73,louis.simon7@example.org,STORE
1763644020,9783453089228,1,35.0,nathan.dubois13@example.org,web
1758788760,9798893310856,1,16.88,zoe.martin83@example.org,STORE
1763827980,9791000000379,1,10.79,emma.simon76@example.org,place de marché
1764350880,978147893377X,1,29.14,theo.bertrand28@example.org,boutique
1771948620,9788170554240,3,27.19,camille.simon93@example.org,magasin
1777135440,9780061003776,1,25.63,manon.bertrand95@example.org,site
1781793300,9780216897984,1,26.73,zoe.dubois32@example.org,web
1762163760,9780062073747,1,37.83,zoe.moreau66@example.org,STORE
1760961060,9780142423295,1,17.29,arthur.morel76@example.org,STORE
1764085500,9791000000159,1,35.99,theo.michel13@example.org,Magasin
1765457280,9781439580721,1,21.8,jules.bernard67@example.org,Magasin
1765696980,9780263130249,1,35.32,camille.michel25@example.org,MP
1769865180,9798855090437,0,10.69,louis.michel20@example.org,boutique
1768470060,9781500420536,1,8.44,zoe.roux60@example.org,online
1764088380,9791000000499,1,21.04,ines.martin58@example.org,magasin
1764926220,9781521093443,1,10.04,camille.morel32@example.org,web
1765220220,9781504765145,2,8.23,hugo.dubois73@example.org,site
1755871380,9781958292068,1,10.25,manon.roux31@example.org,en ligne
1767033180,9780545926751,1,36.79,emma.dubois11@example.org,boutique
1767696900,9781408999011,1,24.03,camille.bertrand78@example.org,en ligne
1768483500,9781335468437,2,25.78,hugo.simon51@example.org,marketplace
1753881660,9784871877664,1,7.96,lucas.dubois83@example.org,online
1775065860,9788417347970,1,7.6,theo.laurent63@example.org,magasin
1762451580,9780708883587,1,16.26,emma.laurent78@example.org,place de marché
1778135100,9798739955418,1,20.18,hugo.roux16@example.org,Magasin
1771178880,9780396080176,1,7.42,gabriel.simon87@example.org,Magasin
1754568000,9781723208614,1,26.47,jules.morel54@example.org,boutique
1766221980,9781436223881,1,38.94,gabriel.lefebvre68@example.org,en ligne
1763570400,9781305639614,1,20.97,lucas.david75@example.org,magasin
1779085380,9780606011938,1,34.27,theo.morel93@example.org,boutique
1765470120,9780754000471,3,37.4,lucas.bernard15@example.org,marketplace
1762861200,9791000000299,1,27.53,nathan.michel19@example.org,MP
1778943360,9789795533412,1,36.81,camille.simon55@example.org,online
1782056460,9780297859390,1,30.4,chloe.dubois83@example.org,magasin
1763383380,9781108057875,1,18.45,emma.simon53@example.org,magasin
1774605000,9780143432821,1,7.75,zoe.bertrand53@example.org,magasin
1776254160,9788501117687,2,8.62,emma.david6@example.org,Magasin
1752734460,9780449200070,3,25.37,hugo.fournier54@example.org,en ligne
1752153240,9780263808568,2,37.57,hugo.bernard79@example.org,site
1771512600,9789583004506,3,24.18,ines.leroy35@example.org,boutique
1773996300,9791000000479,1,17.09,jules.lefebvre64@example.org,STORE
1768556520,9780007493579,1,31.07,hugo.lefebvre66@example.org,site
1781850840,9780070078727,1,39.8,jules.david78@example.org,Magasin
1770921960,9780263771213,1,22.22,lucas.fournier64@example.org,Magasin
1772367660,9781668010303,1,13.51,camille.leroy47@example.org,boutique
1759337760,9780263775051,1,38.85,emma.lefebvre19@example.org,online
1751648040,9781481428149,1,19.85,louis.morel91@example.org,online
1774449420,9788191032406,2,15.38,zoe.leroy94@example.org,Magasin
1753279140,9780345458889,1,23.58,louis.simon73@example.org,Magasin
1781852820,9781119621508,1,8.81,lucas.laurent16@example.org,en ligne
1772358900,9780809533756,1,24.66,zoe.fournier23@example.org,boutique
1770285300,9788498723533,2,16.26,ines.bernard34@example.org,Magasin
1778155800,9798893310856,1,6.81,chloe.martin77@example.org,place de marché
1761473460,9780263762495,1,24.91,hugo.bernard83@example.org,MP
1762367040,9781476878584,1,22.6,jade.morel48@example.org,MP
1761571200,9785389061606,1,6.07,arthur.bernard78@example.org,magasin
1758957120,9780263095760,3,22.67,gabriel.roux60@example.org,STORE
1768056540,9785389061606,3,-21.29,zoe.david47@example.org,web
1781096760,9780198118756,1,29.26,jade.bernard32@example.org,boutique
1772103720,9780743486286,1,25.06,jules.martin39@example.org,STORE
1775221620,9780140440577,1,6.48,gabriel.martin25@example.org,site
1780320660,9788427298286,1,15.37,jade.moreau36@example.org,place de marché
1765609560,9780349440187,1,23.81,arthur.roux25@example.org,STORE
1779085980,9785170912360,1,25.91,hugo.leroy91@example.org,en ligne
1772386440,9782266208178,1,21.16,hugo.fournier85@example.org,boutique
1755190200,9780356232928,1,22.42,jade.david8@example.org,online
1768483320,9780263775570,1,29.69,lea.lefebvre80@example.org,online
1763381460,9780007354733,3,18.64,camille.morel44@example.org,online
1758789060,9783552044319,1,27.42,jules.martin5@example.org,site
1758038520,9780894108815,3,28.89,louis.martin16@example.org,magasin
1751709120,9788498723533,1,23.48,arthur.martin96@example.org,site
1764949860,,1,38.18,gabriel.moreau91@example.org,STORE
1765008300,9783423262644,1,26.64,jules.bertrand62@example.org,STORE
1779816780,9781561005987,2,9.5,camille.dubois9@example.org,web
1765787220,9781977668066,1,21.22,gabriel.laurent88@example.org,web
1760860860,9781101160459,1,37.37,chloe.bertrand61@example.org,magasin
1766502240,9780856352737,2,21.51,theo.bernard82@example.org,Magasin
1770034260,9781101160459,1,29.28,theo.david84@example.org,place de marché
1779016380,9791000000999,2,21.49,lea.michel82@example.org,web
1755678420,9798450814261,1,17.8,louis.david82@example.org,Magasin
1754119320,9780267171989,2,28.18,lucas.simon85@example.org,magasin
1779470460,9798688109153,1,20.62,camille.laurent87@example.org,marketplace
1772786220,9788448034580,1,20.71,lea.bernard82@example.org,web
1769933460,9780786936137,1,8.74,chloe.roux44@example.org,STORE
1755338820,9780155826083,1,19.62,lucas.fournier74@example.org,STORE
1766665080,9780833589484,1,31.12,lucas.moreau58@example.org,marketplace
1758189240,9780263751635,2,18.24,ines.david85@example.org,en ligne
1751468460,9780385233132,0,30.38,ines.leroy78@example.org,marketplace
1774254000,9780061244650,2,27.32,theo.fournier75@example.org,online
1751817180,9780241745168,1,29.16,arthur.lefebvre18@example.org,STORE
1775320860,9791000000349,1,11.35,ines.moreau39@example.org,magasin
1759220760,9780810918849,1,25.65,gabriel.laurent76@example.org,marketplace
1762792920,9789719201847,1,21.68,zoe.simon41@example.org,STORE
1774948260,9783608938296,2,10.02,manon.martin73@example.org,magasin
1773588000,9780671702427,1,36.47,arthur.fournier40@example.org,boutique
1757674200,9780316501286,1,9.81,louis.lefebvre46@example.org,place de marché
1771340580,9780812992182,1,6.06,lea.martin46@example.org,marketplace
1756139340,9781597223072,1,33.28,hugo.moreau81@example.org,online
1760866920,9780062225719,1,21.68,hugo.michel32@example.org,online
1765987200,9781424231355,2,14.68,lea.bernard82@example.org,STORE
1772908140,9783453186880,1,20.75,gabriel.leroy68@example.org,site
1781937540,9780881039108,1,7.91,ines.dubois38@example.org,Magasin
1774607460,9789189298323,1,7.5,camille.david5@example.org,site
1751350860,9791000000239,1,16.57,emma.fournier85@example.org,online
1755710040,9780030314810,1,23.26,hugo.dubois36@example.org,STORE
1775629560,9781594131523,2,29.18,hugo.michel97@example.org,site
1753188420,9791000000189,1,22.38,lucas.david46@example.org,web
1754478720,9798688109153,2,26.77,zoe.fournier95@example.org,web
1772108700,9780380813018,1,24.67,chloe.leroy72@example.org,online
1756902600,9780020701705,1,9.14,hugo.michel1@example.org,online
1770032760,9780061728419,1,22.39,manon.morel33@example.org,online
1778347020,9780263771213,1,11.35,emma.dubois4@example.org,Magasin
1763656740,,1,20.91,louis.lefebvre37@example.org,web
1773906120,9780465067091,1,24.7,emma.leroy63@example.org,STORE
1762185780,9791000000149,3,14.75,jules.morel43@example.org,marketplace
1753808220,9781984801494,1,4.68,jules.leroy81@example.org,boutique
1782295440,9788804507727,1,11.44,zoe.morel30@example.org,en ligne
1759231620,9791000000069,2,18.09,louis.simon90@example.org,boutique
1772196840,9780671746520,1,34.53,lea.leroy70@example.org,boutique
1759249980,9791000000579,1,20.48,jules.dubois9@example.org,web
1780126920,9781588810403,1,24.98,louis.moreau20@example.org,boutique
1773680280,9780511783289,1,29.85,theo.simon13@example.org,boutique
1769940660,9780679803072,1,4.59,zoe.fournier69@example.org,Magasin
1771073100,9791000000539,1,14.79,emma.morel1@example.org,Magasin
1772967120,9781101192740,1,27.36,emma.bertrand31@example.org,boutique
1775544240,9780008653149,1,15.7,lea.leroy95@example.org,Magasin
1751456700,9780205176076,1,11.56,lea.bernard84@example.org,web
1757512620,9781594634956,2,14.08,manon.michel52@example.org,Magasin
1765729020,9781283677127,1,20.48,lea.roux35@example.org,boutique
1766246160,9780345301451,1,26.94,camille.leroy47@example.org,magasin
1764850440,9781409413615,1,13.89,lucas.fournier96@example.org,magasin
1770037200,9791000000419,3,17.63,manon.fournier22@example.org,en ligne
1758107460,9785882156922,2,24.38,hugo.bertrand20@example.org,Magasin
1776529200,9781695322240,1,29.33,theo.morel72@example.org,magasin
1771526880,9780393656435,1,33.66,zoe.david26@example.org,web
1758547320,9783442249329,1,23.99,zoe.michel12@example.org,site
1777830840,9788445073834,2,38.94,jules.dubois67@example.org,Magasin
1779787500,9781984842305,3,16.67,lucas.bertrand85@example.org,magasin
1776934260,9780606011938,1,33.5,zoe.roux14@example.org,Magasin
1763027040,9781092148580,1,23.47,hugo.leroy91@example.org,STORE
1780925400,9781442472426,1,32.01,hugo.laurent52@example.org,Magasin
1753537200,9781984819574,2,37.81,manon.leroy85@example.org,magasin
1758992880,9780807275122,1,38.57,arthur.bertrand36@example.org,Magasin
1754917500,9780380395606,1,17.44,gabriel.moreau81@example.org,magasin
1754231400,9781439116050,2,36.98,manon.leroy48@example.org,MP
1778175060,9798739955418,2,34.99,hugo.fournier67@example.org,magasin
1762427340,9780878210329,1,14.63,jade.michel75@example.org,online
1763051580,9780718033323,1,16.24,nathan.martin15@example.org,STORE
1776689340,9791000000539,1,32.72,zoe.david26@example.org,magasin
1781077380,9791000000459,1,31.67,lea.moreau65@example.org,Magasin
1751623860,9791000000319,1,7.08,camille.bertrand53@example.org,site
1761314640,9780356521640,2,28.03,arthur.bernard62@example.org,MP
1756398480,9781886463172,1,14.73,lea.morel50@example.org,boutique
1766494980,9780049140172,3,17.23,zoe.roux97@example.org,Magasin
1781284740,9780380813018,1,25.63,chloe.lefebvre20@example.org,STORE
1770280080,9789020554113,1,23.44,chloe.fournier64@example.org,STORE
1764843900,9780736628174,3,-31.18,jules.dubois64@example.org,magasin
1761929580,9781538739723,2,29.83,lucas.bertrand61@example.org,online
1779194220,9781617807558,1,39.09,arthur.dubois25@example.org,Magasin
1765045680,9791000000389,1,15.99,arthur.lefebvre72@example.org,site
1758953160,9780718033323,2,4.89,theo.leroy50@example.org,boutique
1774440720,9780263757538,1,29.96,manon.lefebvre77@example.org,magasin
1782806940,9780688184742,1,18.65,ines.roux83@example.org,marketplace
1762772400,9781594634956,1,32.37,louis.bertrand26@example.org,magasin
1779354240,9780345337757,0,36.01,nathan.morel33@example.org,boutique
1756966440,9791000000239,1,22.39,nathan.simon77@example.org,Magasin
1765955040,9791000000139,1,9.83,arthur.moreau59@example.org,boutique
1756361400,9780809533756,1,25.27,manon.dubois35@example.org,magasin
1765454580,9791000000579,1,23.09,jules.martin50@example.org,magasin
1751880900,9781982127794,1,22.0,jade.dubois35@example.org,magasin
1756968840,9780896216921,1,33.82,jules.martin87@example.org,boutique
1761582480,9780393419610,1,24.26,louis.fournier41@example.org,Magasin
1757607660,9781483928197,3,28.49,louis.bernard70@example.org,boutique
1754674920,9780140256352,1,21.89,nathan.lefebvre43@example.org,boutique
1761391200,9781594488849,1,31.77,jules.moreau51@example.org,site
1774601580,9789953432540,1,26.23,gabriel.leroy22@example.org,web
1774078500,9780374524524,1,11.85,lea.roux44@example.org,online
1775575260,9791000000729,0,4.86,chloe.martin81@example.org,STORE
1762434900,9789871144686,1,25.54,arthur.fournier40@example.org,boutique
1775484840,9780856352737,1,27.29,chloe.david88@example.org,web
1755584700,9783608938296,2,27.69,camille.bertrand96@example.org,marketplace
1755191160,9780816150694,2,12.98,emma.martin69@example.org,marketplace
1755790620,9781539145943,2,29.38,emma.leroy61@example.org,en ligne
1755169860,9791000000979,1,5.05,emma.martin38@example.org,magasin
1754141160,9788422631880,1,39.5,lucas.lefebvre83@example.org,magasin
1775400300,9781424231355,2,39.55,gabriel.lefebvre14@example.org,Magasin
1779792900,9780263778809,1,-34.67,camille.dubois86@example.org,Magasin
1769944380,9780525572923,1,32.52,emma.david87@example.org,online
1760609280,9781442426757,2,37.31,gabriel.michel50@example.org,web
1776858360,9783550068751,1,37.68,lea.fournier21@example.org,boutique
1781510160,9780064601375,1,16.71,jade.lefebvre28@example.org,en ligne
1774953240,9780449200070,1,35.13,manon.lefebvre85@example.org,boutique
1777553760,9798893311020,1,28.31,zoe.laurent66@example.org,boutique
1775561820,9782207256343,1,12.16,gabriel.lefebvre19@example.org,magasin
1781540100,9781591846918,2,25.33,nathan.laurent91@example.org,Magasin
1763561280,9781449486792,3,21.06,louis.martin67@example.org,STORE
1751807520,9780525572923,1,8.23,lea.lefebvre37@example.org,Magasin
1752146580,978281120345X,1,19.36,hugo.michel36@example.org,boutique
1777739820,9781421809083,1,17.68,hugo.simon76@example.org,web
1754050500,9780330471138,1,34.58,jules.bernard51@example.org,place de marché
1767616500,9791000000099,1,6.98,manon.lefebvre57@example.org,web
1763820600,9780061652264,0,19.74,gabriel.laurent57@example.org,STORE
1766154360,9781568497037,1,12.19,lucas.martin35@example.org,online
1782135120,9789508700568,2,34.07,ines.bertrand18@example.org,Magasin
1769273520,9780263782011,1,32.83,jules.moreau5@example.org,online
1767352800,9781400142866,1,16.64,chloe.fournier97@example.org,online
1757151900,9780193151468,2,25.32,nathan.roux34@example.org,place de marché
1781943420,9780945353874,3,12.84,manon.moreau32@example.org,online
1762155480,9780373104420,1,5.82,nathan.roux29@example.org,Magasin
1780846680,9780807275122,1,39.71,jade.bernard79@example.org,online
1753461480,9791000000619,3,7.35,zoe.morel87@example.org,site
1768312920,9780374524524,1,24.68,chloe.laurent84@example.org,magasin
1766412240,9780575085688,1,28.47,manon.dubois58@example.org,STORE
1779632400,978006095685X,1,33.44,theo.dubois82@example.org,Magasin
1771578540,9791000000559,1,11.3,ines.michel40@example.org,Magasin
1756286580,9780345458889,2,19.12,hugo.fournier49@example.org,site
1765283820,9791000000199,3,37.85,arthur.bertrand2@example.org,marketplace
1767611520,9780547524009,3,24.18,louis.leroy15@example.org,online
1765718940,9791000000359,1,13.78,lea.fournier99@example.org,magasin
1758904260,9780658006340,1,12.42,emma.bernard53@example.org,marketplace
1776702960,9791000000549,1,37.04,chloe.lefebvre1@example.org,online
1769853060,9798753137173,1,24.49,hugo.david7@example.org,marketplace
1760340900,9780263120974,1,15.93,nathan.dubois35@example.org,magasin
1757411640,9798893311020,1,21.61,theo.bertrand68@example.org,Magasin
1769101320,9780091203207,2,25.46,louis.laurent59@example.org,Magasin
1779451920,9780750503075,3,25.45,louis.lefebvre52@example.org,site
1763205300,9791000000209,1,28.3,louis.martin82@example.org,web
1770489240,9780439451932,2,26.5,zoe.leroy22@example.org,online
1765960080,9782207256343,1,11.2,arthur.laurent41@example.org,boutique
1753597740,9788476603819,2,18.11,manon.morel79@example.org,magasin
1775033640,9781409095484,1,11.52,camille.michel43@example.org,place de marché
1761398820,9798596021639,1,13.83,hugo.morel99@example.org,place de marché
1759129620,9791000000969,1,6.25,ines.morel39@example.org,en ligne
1762944540,9780606283892,1,16.14,nathan.moreau18@example.org,boutique
1754465820,978038049668X,1,17.52,hugo.martin85@example.org,magasin
1771783680,9781478312932,1,11.31,manon.roux39@example.org,STORE
1751992800,9780072457445,1,9.73,emma.david8@example.org,STORE
1781519580,9788481096156,1,27.45,camille.david58@example.org,Magasin
1762338780,9780800854539,1,23.91,arthur.bertrand50@example.org,web
1780664940,9781408880715,1,14.78,jules.martin22@example.org,web
1758369960,9781417727582,2,19.87,zoe.leroy72@example.org,Magasin
1755878340,9789022591932,1,38.35,camille.fournier41@example.org,Magasin
1758389100,9780451493835,1,5.23,hugo.leroy24@example.org,magasin
1781013360,9780486851921,1,4.92,lea.bernard8@example.org,magasin
1758992820,9786051719092,1,10.46,camille.moreau70@example.org,Magasin
1766154300,9780575073241,2,8.22,louis.michel47@example.org,STORE
1754822160,9781434267276,2,18.45,theo.fournier18@example.org,place de marché
1781285940,9791000000199,1,36.94,arthur.martin74@example.org,Magasin
1755265860,9780195365931,1,10.13,louis.bertrand96@example.org,marketplace
1780562640,9798618236188,3,29.59,hugo.lefebvre9@example.org,STORE
1772644500,9780534359454,1,32.48,jade.moreau24@example.org,MP
1764227220,9791000000479,3,18.84,theo.lefebvre24@example.org,en ligne
