date_vente,isbn,quantite,prix_unitaire_eur,email_client,canal,id_caisse,version_export
2025-09-19,9791000000749,2,6.01,gabriel.fournier64@example.org,magasin,3659,v2.3
2026-05-07,9780061451652,1,17.81,arthur.lefebvre33@example.org,en ligne,1303,v2.3
2025-07-18,9782221073841,2,39.61,manon.moreau75@example.org,online,5363,v2.3
2025-08-27,9781092148580,1,29.44,camille.moreau86@example.org,MP,7577,v2.3
2025-11-03,9780136054054,2,22.59,arthur.bertrand88@example.org,magasin,7077,v2.3
2026-03-06,9782702400500,1,37.1,jules.moreau11@example.org,place de marché,6017,v2.3
2026-01-20,9780396080176,1,19.92,,STORE,7439,v2.3
2026-03-18,9780425104347,2,27.24,zoe.leroy71@example.org,STORE,5912,v2.3
2026-03-14,9780007815586,2,21.9,,Magasin,4551,v2.3
2025-11-27,9780330471138,1,20.72,theo.michel9@example.org,magasin,4093,v2.3
2026-04-28,9780521205542,3,10.76,hugo.david92@example.org,place de marché,4804,v2.3
2025-08-19,9781408999233,1,27.49,,online,1493,v2.3
2026-01-20,9780230015760,1,19.57,,site,9862,v2.3
2026-01-14,9791000000639,2,6.64,hugo.martin41@example.org,boutique,2857,v2.3
2025-08-19,9783734163357,2,5.89,zoe.michel48@example.org,magasin,9905,v2.3
2025-10-23,9780416027020,1,34.21,theo.roux48@example.org,MP,1279,v2.3
2025-11-05,9780140209723,0,31.16,gabriel.fournier89@example.org,magasin,1586,v2.3
2026-04-03,9780571226856,2,37.84,louis.morel92@example.org,place de marché,6797,v2.3
2025-12-02,9781547277322,1,22.96,gabriel.leroy57@example.org,Magasin,6594,v2.3
2026-06-21,9781433207938,1,19.06,jade.dubois15@example.org,boutique,3693,v2.3
2026-05-20,9789794130834,1,6.92,manon.bertrand30@example.org,magasin,9796,v2.3
2025-10-10,9791000000589,1,22.63,chloe.david39@example.org,STORE,3016,v2.3
2025-08-03,9788191032406,2,36.79,jules.leroy99@example.org,STORE,1781,v2.3
2025-07-22,9780263096378,1,32.07,,Magasin,8038,v2.3
2026-01-24,9781417999729,1,35.81,,boutique,2770,v2.3
2025-12-01,9780193151468,1,15.52,theo.david57@example.org,magasin,4996,v2.3
2026-04-20,9791000000229,1,33.75,louis.fournier10@example.org,online,8064,v2.3
2026-02-26,978957467950X,2,27.84,theo.bertrand19@example.org,web,1970,v2.3
2025-08-23,9788447369225,1,36.09,emma.bernard91@example.org,STORE,6449,v2.3
2026-03-03,9780072957549,1,5.2,arthur.david73@example.org,online,1525,v2.3
2025-10-24,9780071332484,1,6.64,manon.roux50@example.org,magasin,6918,v2.3
2026-01-31,978030747249X,1,26.91,lea.roux51@example.org,online,2234,v2.3
2025-08-17,9788501110008,1,6.32,gabriel.simon89@example.org,Magasin,6085,v2.3
2026-02-09,9789132428876,2,37.18,,en ligne,9093,v2.3
2026-02-15,9788408282952,1,35.8,zoe.bernard23@example.org,site,4953,v2.3
2026-04-19,9791000000929,1,29.07,lea.lefebvre49@example.org,Magasin,4859,v2.3
2026-03-08,9781491514931,1,8.99,zoe.roux55@example.org,boutique,9398,v2.3
2025-12-04,9780517082461,1,22.4,theo.moreau1@example.org,site,5947,v2.3
2026-04-06,9781976446184,1,31.22,gabriel.morel37@example.org,Magasin,5805,v2.3
2025-12-22,9780007354733,1,30.62,,online,4665,v2.3
2025-12-03,9781848721791,1,21.72,manon.roux91@example.org,boutique,9624,v2.3
2025-07-04,9780061652264,2,9.5,jade.leroy52@example.org,online,7658,v2.3
2026-06-16,9780358213253,1,17.67,arthur.leroy48@example.org,STORE,4662,v2.3
2026-06-27,9780671702427,2,35.89,chloe.martin75@example.org,boutique,4770,v2.3
2026-01-31,9780140449532,1,36.75,nathan.moreau17@example.org,boutique,1080,v2.3
2026-02-21,9781685450984,1,7.19,louis.michel51@example.org,STORE,4010,v2.3
2026-06-20,9788439707929,1,31.42,manon.fournier41@example.org,en ligne,3405,v2.3
2026-05-28,9780613135818,1,7.97,emma.david55@example.org,MP,2519,v2.3
2026-06-02,978083177404X,1,19.67,chloe.leroy20@example.org,magasin,3192,v2.3
2025-08-05,9780446511070,1,13.53,gabriel.laurent15@example.org,Magasin,2730,v2.3
2025-10-31,9789643114190,1,18.28,,web,3856,v2.3
2026-05-10,9781432622459,1,22.39,chloe.leroy58@example.org,online,2137,v2.3
2025-10-16,9780439982566,2,18.61,emma.simon66@example.org,magasin,6284,v2.3
2025-10-16,9780061003776,2,19.85,,marketplace,3540,v2.3
2025-11-05,9781679521836,1,33.11,hugo.lefebvre70@example.org,online,1289,v2.3
2026-05-20,9787229030933,1,25.02,camille.michel67@example.org,STORE,9535,v2.3
2026-05-02,9781417601356,1,11.47,,place de marché,8532,v2.3
2026-05-12,9780857550460,1,23.66,zoe.dubois93@example.org,marketplace,7875,v2.3
2026-05-20,9788934977841,1,7.62,jules.lefebvre52@example.org,Magasin,6453,v2.3
2026-02-13,9780739371077,2,34.71,zoe.david92@example.org,boutique,4984,v2.3
2026-03-04,9781408999011,1,6.89,jules.simon84@example.org,online,4554,v2.3
2026-02-06,9780263102734,3,24.83,,STORE,5187,v2.3
2026-03-06,9781436253796,1,19.53,manon.dubois50@example.org,magasin,8378,v2.3
2025-10-29,9788308048948,1,39.33,arthur.lefebvre25@example.org,Magasin,9441,v2.3
2026-03-28,9781559343602,1,25.94,gabriel.morel51@example.org,magasin,5356,v2.3
2026-04-24,9780575042681,1,12.93,lucas.lefebvre24@example.org,STORE,7315,v2.3
2025-10-13,9788417454432,1,21.34,emma.morel51@example.org,STORE,5486,v2.3
2026-02-24,9780061244650,1,28.46,theo.fournier30@example.org,STORE,3549,v2.3
2025-07-05,9780471119463,1,33.24,gabriel.michel88@example.org,boutique,5238,v2.3
2025-11-15,9780756992248,2,39.51,camille.simon9@example.org,en ligne,4371,v2.3
2025-12-06,9780140138351,2,30.97,lucas.bertrand78@example.org,online,8812,v2.3
2025-10-24,9780007163243,1,32.64,hugo.michel38@example.org,Magasin,4598,v2.3
2025-08-01,9781421889276,1,37.0,zoe.lefebvre19@example.org,boutique,1685,v2.3
2026-06-23,9781886463172,1,36.62,lea.morel42@example.org,boutique,1112,v2.3
2025-07-18,9780062457806,1,4.89,zoe.morel47@example.org,magasin,2623,v2.3
2026-03-01,9780373024209,1,35.41,arthur.morel89@example.org,online,7635,v2.3
2025-11-02,9781982127794,1,5.87,ines.bernard33@example.org,en ligne,3483,v2.3
2026-04-10,9781481428149,1,28.48,nathan.michel67@example.org,magasin,3893,v2.3
2025-07-20,9781539170389,1,4.73,camille.michel79@example.org,magasin,1765,v2.3
2026-01-04,9789795533412,2,16.76,hugo.fournier75@example.org,place de marché,3060,v2.3
2025-09-12,9781737507710,1,15.79,gabriel.simon24@example.org,boutique,2460,v2.3
2025-08-19,9780967162461,2,23.48,theo.laurent99@example.org,magasin,1195,v2.3
2026-04-19,9780373107148,1,7.52,zoe.michel73@example.org,boutique,2779,v2.3
2025-07-27,9788828350453,1,15.72,,Magasin,6635,v2.3
2026-06-03,9780590113076,2,25.66,,boutique,8997,v2.3
2025-08-27,9780679803072,2,33.1,arthur.laurent6@example.org,magasin,9235,v2.3
2025-10-06,9780263790429,1,24.96,,boutique,9110,v2.3
2025-12-08,9780750504355,1,35.98,jade.dubois65@example.org,boutique,5784,v2.3
2026-05-25,9780718188740,1,6.5,,STORE,7331,v2.3
2026-01-13,9788501117687,1,37.62,nathan.roux13@example.org,boutique,7842,v2.3
2025-07-28,9780060826086,2,23.84,gabriel.simon34@example.org,site,8382,v2.3
2025-11-17,9780872205925,3,25.54,,STORE,1609,v2.3
2026-02-21,9781428640382,1,11.11,arthur.david7@example.org,place de marché,4861,v2.3
2025-11-07,9780345337757,1,23.24,jules.simon52@example.org,MP,8779,v2.3
2025-07-15,9780241269657,2,30.23,lucas.michel1@example.org,STORE,8470,v2.3
2026-01-17,9781561037629,1,4.87,nathan.dubois87@example.org,boutique,2328,v2.3
2025-07-27,9781399633871,1,17.77,jade.michel8@example.org,MP,7123,v2.3
2025-12-26,9780810997516,1,22.6,lucas.david48@example.org,Magasin,6262,v2.3
2026-03-06,9782265077249,2,12.03,arthur.roux90@example.org,boutique,5304,v2.3
2026-05-05,9780872863101,1,12.49,emma.roux76@example.org,magasin,3709,v2.3
2025-12-14,9780062839701,1,29.06,,site,9772,v2.3
2026-02-19,9798427336826,3,14.13,lea.morel99@example.org,STORE,5923,v2.3
2026-06-11,9780141038148,1,7.36,lea.fournier81@example.org,magasin,7628,v2.3
2026-05-28,978038049668X,2,9.23,arthur.lefebvre25@example.org,magasin,1923,v2.3
2025-11-05,9780062019813,1,39.29,hugo.bernard34@example.org,en ligne,6027,v2.3
2025-11-05,9780143566526,1,31.7,camille.moreau40@example.org,MP,1023,v2.3
2025-10-09,9798669140557,2,22.73,manon.david20@example.org,STORE,2494,v2.3
2026-01-23,9791000000899,2,24.06,gabriel.morel69@example.org,magasin,7235,v2.3
2025-12-18,9791000000449,1,5.61,,en ligne,4709,v2.3
2026-06-24,9781958292068,1,8.6,arthur.fournier48@example.org,marketplace,2608,v2.3
2025-12-08,9780571226856,1,23.74,ines.lefebvre70@example.org,marketplace,5874,v2.3
2025-07-26,9791000000869,1,26.48,,magasin,7075,v2.3
2026-03-29,9781092148580,2,8.55,nathan.laurent35@example.org,online,5870,v2.3
2026-05-02,9780062111234,1,13.44,,magasin,6092,v2.3
2026-01-25,9791000000429,1,34.36,jade.michel55@example.org,en ligne,7580,v2.3
2025-12-08,9780971830516,1,32.02,jade.moreau64@example.org,Magasin,1127,v2.3
2026-01-01,9789144023649,1,16.97,jules.dubois85@example.org,boutique,7334,v2.3
2025-09-06,9780061451652,2,24.36,gabriel.dubois24@example.org,Magasin,5437,v2.3
2025-11-15,9780345337757,2,26.23,nathan.leroy83@example.org,Magasin,6142,v2.3
2026-01-14,9791000000089,1,22.79,jade.moreau92@example.org,STORE,8648,v2.3
2025-07-31,9788432217456,1,11.81,lea.david47@example.org,magasin,6907,v2.3
2025-08-09,9783442457472,3,16.73,nathan.fournier14@example.org,online,2089,v2.3
2025-09-22,9780945353874,1,21.31,theo.laurent59@example.org,web,5779,v2.3
2025-09-28,9780553350630,2,35.97,,Magasin,2341,v2.3
2026-06-23,9791000000979,2,24.24,louis.simon67@example.org,STORE,6371,v2.3
2026-03-25,9791000000729,3,14.18,,en ligne,1430,v2.3
2026-06-14,9781280839290,1,23.18,theo.lefebvre36@example.org,site,1415,v2.3
2025-10-08,9785763905953,1,24.84,gabriel.bernard96@example.org,online,6854,v2.3
2025-12-22,9781435336667,1,24.74,,boutique,8052,v2.3
2025-11-12,9783464107676,1,7.56,jules.roux41@example.org,en ligne,5428,v2.3
2025-08-09,9782221125779,2,27.95,theo.bernard48@example.org,boutique,2609,v2.3
2026-02-07,9780140281118,1,13.39,,magasin,2789,v2.3
2025-07-25,9791000000139,2,28.13,manon.roux16@example.org,en ligne,4038,v2.3
2025-10-17,9789507511288,1,38.5,,STORE,5924,v2.3
2025-08-18,9788501110008,1,28.33,jade.david39@example.org,magasin,3851,v2.3
2026-02-28,9781850890362,1,19.56,manon.martin93@example.org,magasin,9483,v2.3
2025-08-06,9789578278035,1,6.94,camille.lefebvre15@example.org,STORE,5867,v2.3
2025-08-22,9780263121407,3,36.49,nathan.laurent75@example.org,STORE,2386,v2.3
2026-04-25,9780263758993,1,17.21,chloe.leroy63@example.org,boutique,9971,v2.3
2025-07-19,9791000000809,2,10.69,jade.michel93@example.org,magasin,8589,v2.3
2026-03-22,9781250275042,1,13.04,lea.michel70@example.org,en ligne,9389,v2.3
2026-02-25,9781483928197,1,11.42,camille.fournier77@example.org,magasin,5731,v2.3
2025-07-09,9781883217044,1,37.67,,magasin,4923,v2.3
2026-06-05,9780062019813,1,4.59,lucas.bertrand93@example.org,magasin,3442,v2.3
2026-05-11,9789508700568,1,34.19,arthur.moreau28@example.org,site,8486,v2.3
2026-03-10,9798417265099,2,12.97,emma.morel59@example.org,boutique,9077,v2.3
2026-03-12,9781250819369,2,26.2,,boutique,4472,v2.3
2026-05-29,9780714822761,2,16.25,jules.laurent60@example.org,boutique,2125,v2.3
2025-12-15,9781410498700,1,19.31,lucas.laurent76@example.org,boutique,8640,v2.3
2025-12-24,9783442245666,1,38.42,zoe.moreau99@example.org,STORE,9148,v2.3
2025-08-19,9781432645960,1,16.77,gabriel.laurent19@example.org,online,6895,v2.3
2026-01-11,9780263753820,1,5.4,zoe.dubois60@example.org,STORE,6955,v2.3
2026-06-24,9780307262196,1,27.68,hugo.bernard50@example.org,en ligne,3671,v2.3
2025-08-05,9780130853660,1,7.65,chloe.michel47@example.org,Magasin,6222,v2.3
2025-07-26,9791000000989,1,31.45,lucas.laurent23@example.org,Magasin,6216,v2.3
2026-01-28,9791020924636,1,27.37,louis.dubois25@example.org,STORE,6579,v2.3
2026-02-22,9781594488849,3,11.14,,STORE,5427,v2.3
2026-04-14,9780862416041,1,16.04,,en ligne,5776,v2.3
2025-11-16,9781910695821,1,17.08,lucas.simon14@example.org,boutique,1885,v2.3
2026-03-20,9780590113076,2,28.26,gabriel.moreau69@example.org,boutique,9971,v2.3
2026-01-25,9780256234787,1,20.57,chloe.bernard95@example.org,magasin,5700,v2.3
2025-09-04,9781177541923,1,12.45,arthur.simon27@example.org,STORE,9856,v2.3
2025-12-02,9780140449532,2,12.09,ines.laurent87@example.org,STORE,7625,v2.3
2026-02-18,9780142423295,1,23.13,hugo.roux55@example.org,web,7982,v2.3
2025-09-04,9780451622891,1,35.21,chloe.martin80@example.org,boutique,2947,v2.3
2026-06-18,9785170178285,3,16.52,lea.simon9@example.org,MP,5889,v2.3
2025-11-24,9780800712136,1,37.97,camille.morel56@example.org,boutique,3526,v2.3
2025-11-08,9788418052637,1,17.17,ines.michel14@example.org,marketplace,1816,v2.3
2026-06-06,9791000000339,1,32.85,camille.dubois23@example.org,magasin,7253,v2.3
2025-10-16,9798987380420,1,17.36,louis.bernard54@example.org,web,5066,v2.3
2025-09-17,9780393963298,1,13.68,manon.dubois22@example.org,Magasin,6438,v2.3
2026-05-18,9780263784701,1,39.87,emma.bernard38@example.org,en ligne,1798,v2.3
2026-03-01,9780970373908,1,5.79,,Magasin,6824,v2.3
2026-02-11,9798450814261,1,33.17,lea.david16@example.org,STORE,9670,v2.3
2025-08-21,9780061857171,1,23.5,louis.moreau23@example.org,online,8012,v2.3
2025-12-29,9781409413615,1,26.12,jules.moreau25@example.org,Magasin,6566,v2.3
2026-04-15,9781957568225,1,5.74,ines.lefebvre11@example.org,online,6444,v2.3
2025-10-11,9798791612762,1,17.03,ines.simon18@example.org,Magasin,1110,v2.3
2026-04-13,9780415478816,1,27.11,louis.david49@example.org,marketplace,3963,v2.3
2025-10-19,9780534359454,1,5.28,hugo.martin80@example.org,online,7372,v2.3
2025-08-10,9780708883587,2,4.94,gabriel.lefebvre73@example.org,Magasin,8907,v2.3
2026-05-07,9780393966848,1,23.07,,magasin,5165,v2.3
2026-05-18,9781093750065,1,38.84,zoe.laurent50@example.org,site,9230,v2.3
2026-06-03,9786020332116,1,27.94,jules.dubois38@example.org,magasin,6801,v2.3
2025-08-27,9788447369225,2,16.07,jade.moreau58@example.org,boutique,7494,v2.3
2025-10-12,9780671458423,2,5.71,jade.michel56@example.org,Magasin,6125,v2.3
2026-03-30,9789684196780,2,34.0,,site,2601,v2.3
2025-08-04,9780833566980,2,29.07,lucas.fournier97@example.org,magasin,4885,v2.3
2026-05-12,978083177404X,2,11.82,jade.bertrand47@example.org,STORE,1494,v2.3
2025-08-10,9780061492570,1,20.04,lea.david6@example.org,web,6937,v2.3
2026-06-04,9781547277322,1,16.2,gabriel.martin72@example.org,en ligne,9034,v2.3
2026-05-09,9780263853087,1,39.5,theo.moreau33@example.org,boutique,3039,v2.3
2025-11-12,9781250030962,1,16.3,nathan.dubois45@example.org,Magasin,3906,v2.3
2025-09-10,9780747557777,3,4.67,nathan.leroy6@example.org,STORE,6563,v2.3
2026-04-21,9781434267276,2,30.3,,STORE,4296,v2.3
2025-11-27,9781119251736,1,6.61,lucas.martin86@example.org,site,5008,v2.3
2026-06-11,9781421809083,1,14.16,louis.roux89@example.org,online,4685,v2.3
2026-01-29,9798561631788,1,10.96,gabriel.laurent58@example.org,marketplace,3532,v2.3
2025-11-14,9780765314673,1,24.85,louis.laurent44@example.org,boutique,3018,v2.3
2026-01-20,9781405617093,2,8.98,,Magasin,6666,v2.3
2026-05-19,9780345301451,1,28.31,jade.leroy84@example.org,STORE,9512,v2.3
2025-10-04,9780486243832,2,38.03,,site,5713,v2.3
2026-04-07,9786073814423,1,10.36,theo.morel99@example.org,Magasin,7465,v2.3
2025-11-10,9791000000059,1,31.65,jules.roux63@example.org,magasin,6019,v2.3
2026-05-08,9780061741005,2,25.28,camille.roux56@example.org,boutique,4489,v2.3
2025-08-21,9781760892531,2,15.76,,STORE,7930,v2.3
2025-10-29,9798596021639,1,9.29,lucas.moreau31@example.org,online,8160,v2.3
2025-07-01,9789711024154,1,15.42,hugo.lefebvre98@example.org,Magasin,4233,v2.3
2026-04-08,9781521093443,1,17.52,zoe.bernard64@example.org,marketplace,3036,v2.3
2025-08-28,9789721041028,1,12.54,camille.moreau24@example.org,STORE,1882,v2.3
2026-04-21,9791000000369,2,14.11,manon.bernard25@example.org,marketplace,6295,v2.3
2025-08-21,9780450055492,1,19.18,hugo.roux38@example.org,STORE,4115,v2.3
2026-01-28,9780840356451,1,7.58,theo.moreau3@example.org,magasin,1654,v2.3
2026-05-25,9791000000889,1,15.52,nathan.moreau10@example.org,MP,6512,v2.3
2026-05-24,9781283677127,1,33.52,jade.michel64@example.org,site,4146,v2.3
2025-12-04,9780894108815,2,29.49,ines.bernard96@example.org,STORE,4050,v2.3
2025-10-03,9780736614818,2,9.3,emma.simon88@example.org,boutique,4161,v2.3
2026-03-19,9788432217456,1,11.12,,web,4467,v2.3
2026-05-02,9780061728419,1,38.96,,web,3548,v2.3
2025-10-22,9781476873626,1,28.18,arthur.martin88@example.org,MP,1767,v2.3
2026-02-07,9780142423295,1,11.45,lea.simon36@example.org,magasin,2925,v2.3
2025-11-11,9781521093443,1,4.8,zoe.simon2@example.org,magasin,1666,v2.3
2025-09-11,9781539170389,1,38.44,manon.roux15@example.org,STORE,9013,v2.3
2025-07-09,9780198118312,1,17.97,jade.moreau53@example.org,STORE,9980,v2.3
2025-09-17,9780415478816,1,36.76,,STORE,1550,v2.3
2025-10-12,9781440673641,1,22.54,arthur.roux56@example.org,MP,9183,v2.3
2026-01-16,9798790221941,1,37.32,jade.roux66@example.org,online,9462,v2.3
2025-07-03,9791000000149,2,28.96,,online,7601,v2.3
2026-04-14,9798671330687,2,29.94,emma.morel13@example.org,online,8420,v2.3
2026-05-25,9791000000749,1,34.98,nathan.roux73@example.org,Magasin,7820,v2.3
2026-05-05,9798377220947,1,34.84,lucas.bernard40@example.org,Magasin,8042,v2.3
2025-09-02,979100000100X,1,5.97,chloe.leroy37@example.org,STORE,9307,v2.3
2025-09-15,9780061944727,1,19.32,louis.fournier21@example.org,place de marché,4275,v2.3
2025-12-08,9781534431010,1,15.36,lea.morel2@example.org,Magasin,2448,v2.3
2026-06-10,9791000000609,1,10.51,chloe.dubois94@example.org,STORE,1532,v2.3
2026-02-17,9780263775570,1,36.75,ines.morel6@example.org,MP,4502,v2.3
2025-10-06,9788417992491,2,35.6,hugo.laurent95@example.org,Magasin,9723,v2.3
2025-08-06,9789584275097,1,9.36,,web,3947,v2.3
2026-03-28,9780007815586,2,17.34,ines.bertrand13@example.org,place de marché,5807,v2.3
2026-04-30,9781408982884,1,38.22,zoe.dubois19@example.org,web,1730,v2.3
2025-10-13,9780263771213,1,24.09,,STORE,5414,v2.3
2026-06-23,9780143469131,3,26.68,,Magasin,5995,v2.3
2025-11-02,9781434499936,2,20.7,louis.lefebvre71@example.org,MP,4771,v2.3
2026-02-10,9791000000669,1,10.04,jade.martin82@example.org,STORE,9465,v2.3
2026-04-30,9781101216347,1,35.39,gabriel.simon14@example.org,STORE,5345,v2.3
2025-11-11,9780679729525,1,16.49,manon.moreau4@example.org,Magasin,5017,v2.3
2025-07-12,9780575085688,1,15.45,theo.morel73@example.org,magasin,5618,v2.3
2026-06-25,9781435336667,1,10.63,lea.bernard27@example.org,magasin,6186,v2.3
2026-03-23,9780872205925,1,27.4,nathan.laurent11@example.org,site,8981,v2.3
2025-08-08,9780373706099,3,20.01,gabriel.moreau25@example.org,site,7021,v2.3
2025-07-01,9781963349023,2,14.4,ines.martin37@example.org,en ligne,1207,v2.3
2025-09-26,9780425029459,1,34.25,,magasin,6509,v2.3
2026-03-24,9781436253796,3,27.51,nathan.morel53@example.org,magasin,7041,v2.3
2026-04-30,9782207256343,3,38.54,louis.laurent8@example.org,en ligne,7770,v2.3
2025-08-28,9791000000699,2,27.57,hugo.dubois31@example.org,place de marché,1290,v2.3
2026-03-08,9781532913686,3,30.56,,STORE,3989,v2.3
2025-11-02,9789353445416,1,10.12,gabriel.fournier94@example.org,STORE,1578,v2.3
2025-09-01,9785237041484,1,17.25,chloe.leroy45@example.org,site,2829,v2.3
2025-10-28,9780786215133,1,7.09,nathan.michel37@example.org,en ligne,3223,v2.3
2026-01-27,9780708313503,1,33.03,nathan.fournier25@example.org,web,9780,v2.3
2026-05-14,9780833566980,2,8.06,jules.dubois78@example.org,site,7531,v2.3
2026-03-24,9782266138826,2,34.84,,marketplace,2810,v2.3
2026-03-27,9789871144686,3,33.76,jules.bernard37@example.org,Magasin,9314,v2.3
2025-10-06,9781432622459,2,13.35,ines.david76@example.org,Magasin,6967,v2.3
2026-03-19,9788417347970,1,32.27,jules.leroy15@example.org,boutique,1808,v2.3
2025-12-20,9781886463172,1,7.39,arthur.fournier49@example.org,online,9911,v2.3
2026-02-17,9798739934543,1,25.14,,STORE,8642,v2.3
2026-03-20,9780141394718,1,20.78,lea.leroy10@example.org,web,7175,v2.3
2026-03-30,9783453317109,1,28.2,zoe.bertrand6@example.org,en ligne,2502,v2.3
2025-07-07,9786073814423,2,30.77,manon.lefebvre30@example.org,marketplace,7327,v2.3
2026-04-11,9780380813018,1,22.81,nathan.moreau15@example.org,place de marché,3270,v2.3
2025-11-30,9780441363957,1,15.51,lea.fournier95@example.org,STORE,4712,v2.3
2025-07-11,9780793546534,2,15.44,zoe.leroy81@example.org,en ligne,8822,v2.3
2025-12-15,9781442426757,1,15.13,camille.morel3@example.org,magasin,1050,v2.3
2026-01-31,9781417661589,2,26.06,hugo.laurent47@example.org,magasin,2471,v2.3
2025-08-23,9780060721428,1,28.1,,boutique,9212,v2.3
2026-01-16,9783785530030,1,21.38,,Magasin,3927,v2.3
2026-01-22,9789583004506,2,34.76,theo.morel89@example.org,web,7439,v2.3
2025-07-16,9791000000559,1,21.8,theo.morel67@example.org,site,2689,v2.3
2026-03-31,9781726017640,1,25.89,hugo.morel36@example.org,STORE,6269,v2.3
2025-07-29,9780816150694,1,9.53,theo.lefebvre97@example.org,online,8808,v2.3
2025-10-22,9780241753859,1,34.71,jade.dubois4@example.org,magasin,9619,v2.3
2026-06-04,9791000000939,1,28.47,theo.bernard62@example.org,boutique,7628,v2.3
2025-08-04,9791000000169,1,6.71,jules.bertrand50@example.org,online,7092,v2.3
2026-03-27,9791000000459,1,33.45,emma.bernard90@example.org,place de marché,6550,v2.3
2026-04-11,9780297859390,1,16.74,manon.bertrand93@example.org,site,2478,v2.3
2025-12-04,9786053751120,1,35.1,lucas.bertrand59@example.org,site,2149,v2.3
2025-09-20,9780373114108,1,18.24,,en ligne,4782,v2.3
2026-02-05,9781974932573,1,19.35,nathan.simon59@example.org,magasin,6867,v2.3
2025-08-30,9780061244650,1,21.99,nathan.leroy89@example.org,place de marché,7306,v2.3
2025-12-20,9781408982884,1,24.56,lucas.roux55@example.org,Magasin,4413,v2.3
2025-10-04,9780786230358,3,18.99,lucas.bertrand44@example.org,web,5216,v2.3
2026-02-01,9789584275097,1,29.68,hugo.moreau45@example.org,STORE,6036,v2.3
2026-03-22,9781399633871,1,19.76,chloe.morel2@example.org,STORE,2215,v2.3
2025-09-13,9781400083039,1,35.45,arthur.leroy48@example.org,boutique,1413,v2.3
2025-09-02,9780099558781,1,6.78,hugo.moreau75@example.org,boutique,1507,v2.3
2025-07-08,9781436253796,1,13.25,gabriel.simon71@example.org,STORE,3760,v2.3
2026-06-02,9781250030962,1,5.06,theo.martin44@example.org,online,1363,v2.3
2025-07-01,9780307815651,2,20.43,arthur.martin87@example.org,magasin,2183,v2.3
2026-05-09,9780373110926,1,36.96,camille.laurent51@example.org,web,8360,v2.3
2025-08-04,9781377100975,1,24.87,nathan.leroy98@example.org,boutique,1460,v2.3
2026-02-01,9791000000039,1,31.2,chloe.michel18@example.org,online,7518,v2.3
2026-01-29,9781804990278,1,11.36,zoe.david61@example.org,magasin,3176,v2.3
2026-06-29,9780451168283,1,25.66,theo.david24@example.org,Magasin,7069,v2.3
2025-12-31,9780393925340,1,23.63,zoe.leroy70@example.org,site,8714,v2.3
2025-11-13,9780071772204,1,13.63,louis.morel57@example.org,online,5847,v2.3
2025-07-20,9788074770814,1,39.0,ines.simon6@example.org,STORE,2591,v2.3
2025-11-13,9798688109153,2,23.41,,STORE,9240,v2.3
2025-08-21,9781935682028,2,8.5,chloe.leroy60@example.org,site,5702,v2.3
