Date;ISBN13;Qte;PU;Email;Canal
05/03/2026;9781935682028;1;31.62;lea.simon72@example.org;boutique
14/10/2025;9781497303881;1;38.9;jules.moreau2@example.org;web
14/01/2026;9780263757538;1;16.55;ines.morel40@example.org;Magasin
16/03/2026;9780970373908;3;12.24;lucas.michel58@example.org;web
05/10/2025;9780375507250;1;10.31;theo.fournier74@example.org;site
24/08/2025;9780785744580;1;5.09;zoe.dubois35@example.org;magasin
29/03/2026;9780486243832;1;8.69;lea.simon56@example.org;boutique
15/03/2026;9780718033323;1;6.38;manon.simon13@example.org;magasin
02/02/2026;9781547236091;1;18.76;manon.leroy78@example.org;online
25/08/2025;9780061351426;1;13.31;nathan.moreau15@example.org;magasin
21/04/2026;9781421809083;1;23.34;manon.moreau80@example.org;online
21/08/2025;9788492412402;2;35.64;manon.lefebvre27@example.org;boutique
25/12/2025;9781491514931;1;25.61;camille.bernard24@example.org;online
18/06/2026;9788828350453;1;28.62;louis.dubois43@example.org;online
07/07/2025;9780380976003;1;16.33;louis.laurent10@example.org;boutique
05/07/2025;9780393656435;1;21.27;camille.lefebvre32@example.org;online
09/07/2025;9781250030962;1;14.79;hugo.leroy65@example.org;boutique
18/08/2025;9780804168441;1;30.56;zoe.lefebvre95@example.org;en ligne
09/11/2025;9780198118244;1;17.4;camille.fournier46@example.org;MP
23/03/2026;9786070793677;1;35.13;arthur.bernard35@example.org;site
27/01/2026;9781982127794;1;39.69;lucas.lefebvre4@example.org;boutique
22/06/2026;9791000000989;1;11.8;lea.moreau49@example.org;magasin
17/05/2026;9780141384641;1;36.8;louis.laurent87@example.org;MP
17/01/2026;9780593642009;1;39.69;theo.moreau6@example.org;en ligne
01/09/2025;9780263778809;2;24.56;lucas.laurent15@example.org;site
16/06/2026;9781857987386;1;9.82;theo.roux72@example.org;boutique
25/11/2025;9780849202476;2;5.05;jules.moreau37@example.org;magasin
04/12/2025;9780224008884;1;27.87;camille.martin33@example.org;boutique
23/11/2025;9780679728054;2;28.05;emma.bernard92@example.org;STORE
09/10/2025;9781444833386;1;7.36;hugo.martin61@example.org;STORE
13/06/2026;9781491514931;1;18.63;nathan.laurent39@example.org;STORE
09/02/2026;9780141384641;2;32.98;emma.david99@example.org;boutique
30/01/2026;9780061477416;1;15.3;theo.roux81@example.org;Magasin
09/01/2026;9781617807558;2;19.97;emma.leroy57@example.org;STORE
16/06/2026;9780140209723;1;17.04;zoe.michel53@example.org;Magasin
13/04/2026;9780471119463;3;19.4;emma.roux39@example.org;boutique
08/01/2026;9791020924636;1;36.36;theo.martin97@example.org;Magasin
09/06/2026;9780072466652;1;31.51;zoe.fournier7@example.org;magasin
29/05/2026;9789020554113;1;7.95;theo.roux62@example.org;STORE
01/09/2025;9789189298323;1;22.58;jules.bertrand27@example.org;web
11/03/2026;9780825616495;1;28.42;emma.laurent81@example.org;STORE
04/07/2025;9780224617253;1;28.85;nathan.bernard1@example.org;web
31/08/2025;9781092148580;1;11.73;arthur.martin65@example.org;online
01/09/2025;9780307567291;1;39.29;hugo.fournier70@example.org;STORE
14/06/2026;9781435336667;2;26.35;gabriel.dubois82@example.org;site
02/06/2026;9788324592838;1;30.75;chloe.lefebvre62@example.org;STORE
21/08/2025;9791000000849;1;17.5;manon.michel50@example.org;magasin
03/02/2026;9780307815651;1;20.68;jade.martin75@example.org;STORE
30/05/2026;9791000000159;1;20.23;lucas.dubois60@example.org;Magasin
20/09/2025;9780307704511;1;34.98;chloe.simon91@example.org;Magasin
28/09/2025;9780840356451;1;27.72;ines.lefebvre92@example.org;boutique
03/06/2026;9780967162461;3;6.91;arthur.michel61@example.org;boutique
17/03/2026;9780736423298;1;13.68;ines.roux75@example.org;STORE
23/01/2026;9783550068751;1;34.66;louis.moreau13@example.org;magasin
13/06/2026;9789353445416;1;12.7;hugo.bernard23@example.org;Magasin
01/02/2026;9791000000469;1;26.16;nathan.martin96@example.org;site
08/01/2026;9780007527564;1;5.54;louis.simon14@example.org;Magasin
23/05/2026;9780142413401;1;11.43;arthur.lefebvre87@example.org;STORE
21/09/2025;9788934977841;2;33.13;chloe.bernard75@example.org;magasin
08/06/2026;9780071772204;1;33.17;camille.simon53@example.org;site
15/06/2026;9780415478816;3;30.28;arthur.moreau27@example.org;Magasin
30/12/2025;9780060721428;2;34.71;lea.lefebvre55@example.org;Magasin
18/04/2026;9789584275097;1;22.81;nathan.bernard64@example.org;web
03/04/2026;9780593160015;1;33.58;theo.fournier33@example.org;Magasin
04/08/2025;9781434267276;2;38.77;lea.leroy74@example.org;web
09/05/2026;9781534438545;1;26.4;nathan.roux61@example.org;en ligne
17/07/2025;9783423262644;1;11.6;jules.dubois27@example.org;en ligne
05/06/2026;9791000000369;2;12.84;lea.morel73@example.org;place de marché
19/07/2025;9781476873626;0;38.13;lea.leroy62@example.org;web
22/07/2025;9798454025748;1;22.47;lucas.michel62@example.org;STORE
25/10/2025;9781408999233;3;5.43;chloe.leroy78@example.org;online
10/07/2025;9780373106233;1;18.2;jade.bertrand17@example.org;online
08/04/2026;9780061542954;1;8.68;lucas.simon25@example.org;en ligne
30/07/2025;9780655672241;1;25.34;hugo.michel96@example.org;magasin
08/07/2025;9780330471138;2;33.27;lea.martin17@example.org;MP
23/07/2025;9780307262196;1;27.69;hugo.laurent17@example.org;Magasin
01/09/2025;9780263121407;1;13.36;chloe.lefebvre91@example.org;STORE
21/10/2025;9780143432821;2;37.83;theo.fournier84@example.org;web
14/11/2025;9798352831533;1;22.32;jules.simon53@example.org;Magasin
13/10/2025;9791000000359;1;39.05;hugo.laurent95@example.org;boutique
11/09/2025;9783442249329;3;29.22;zoe.bernard3@example.org;Magasin
16/11/2025;9780765316974;1;15.13;lea.martin36@example.org;online
12/01/2026;9781732172234;1;12.45;jade.dubois85@example.org;Magasin
04/06/2026;9781780318578;1;31.51;camille.roux97@example.org;STORE
12/11/2025;9780684131887;2;12.17;camille.simon93@example.org;place de marché
04/02/2026;9781617807558;2;30.53;jules.morel14@example.org;Magasin
13/06/2026;9780140449532;2;37.7;zoe.michel74@example.org;place de marché
23/03/2026;9780743486286;1;18.0;hugo.dubois2@example.org;STORE
18/11/2025;9780385094436;0;31.81;theo.simon74@example.org;online
18/11/2025;9780451622891;1;13.37;camille.bernard40@example.org;STORE
30/09/2025;9780143432821;1;20.07;zoe.martin46@example.org;online
11/04/2026;9781119997559;1;25.02;lea.laurent79@example.org;en ligne
11/02/2026;9780134101477;1;32.35;manon.fournier64@example.org;marketplace
28/09/2025;9781857987386;2;27.72;hugo.bernard84@example.org;magasin
17/03/2026;9783442245666;1;15.73;hugo.martin92@example.org;STORE
09/07/2025;9780465067091;2;34.57;jules.roux31@example.org;MP
17/03/2026;9780143432821;1;7.24;chloe.simon74@example.org;STORE
14/06/2026;9781936719112;1;19.6;theo.dubois4@example.org;en ligne
01/01/2026;9780136054054;3;36.27;lucas.lefebvre38@example.org;site
23/07/2025;9780996487191;3;36.78;camille.bernard78@example.org;boutique
19/03/2026;9788440666826;2;22.49;lucas.moreau49@example.org;site
15/09/2025;9781466864580;2;27.48;lea.moreau73@example.org;online
01/09/2025;9785557099196;2;32.76;arthur.david68@example.org;Magasin
08/10/2025;9780007163243;1;36.75;ines.moreau99@example.org;STORE
09/12/2025;9780061895968;3;29.03;zoe.bertrand53@example.org;STORE
13/04/2026;9788440672599;1;17.33;arthur.roux30@example.org;Magasin
26/10/2025;9780792443483;2;39.43;hugo.morel53@example.org;web
24/11/2025;9780356521640;1;7.39;gabriel.leroy19@example.org;online
10/10/2025;9791000000239;1;20.57;louis.bernard54@example.org;en ligne
30/06/2026;9791000000549;1;8.08;jules.fournier56@example.org;site
07/08/2025;9780750504355;1;23.24;jade.michel46@example.org;web
12/04/2026;9788308048948;2;8.71;ines.roux78@example.org;magasin
24/07/2025;9789388144346;2;17.07;zoe.michel81@example.org;MP
09/02/2026;9798990047709;2;29.28;louis.bertrand99@example.org;site
04/07/2025;9789719201847;1;28.36;zoe.michel42@example.org;Magasin
28/04/2026;9780356232928;3;7.93;theo.lefebvre44@example.org;magasin
26/03/2026;9781464009143;1;37.35;theo.simon50@example.org;STORE
12/09/2025;9780606309912;2;30.51;chloe.michel67@example.org;en ligne
12/05/2026;9780307262196;1;14.58;nathan.laurent36@example.org;Magasin
25/09/2025;9780142423295;3;13.68;nathan.moreau86@example.org;STORE
14/10/2025;9780373106233;2;31.22;camille.roux6@example.org;boutique
14/07/2025;9781536681949;1;37.84;gabriel.bertrand57@example.org;boutique
29/11/2025;9791000000429;1;29.5;nathan.lefebvre56@example.org;online
09/09/2025;9781709948305;2;8.62;lucas.morel11@example.org;boutique
15/12/2025;9789022591932;1;14.27;lea.bertrand89@example.org;en ligne
20/07/2025;9780263778809;1;29.46;ines.moreau72@example.org;site
18/05/2026;9780754000471;1;25.26;hugo.david26@example.org;MP
06/03/2026;9780671742881;1;22.08;emma.moreau82@example.org;magasin
18/10/2025;9780756956691;1;21.87;chloe.bertrand23@example.org;marketplace
12/11/2025;9781974052264;1;25.17;lucas.lefebvre68@example.org;boutique
27/10/2025;9781984842305;1;21.67;jade.roux46@example.org;online
21/10/2025;9781665141253;3;36.25;theo.michel58@example.org;STORE
03/02/2026;9789367901229;1;38.35;nathan.simon90@example.org;Magasin
05/03/2026;9780749459116;2;21.82;gabriel.david31@example.org;site
17/03/2026;9781502784278;2;32.21;jules.leroy99@example.org;STORE
10/12/2025;9789812340931;1;20.15;jade.laurent7@example.org;STORE
21/10/2025;9788324592265;1;6.12;zoe.michel29@example.org;boutique
17/05/2026;9781500420536;3;26.21;ines.dubois78@example.org;magasin
11/07/2025;9781409181613;1;32.13;ines.simon99@example.org;place de marché
26/07/2025;9780373020751;1;23.46;louis.fournier69@example.org;Magasin
26/10/2025;9780996487191;2;36.74;ines.michel28@example.org;web
19/07/2025;9780140440577;1;37.79;nathan.leroy51@example.org;MP
22/11/2025;9780575042681;1;26.86;hugo.martin35@example.org;magasin
10/01/2026;9780840356451;1;33.47;manon.fournier11@example.org;site
26/06/2026;9780061741005;2;5.21;emma.bernard95@example.org;Magasin
07/05/2026;9783785530030;1;15.96;camille.laurent36@example.org;Magasin
13/11/2025;9791000000949;1;21.19;theo.michel12@example.org;boutique
14/04/2026;9781709948305;1;36.63;hugo.michel3@example.org;MP
07/01/2026;9780898451429;1;8.33;hugo.roux4@example.org;online
14/02/2026;9781536681949;1;8.36;theo.simon19@example.org;site
25/09/2025;9781593974336;2;21.84;hugo.bernard19@example.org;Magasin
28/02/2026;9781442486126;2;24.56;hugo.martin99@example.org;online
07/12/2025;9789189298323;1;9.83;ines.bertrand73@example.org;Magasin
15/11/2025;9780860099697;1;24.41;arthur.leroy64@example.org;en ligne
29/10/2025;9780312472849;1;21.6;lea.bernard55@example.org;place de marché
04/09/2025;9780061734526;1;22.91;nathan.dubois26@example.org;Magasin
28/08/2025;9780563524922;2;22.03;arthur.dubois96@example.org;online
29/11/2025;9798596021639;1;14.92;manon.leroy42@example.org;STORE
23/09/2025;9780593109069;1;28.75;lucas.leroy78@example.org;STORE
16/10/2025;9791000000609;1;30.94;emma.dubois68@example.org;Magasin
30/01/2026;9782226018052;1;6.87;camille.laurent90@example.org;boutique
18/08/2025;9782265077249;1;7.85;zoe.roux21@example.org;magasin
13/04/2026;9791000000059;1;26.76;chloe.laurent37@example.org;Magasin
04/12/2025;9781690319849;1;18.78;manon.leroy70@example.org;boutique
17/09/2025;9781101192740;2;14.41;manon.roux14@example.org;boutique
27/04/2026;9780756992248;2;16.19;manon.morel95@example.org;online
02/07/2025;9781977668066;1;12.16;emma.dubois22@example.org;Magasin
13/12/2025;9781508217022;2;6.35;zoe.michel86@example.org;online
14/03/2026;9788440220677;1;24.33;jade.morel50@example.org;Magasin
25/03/2026;9780195365931;1;35.77;chloe.dubois82@example.org;STORE
09/02/2026;9798897248889;1;29.11;manon.david16@example.org;online
30/09/2025;9780263790429;2;34.78;lucas.bertrand55@example.org;web
06/10/2025;9780575085688;1;37.54;camille.moreau57@example.org;en ligne
03/07/2025;9780307291813;1;7.83;lucas.laurent65@example.org;magasin
18/07/2025;9798739955418;1;21.45;jules.bertrand91@example.org;en ligne
30/07/2025;9791000000969;1;5.58;arthur.roux81@example.org;Magasin
28/02/2026;9781424231355;2;31.07;nathan.martin48@example.org;magasin
17/09/2025;9781957568225;2;35.33;emma.bernard54@example.org;site
23/05/2026;9781534431010;1;7.95;manon.fournier25@example.org;magasin
10/06/2026;9780575079090;2;36.28;louis.roux93@example.org;STORE
06/06/2026;9781713532125;1;28.14;jules.bernard25@example.org;boutique
12/08/2025;9798628440865;1;14.25;chloe.bertrand65@example.org;online
02/07/2025;9788579623844;1;16.91;ines.lefebvre73@example.org;magasin
23/02/2026;9781588810403;1;7.71;lea.dubois41@example.org;magasin
06/07/2025;9781478312932;1;20.8;hugo.laurent88@example.org;web
06/09/2025;9798764553290;1;29.49;louis.laurent18@example.org;en ligne
05/10/2025;9783734163357;2;10.77;theo.laurent90@example.org;Magasin
08/03/2026;9780300024838;1;16.85;zoe.fournier81@example.org;boutique
26/04/2026;9782724215908;1;24.63;gabriel.simon83@example.org;STORE
24/06/2026;9791000000939;1;33.88;manon.bernard66@example.org;boutique
25/02/2026;9781250790514;1;8.58;louis.lefebvre18@example.org;Magasin
07/01/2026;9798846711082;1;25.33;jules.simon90@example.org;magasin
05/07/2025;9780263762495;1;16.35;nathan.dubois46@example.org;en ligne
06/04/2026;9783442353927;2;20.04;zoe.roux74@example.org;Magasin
28/02/2026;9788491052371;1;30.11;ines.lefebvre87@example.org;online
28/10/2025;9780898451429;3;37.31;nathan.michel55@example.org;STORE
22/01/2026;9789719201847;1;22.63;theo.roux90@example.org;place de marché
17/04/2026;9781433207938;1;27.98;jules.bernard40@example.org;boutique
20/02/2026;9789020632729;1;4.53;emma.moreau23@example.org;en ligne
03/10/2025;9780307394392;2;19.95;hugo.dubois88@example.org;STORE
20/09/2025;9781409095484;1;23.96;jade.bertrand28@example.org;Magasin
23/02/2026;9781565843790;1;36.96;jade.dubois41@example.org;web
15/12/2025;9791000000209;1;28.39;gabriel.roux51@example.org;magasin
08/06/2026;9789189298323;3;5.45;louis.morel31@example.org;STORE
14/03/2026;9780708313503;1;25.71;jade.bernard83@example.org;boutique
05/10/2025;9780099439752;1;19.91;ines.michel84@example.org;boutique
23/11/2025;9788579623844;1;33.57;jules.laurent54@example.org;boutique
15/06/2026;9781727208351;2;20.96;lea.simon88@example.org;magasin
24/01/2026;9780008305703;2;10.2;emma.roux65@example.org;online
06/07/2025;9781446456309;1;28.22;gabriel.morel7@example.org;en ligne
21/05/2026;9789367901229;1;32.91;zoe.leroy48@example.org;Magasin
31/03/2026;9791000000979;1;32.31;gabriel.leroy98@example.org;online
10/08/2025;9780862201234;1;38.07;manon.moreau66@example.org;online
23/02/2026;9780321793102;1;35.22;zoe.simon7@example.org;STORE
20/12/2025;9780198118312;1;33.5;manon.dubois38@example.org;STORE
14/02/2026;9780131105409;1;5.76;nathan.simon94@example.org;magasin
19/01/2026;9785170178285;1;23.44;emma.bertrand19@example.org;Magasin
18/11/2025;9781442472426;3;28.89;hugo.fournier94@example.org;Magasin
15/12/2025;9780062073747;1;26.07;nathan.michel66@example.org;magasin
23/05/2026;9781424231355;1;18.69;louis.bertrand33@example.org;magasin
07/02/2026;9791000000909;1;11.28;manon.laurent79@example.org;web
26/07/2025;9781083144430;1;12.12;gabriel.laurent96@example.org;web
09/06/2026;9780198118756;1;36.71;theo.laurent1@example.org;Magasin
29/01/2026;9780263121407;1;13.95;ines.bernard29@example.org;boutique
14/12/2025;9780061739590;1;14.69;zoe.roux54@example.org;STORE
01/03/2026;9791000000549;1;16.64;ines.simon57@example.org;boutique
13/03/2026;9780805035650;1;10.52;jade.laurent52@example.org;magasin
19/04/2026;9791000000929;1;21.72;lucas.bernard27@example.org;en ligne
09/12/2025;9780263853087;1;5.55;louis.roux46@example.org;Magasin
12/07/2025;9781433207938;3;24.2;arthur.moreau49@example.org;boutique
02/09/2025;9788371501531;1;11.98;nathan.roux38@example.org;boutique
22/01/2026;9780593105061;1;31.1;gabriel.roux36@example.org;en ligne
19/05/2026;9780970373908;1;28.81;ines.leroy69@example.org;online
23/01/2026;9788447369225;2;14.63;zoe.dubois23@example.org;Magasin
30/03/2026;9780825616518;1;20.93;louis.david13@example.org;Magasin
31/01/2026;9791000000999;1;11.19;camille.roux29@example.org;boutique
15/03/2026;9781467787789;1;30.42;camille.simon79@example.org;web
17/05/2026;9781440758089;1;38.2;camille.bertrand77@example.org;Magasin
07/10/2025;9780671255961;3;20.71;hugo.dubois61@example.org;boutique
28/11/2025;9780849202476;2;11.83;zoe.lefebvre32@example.org;Magasin
29/09/2025;9791000000989;1;27.2;ines.fournier21@example.org;marketplace
05/08/2025;9780062019813;2;28.64;gabriel.fournier67@example.org;Magasin
06/08/2025;9781617807558;1;13.71;nathan.bertrand78@example.org;site
31/07/2025;9788374805568;2;33.82;jules.simon52@example.org;Magasin
02/09/2025;9798454025748;1;13.79;nathan.bertrand22@example.org;STORE
21/12/2025;9780263137958;3;32.66;chloe.laurent13@example.org;STORE
07/08/2025;9780881039108;2;21.9;hugo.morel34@example.org;en ligne
13/02/2026;9780593160015;2;29.26;manon.roux5@example.org;boutique
25/11/2025;9781439116050;1;17.63;lucas.bertrand38@example.org;STORE
20/09/2025;9781093750065;1;21.33;zoe.david38@example.org;marketplace
21/06/2026;9783442424504;1;14.85;jade.laurent82@example.org;web
17/10/2025;9780697034342;1;25.18;manon.simon93@example.org;Magasin
26/09/2025;9791000000979;1;10.02;ines.leroy48@example.org;Magasin
06/03/2026;9786073814423;1;23.09;louis.lefebvre49@example.org;site
03/08/2025;9781283677127;1;11.81;emma.laurent78@example.org;site
30/12/2025;9780425104347;1;36.81;camille.fournier96@example.org;web
03/01/2026;9781718104273;1;26.67;ines.leroy9@example.org;en ligne
31/03/2026;9780945001102;2;35.39;jules.lefebvre73@example.org;boutique
02/10/2025;9780860099697;3;34.86;hugo.bertrand92@example.org;Magasin
08/05/2026;9781421809083;1;7.73;chloe.bertrand9@example.org;boutique
01/08/2025;9781593974336;1;25.23;arthur.lefebvre13@example.org;magasin
21/05/2026;9780785740568;1;8.62;lea.lefebvre26@example.org;magasin
19/10/2025;9789643114190;1;24.65;gabriel.fournier15@example.org;Magasin
08/10/2025;9780593642009;2;26.25;zoe.martin33@example.org;online
10/03/2026;9781529152975;1;22.46;theo.david39@example.org;en ligne
05/11/2025;9780356521640;1;24.37;theo.david57@example.org;site
02/10/2025;9781421889276;1;36.13;arthur.lefebvre21@example.org;marketplace
07/02/2026;9780590113076;1;37.26;zoe.simon82@example.org;boutique
25/08/2025;9780898451429;1;15.37;theo.simon99@example.org;Magasin
01/12/2025;9791000000519;1;24.71;emma.simon21@example.org;boutique
26/09/2025;9781857234701;1;27.96;ines.leroy61@example.org;online
15/11/2025;9780141374239;3;21.21;theo.simon19@example.org;en ligne
29/12/2025;9780825616518;2;20.42;gabriel.roux51@example.org;Magasin
23/01/2026;9788417992491;3;17.02;emma.lefebvre99@example.org;STORE
26/06/2026;9781538745748;1;29.87;theo.fournier48@example.org;magasin
12/01/2026;9780449235997;1;30.66;chloe.roux65@example.org;Magasin
24/08/2025;9788476603819;1;16.02;arthur.bertrand76@example.org;online
24/07/2025;9780241753859;1;28.85;arthur.moreau36@example.org;place de marché
31/07/2025;9780028729206;1;16.63;lucas.lefebvre37@example.org;magasin
07/08/2025;9780131105409;3;30.43;emma.fournier20@example.org;STORE
14/04/2026;9781588810403;1;16.11;manon.leroy68@example.org;STORE
10/09/2025;9782266138826;2;35.32;ines.fournier47@example.org;online
18/10/2025;9780671491758;1;12.56;lucas.simon26@example.org;en ligne
12/07/2025;9780061244650;1;19.04;jade.morel63@example.org;magasin
31/07/2025;9791000000369;0;17.72;gabriel.martin65@example.org;en ligne
09/03/2026;9798377220947;1;26.96;lea.roux12@example.org;site
20/03/2026;9780945001102;2;24.82;zoe.roux84@example.org;boutique
16/06/2026;9780718033323;2;20.99;emma.david43@example.org;site
21/04/2026;9788324592265;1;32.15;gabriel.martin52@example.org;STORE
16/01/2026;9780878210329;1;15.91;emma.laurent29@example.org;STORE
31/05/2026;9783453089228;1;33.58;lucas.bertrand74@example.org;boutique
14/09/2025;9780358213253;1;8.07;jules.morel17@example.org;STORE
15/12/2025;9780466208349;1;12.65;chloe.moreau39@example.org;marketplace
16/11/2025;9780061451652;3;12.19;lucas.martin18@example.org;Magasin
09/01/2026;9781439116050;1;30.84;chloe.michel7@example.org;Magasin
10/10/2025;9781591847816;2;25.39;nathan.bernard23@example.org;magasin
16/10/2025;9780800854539;3;30.72;lucas.bertrand41@example.org;Magasin
16/08/2025;9798855090437;1;21.42;nathan.lefebvre3@example.org;magasin
01/02/2026;9788420683324;3;8.04;lucas.laurent9@example.org;Magasin
30/05/2026;9780307567291;1;29.32;jade.lefebvre3@example.org;MP
13/12/2025;9780198118756;1;13.31;camille.dubois67@example.org;web
26/02/2026;9780061741005;1;25.61;chloe.fournier95@example.org;STORE
29/01/2026;9780263753820;1;10.6;emma.bertrand86@example.org;boutique
26/08/2025;9788418483448;1;22.11;theo.michel81@example.org;STORE
13/11/2025;9780061097317;1;32.23;ines.martin61@example.org;marketplace
12/09/2025;9791000000379;1;23.6;louis.dubois13@example.org;site
23/10/2025;9781101137833;1;6.85;arthur.lefebvre54@example.org;Magasin
05/05/2026;9780061002823;1;15.52;arthur.laurent17@example.org;STORE
04/01/2026;9791000000819;1;29.86;arthur.lefebvre96@example.org;web
21/03/2026;9780788729386;2;9.55;lea.bertrand13@example.org;Magasin
11/05/2026;9786525917313;1;13.37;theo.simon91@example.org;Magasin
24/03/2026;9781727208351;1;35.78;emma.simon55@example.org;en ligne
23/04/2026;9798671330687;3;5.71;jade.david7@example.org;web
08/07/2025;9780141018980;1;34.07;hugo.dubois51@example.org;MP
04/03/2026;9780263118124;2;11.15;jade.lefebvre28@example.org;Magasin
06/04/2026;9781306337564;1;14.39;ines.simon24@example.org;en ligne
07/03/2026;9782266138826;1;27.98;ines.morel67@example.org;STORE
04/01/2026;9780263138382;1;38.65;emma.bernard30@example.org;Magasin
31/08/2025;9780593105061;2;8.97;lucas.laurent58@example.org;online
12/08/2025;9791000000919;2;22.37;jade.fournier66@example.org;boutique
14/06/2026;9781250819369;2;11.53;lucas.leroy77@example.org;boutique
29/03/2026;9780061556746;1;23.37;hugo.bertrand68@example.org;boutique
21/08/2025;9780063273986;1;26.95;hugo.fournier97@example.org;boutique
09/05/2026;9780061744303;2;14.36;jade.laurent50@example.org;Magasin
25/02/2026;9780312472849;1;37.71;camille.bernard33@example.org;en ligne
10/05/2026;9780393656435;3;6.6;gabriel.dubois19@example.org;Magasin
02/11/2025;9798627347820;2;27.37;jade.roux25@example.org;web
06/08/2025;9781935682028;3;14.28;jade.bernard93@example.org;web
11/09/2025;9798515079307;1;16.09;nathan.leroy40@example.org;magasin
03/05/2026;9780156724005;1;20.01;nathan.leroy96@example.org;online
22/12/2025;9781984842305;1;39.47;jade.fournier33@example.org;magasin
04/02/2026;9782221125779;1;29.63;arthur.morel38@example.org;web
15/08/2025;9780470104248;1;25.71;lucas.moreau86@example.org;Magasin
07/02/2026;9780140139198;1;8.22;manon.fournier93@example.org;en ligne
24/05/2026;9781417633845;1;28.11;manon.simon11@example.org;marketplace
06/03/2026;9780263771213;1;12.34;gabriel.david35@example.org;magasin
28/06/2026;9781421889276;1;34.14;jade.roux67@example.org;place de marché
05/05/2026;9780547524009;1;32.59;nathan.roux13@example.org;magasin
31/10/2025;9783453186880;1;29.61;gabriel.fournier51@example.org;place de marché
25/12/2025;9798739955418;2;34.67;jules.michel81@example.org;online
14/07/2025;9780416027020;1;5.35;ines.bernard38@example.org;online
19/02/2026;9780061728419;2;17.19;lucas.simon32@example.org;en ligne
25/07/2025;9780131105409;1;39.58;manon.morel21@example.org;boutique
07/04/2026;9786073814423;1;18.71;lucas.morel23@example.org;Magasin
18/12/2025;9788535931327;1;30.69;hugo.simon40@example.org;site
16/08/2025;9780553418286;1;26.51;louis.morel49@example.org;marketplace
28/06/2026;9781446456309;1;33.03;lucas.morel21@example.org;boutique
27/08/2025;9788448034580;1;36.67;theo.morel72@example.org;boutique
22/06/2026;9781408999011;1;7.71;jade.fournier34@example.org;boutique
30/03/2026;9781976709135;1;37.11;nathan.fournier95@example.org;en ligne
12/08/2025;9789721041028;0;20.17;jules.moreau71@example.org;web
18/11/2025;9781439116050;1;34.0;hugo.moreau29@example.org;online
19/10/2025;9780393091809;1;13.13;camille.fournier79@example.org;online
29/01/2026;9789583004506;1;24.61;gabriel.dubois67@example.org;online
15/01/2026;9780316389716;1;32.71;lucas.morel34@example.org;online
29/10/2025;9781432899011;1;7.23;emma.simon90@example.org;boutique
23/04/2026;9783442424504;1;36.98;arthur.leroy41@example.org;site
06/05/2026;9781850890362;2;29.9;hugo.lefebvre35@example.org;site
10/02/2026;9781539170389;1;6.79;louis.martin72@example.org;Magasin
30/07/2025;9791000000189;1;35.21;emma.bernard88@example.org;STORE
19/11/2025;9780792443483;1;36.24;camille.bertrand77@example.org;Magasin
07/09/2025;9789020632729;1;20.5;theo.simon30@example.org;Magasin
03/04/2026;9780061351426;1;35.04;jules.bertrand97@example.org;STORE
