sale_date,isbn,qty,unit_price,customer_email,channel
11/04/2025,978006024803X,3,26.22,emma.fournier66@example.org,boutique
10/02/2025,9780449024959,1,10.11,gabriel.morel84@example.org,Magasin
12/23/2025,9791000000389,1,10.77,lea.michel33@example.org,STORE
06/26/2026,9780316479264,1,5.74,nathan.roux90@example.org,Magasin
12/13/2025,9780807217696,2,16.35,theo.michel34@example.org,marketplace
09/02/2025,9780486851921,1,24.33,camille.dubois63@example.org,marketplace
09/12/2025,9781689366922,1,19.45,nathan.laurent82@example.org,STORE
02/18/2026,9789367901229,1,25.0,ines.morel28@example.org,site
04/21/2026,9788439707929,1,22.03,manon.bertrand97@example.org,magasin
09/27/2025,9788440672599,1,34.88,zoe.morel35@example.org,STORE
12/27/2025,9780263096347,2,12.89,ines.leroy96@example.org,online
03/09/2026,9783442454181,1,35.94,camille.david55@example.org,magasin
01/13/2026,9780007120970,2,14.09,jules.moreau40@example.org,web
03/25/2026,9791000000249,1,21.97,arthur.lefebvre84@example.org,STORE
10/22/2025,9780470104248,1,18.83,arthur.lefebvre2@example.org,MP
07/05/2025,9781417733675,1,36.83,lucas.moreau66@example.org,Magasin
10/04/2025,9781417701155,1,9.22,manon.morel22@example.org,marketplace
08/04/2025,9780374524524,2,35.03,hugo.bernard79@example.org,marketplace
12/30/2025,9789999589604,1,4.76,manon.bernard3@example.org,site
03/11/2026,9780860099697,1,29.43,nathan.roux28@example.org,web
10/31/2025,9780749459116,1,7.17,arthur.bertrand79@example.org,STORE
05/21/2026,9791000000479,1,31.07,zoe.martin76@example.org,Magasin
01/16/2026,9780754006329,2,24.83,chloe.dubois23@example.org,STORE
03/11/2026,9780373024209,1,9.6,theo.martin34@example.org,boutique
08/21/2025,9780547524009,1,26.51,jules.moreau40@example.org,Magasin
08/20/2025,9781958943366,1,6.28,camille.dubois70@example.org,Magasin
05/31/2026,9781590073995,1,37.42,jules.martin77@example.org,STORE
10/30/2025,9798627347820,2,19.16,emma.bernard74@example.org,en ligne
04/05/2026,9780697034342,1,16.5,arthur.roux41@example.org,magasin
03/11/2026,9781958943052,1,38.32,camille.martin60@example.org,boutique
08/15/2025,9788448034580,2,5.73,zoe.dubois21@example.org,site
04/03/2026,9781408880715,1,5.96,arthur.bernard84@example.org,Magasin
10/04/2025,9780143469131,1,33.66,ines.fournier91@example.org,STORE
08/27/2025,9781280839290,1,10.42,lea.lefebvre1@example.org,online
11/03/2025,9781335468437,1,39.13,hugo.morel39@example.org,STORE
09/06/2025,9780671491758,1,7.79,jade.martin19@example.org,en ligne
04/27/2026,9780571226856,2,9.52,camille.roux35@example.org,STORE
02/14/2026,9788439707929,2,35.77,jade.roux3@example.org,web
02/01/2026,9781974343539,1,15.68,hugo.dubois61@example.org,online
02/24/2026,9788423991235,2,30.0,camille.david18@example.org,STORE
06/20/2026,9780061285752,1,16.92,jade.martin17@example.org,marketplace
06/07/2026,9780062273208,1,37.43,lea.dubois56@example.org,Magasin
06/25/2026,9781847941831,2,32.9,gabriel.laurent62@example.org,place de marché
03/21/2026,9780312856830,1,12.07,jade.martin2@example.org,STORE
11/10/2025,9784871877664,1,12.67,lea.roux15@example.org,magasin
05/14/2026,9780945001102,1,7.54,theo.martin7@example.org,Magasin
03/28/2026,9791000000579,2,36.14,chloe.michel78@example.org,boutique
12/14/2025,9783453317109,1,14.02,gabriel.laurent58@example.org,site
08/30/2025,9780416165326,1,23.18,ines.laurent56@example.org,boutique
07/05/2025,9780470083734,1,10.39,arthur.david96@example.org,boutique
12/31/2025,9791000000269,1,35.6,chloe.martin8@example.org,site
03/23/2026,9780812992182,1,14.83,jade.lefebvre31@example.org,magasin
07/02/2025,9780517202753,1,31.69,lea.bernard33@example.org,site
07/02/2025,9780553539899,1,34.8,lea.michel73@example.org,boutique
09/10/2025,9781786540249,1,37.56,zoe.bertrand92@example.org,site
04/04/2026,9788804686521,2,15.13,lea.fournier71@example.org,Magasin
11/10/2025,9781784878719,1,6.29,manon.david29@example.org,boutique
08/19/2025,9788416029808,2,38.24,lea.bernard67@example.org,magasin
06/05/2026,9789144023649,1,17.58,manon.simon65@example.org,boutique
12/06/2025,9780862201234,3,11.19,manon.morel86@example.org,site
10/13/2025,9789721041028,2,14.33,gabriel.martin58@example.org,STORE
04/21/2026,9780007527564,1,14.53,manon.fournier52@example.org,Magasin
07/28/2025,9798739934543,1,9.38,camille.morel18@example.org,magasin
09/16/2025,9791000000449,1,12.38,zoe.roux99@example.org,en ligne
09/15/2025,9791000000869,2,9.48,lucas.leroy9@example.org,MP
12/14/2025,9791000000289,1,12.55,lucas.david25@example.org,Magasin
10/22/2025,9781409095484,0,5.12,theo.bernard21@example.org,magasin
04/13/2026,9791000000759,1,29.32,nathan.leroy15@example.org,place de marché
08/05/2025,9780811806404,1,26.86,ines.simon73@example.org,magasin
01/20/2026,9780575073241,2,6.65,louis.moreau8@example.org,STORE
07/13/2025,9780345313904,1,24.38,emma.lefebvre12@example.org,magasin
09/28/2025,9780061762604,0,9.0,gabriel.bernard45@example.org,magasin
06/01/2026,9791000000289,1,23.35,lucas.martin64@example.org,Magasin
12/14/2025,9780416165326,3,31.83,manon.laurent49@example.org,magasin
12/04/2025,9780374524524,1,9.61,zoe.michel29@example.org,place de marché
07/13/2025,9789020554113,1,16.28,camille.simon64@example.org,boutique
12/06/2025,9788481096156,2,13.69,lucas.leroy54@example.org,marketplace
01/26/2026,9786287574632,1,37.78,nathan.bertrand87@example.org,boutique
06/08/2026,9791000000779,1,20.54,camille.leroy51@example.org,online
01/15/2026,9791000000599,1,29.24,jade.dubois17@example.org,en ligne
05/15/2026,9791000000019,1,39.82,zoe.leroy35@example.org,place de marché
02/25/2026,9780825616518,1,10.15,jules.david27@example.org,STORE
01/28/2026,979100000100X,3,33.04,theo.leroy73@example.org,Magasin
09/13/2025,9781250883520,1,35.09,chloe.laurent7@example.org,MP
01/10/2026,9789994910458,1,8.41,lea.simon82@example.org,online
05/06/2026,9798669140557,2,10.29,manon.roux23@example.org,site
06/03/2026,9780099558781,1,14.52,lea.morel16@example.org,marketplace
05/10/2026,9781594131523,2,23.85,lea.leroy19@example.org,online
06/08/2026,9781886463172,1,12.48,theo.leroy65@example.org,boutique
03/28/2026,9781727208351,1,32.87,camille.michel52@example.org,en ligne
07/10/2025,9780205176076,2,33.41,jules.dubois12@example.org,web
01/06/2026,9788579623844,1,31.04,lea.morel93@example.org,web
07/16/2025,9780263119763,2,6.3,gabriel.martin31@example.org,Magasin
05/25/2026,9781434267276,1,6.37,jules.moreau21@example.org,magasin
10/12/2025,9786525917313,1,24.0,jules.bernard12@example.org,MP
07/07/2025,9780061652264,1,37.66,nathan.moreau14@example.org,Magasin
04/28/2026,9780708313503,1,27.59,gabriel.martin96@example.org,site
01/15/2026,9791000000069,3,31.42,lucas.david92@example.org,site
11/10/2025,9780416225907,1,14.59,zoe.fournier68@example.org,en ligne
07/05/2025,9780811806404,1,11.79,zoe.simon29@example.org,en ligne
06/27/2026,9780143469131,1,37.16,zoe.leroy96@example.org,magasin
02/25/2026,9788417454432,2,29.81,zoe.bernard54@example.org,magasin
04/09/2026,9780860099697,1,32.08,arthur.fournier20@example.org,boutique
06/12/2026,9781250242754,2,25.32,jade.laurent62@example.org,online
04/01/2026,9782702400500,1,34.15,jules.lefebvre54@example.org,site
07/04/2025,9781775415190,2,23.86,lucas.morel46@example.org,online
03/14/2026,9780613642880,1,27.56,theo.moreau99@example.org,web
01/19/2026,9791000000899,1,38.85,nathan.michel75@example.org,magasin
01/13/2026,9798719179537,1,18.04,lucas.fournier59@example.org,en ligne
02/27/2026,9780241950265,1,20.16,lucas.bernard56@example.org,magasin
01/03/2026,9780224618144,2,35.56,emma.bernard42@example.org,magasin
01/25/2026,9791000000179,1,9.64,lea.martin62@example.org,site
01/03/2026,9781476878584,3,38.31,manon.morel21@example.org,STORE
06/25/2026,9780061895968,1,26.45,hugo.roux18@example.org,en ligne
11/27/2025,9780140138351,1,5.33,theo.bernard95@example.org,Magasin
08/08/2025,9780671742881,1,34.88,jules.dubois13@example.org,en ligne
01/10/2026,9789353445416,2,31.53,jade.bertrand38@example.org,MP
11/03/2025,9780736614016,1,37.62,ines.moreau40@example.org,site
12/14/2025,9780898796827,2,35.67,manon.lefebvre54@example.org,STORE
09/18/2025,9780143566526,1,33.12,gabriel.fournier16@example.org,en ligne
04/09/2026,9780590928861,1,31.58,nathan.dubois70@example.org,magasin
03/10/2026,9780534359454,2,9.24,lucas.morel73@example.org,MP
12/22/2025,9780451622891,1,17.82,jules.morel86@example.org,Magasin
01/13/2026,9780878210329,1,32.35,gabriel.morel95@example.org,STORE
02/02/2026,9781547277322,1,9.5,lucas.bernard57@example.org,site
10/13/2025,9780446511070,2,20.92,lucas.michel34@example.org,Magasin
05/25/2026,9780984358137,1,28.03,jules.moreau13@example.org,Magasin
10/25/2025,9789795533412,1,11.07,zoe.laurent10@example.org,STORE
12/14/2025,9781957568225,1,10.91,jules.dubois73@example.org,boutique
01/18/2026,9781786540249,1,39.24,zoe.dubois72@example.org,STORE
02/15/2026,978038049668X,1,9.32,zoe.david49@example.org,place de marché
03/02/2026,9791000000709,1,34.05,chloe.simon27@example.org,Magasin
06/20/2026,9780061542954,1,8.94,gabriel.bertrand65@example.org,Magasin
01/25/2026,9791000000189,1,5.57,manon.leroy67@example.org,online
10/28/2025,9798737952464,1,16.35,lucas.morel31@example.org,STORE
07/14/2025,9798513996880,1,34.03,emma.lefebvre26@example.org,Magasin
12/15/2025,9781250242754,2,19.69,manon.morel2@example.org,en ligne
06/01/2026,9798669140557,1,20.44,arthur.leroy77@example.org,Magasin
12/21/2025,9781409095484,1,19.95,lea.roux91@example.org,magasin
03/27/2026,9781529369526,1,10.9,chloe.fournier52@example.org,boutique
10/14/2025,9780134101477,1,10.73,emma.lefebvre14@example.org,magasin
02/23/2026,9781760892531,1,35.9,gabriel.roux16@example.org,online
09/23/2025,9783423763349,2,10.08,lucas.bernard37@example.org,STORE
01/23/2026,9780007299805,1,5.65,louis.bernard55@example.org,site
09/30/2025,9780718188740,1,10.88,gabriel.roux71@example.org,magasin
11/14/2025,9780671491758,1,14.01,lea.martin55@example.org,magasin
02/16/2026,9781591026907,2,31.39,chloe.morel11@example.org,online
02/14/2026,9791000000099,2,35.94,camille.martin38@example.org,place de marché
10/03/2025,9780373104420,2,11.0,manon.michel74@example.org,boutique
02/11/2026,9780590411011,1,32.2,gabriel.moreau72@example.org,site
04/15/2026,9780263053043,2,31.27,ines.laurent8@example.org,boutique
05/12/2026,9780358067801,1,39.43,ines.bernard90@example.org,web
10/24/2025,9791020924636,1,10.09,arthur.dubois70@example.org,site
04/20/2026,9798596021639,2,12.37,jules.laurent99@example.org,Magasin
02/06/2026,9785237041484,1,18.49,ines.fournier22@example.org,Magasin
04/10/2026,9780613135818,1,39.09,arthur.laurent80@example.org,en ligne
07/01/2025,9788440672599,2,19.89,camille.michel96@example.org,Magasin
01/28/2026,9780945001102,2,10.51,camille.david92@example.org,marketplace
09/26/2025,9781841593326,1,11.09,lea.simon39@example.org,boutique
11/21/2025,9781529369526,1,36.85,hugo.dubois21@example.org,en ligne
11/04/2025,9780358213253,1,38.39,hugo.simon9@example.org,marketplace
01/08/2026,9791000000299,1,16.23,jules.bernard80@example.org,boutique
11/23/2025,9781474055437,2,28.68,jules.moreau52@example.org,place de marché
04/10/2026,9780061557064,1,29.11,chloe.roux25@example.org,boutique
09/22/2025,9788381352079,2,18.45,louis.roux55@example.org,boutique
04/02/2026,9780471119463,1,30.93,hugo.bernard17@example.org,STORE
08/16/2025,9780785752387,2,6.54,ines.morel77@example.org,online
05/10/2026,9781848721791,1,38.18,nathan.dubois32@example.org,Magasin
08/08/2025,9786053751120,1,25.32,manon.dubois9@example.org,magasin
05/01/2026,9786070793677,2,27.19,chloe.lefebvre44@example.org,magasin
10/01/2025,9789020632729,1,29.39,nathan.lefebvre48@example.org,boutique
09/04/2025,9791000000689,1,38.16,arthur.simon20@example.org,online
08/22/2025,9791000000199,3,29.32,gabriel.bernard58@example.org,boutique
04/19/2026,9789719201847,1,30.76,manon.simon18@example.org,STORE
09/24/2025,9781957568225,1,17.03,hugo.fournier43@example.org,STORE
08/18/2025,9780263122169,1,31.83,nathan.roux82@example.org,magasin
06/07/2026,9780606374224,1,34.64,arthur.roux60@example.org,boutique
05/06/2026,9791000000999,1,29.01,manon.fournier17@example.org,boutique
03/14/2026,9781417701155,1,33.48,ines.bertrand70@example.org,marketplace
07/04/2025,9788427911758,2,21.6,jules.michel64@example.org,Magasin
10/10/2025,9791000000869,1,12.8,louis.roux76@example.org,online
12/31/2025,9781434267276,1,6.52,ines.lefebvre92@example.org,STORE
11/18/2025,9783423763349,2,16.31,lucas.bertrand68@example.org,place de marché
04/04/2026,9780061365515,3,15.85,gabriel.bertrand62@example.org,boutique
09/27/2025,9780061492570,2,13.92,arthur.dubois85@example.org,boutique
10/19/2025,9783893400614,2,35.47,lucas.bernard75@example.org,Magasin
09/20/2025,9798628440865,1,16.9,nathan.leroy24@example.org,STORE
06/05/2026,9791000000589,1,10.45,theo.lefebvre23@example.org,online
11/06/2025,9791000000029,1,4.95,louis.morel21@example.org,boutique
08/14/2025,9780140449532,1,10.7,camille.morel2@example.org,place de marché
01/30/2026,9780141378480,1,29.05,jules.dubois53@example.org,online
12/23/2025,9780606011938,2,38.59,lucas.michel25@example.org,boutique
11/23/2025,9798739955418,1,29.89,lea.martin95@example.org,magasin
11/03/2025,9781685450984,2,23.57,louis.dubois21@example.org,STORE
08/17/2025,9798701966169,3,12.37,camille.bertrand6@example.org,online
03/28/2026,9780071332484,1,27.83,ines.michel36@example.org,MP
06/16/2026,9780061895968,1,34.26,arthur.michel17@example.org,Magasin
06/28/2026,9781417661589,2,17.03,camille.roux42@example.org,boutique
10/11/2025,9780263122169,1,20.24,gabriel.david19@example.org,boutique
10/14/2025,9781593976064,2,32.34,nathan.martin83@example.org,en ligne
08/17/2025,9791000000909,1,9.36,chloe.bertrand13@example.org,Magasin
11/25/2025,9780843929959,3,11.46,louis.lefebvre61@example.org,Magasin
03/02/2026,9791000000759,1,37.02,jules.michel89@example.org,boutique
05/06/2026,9788374805568,1,39.0,manon.michel9@example.org,online
12/22/2025,9780804168441,1,20.12,lea.fournier64@example.org,boutique
06/23/2026,9781495096105,1,10.47,hugo.lefebvre40@example.org,STORE
08/09/2025,9781419772955,1,12.25,lucas.michel43@example.org,web
01/16/2026,9781559348263,1,24.69,camille.dubois46@example.org,STORE
01/06/2026,9780769206684,1,34.31,emma.michel72@example.org,site
02/25/2026,9781408839966,1,19.86,manon.bernard84@example.org,magasin
07/02/2025,9781841593326,1,22.23,ines.david41@example.org,MP
11/15/2025,9780658006340,1,30.2,hugo.simon76@example.org,site
07/17/2025,9781428811195,2,21.38,lea.laurent87@example.org,online
03/08/2026,9780945001102,1,19.03,nathan.laurent29@example.org,Magasin
03/25/2026,9780060826086,1,20.68,jade.bertrand49@example.org,magasin
02/17/2026,9781410498700,1,34.81,gabriel.laurent54@example.org,Magasin
01/15/2026,9783257208634,1,24.09,lea.simon85@example.org,STORE
08/14/2025,9780373020751,1,22.82,jules.martin20@example.org,online
06/22/2026,9791020900593,1,8.39,theo.simon6@example.org,Magasin
04/14/2026,9782724215908,1,39.06,lucas.michel97@example.org,online
07/19/2025,9781850890362,2,20.22,gabriel.roux66@example.org,boutique
01/19/2026,9780451493835,1,28.07,camille.fournier52@example.org,Magasin
08/31/2025,9780821775370,3,10.98,louis.michel53@example.org,online
05/25/2026,9781436253796,2,26.25,zoe.leroy83@example.org,place de marché
10/20/2025,9788422686569,2,28.44,jules.michel61@example.org,boutique
10/13/2025,9781305639614,1,10.49,arthur.michel4@example.org,STORE
05/23/2026,9788173043727,2,34.37,theo.roux18@example.org,web
06/21/2026,9789710843480,1,27.44,gabriel.morel90@example.org,site
01/22/2026,9780316479264,2,5.55,jade.moreau24@example.org,magasin
01/22/2026,9780898451429,1,37.46,camille.lefebvre25@example.org,web
03/18/2026,9780007120970,1,28.32,louis.lefebvre16@example.org,web
12/13/2025,9791000000909,2,11.72,hugo.lefebvre12@example.org,Magasin
07/04/2025,9781442006188,1,33.9,manon.dubois52@example.org,en ligne
10/14/2025,9785237041484,1,23.46,hugo.bernard87@example.org,boutique
12/02/2025,9798513996880,0,25.79,camille.bernard37@example.org,MP
05/09/2026,9780894108815,1,39.68,louis.bernard79@example.org,en ligne
02/10/2026,9788448034580,1,13.65,louis.laurent30@example.org,en ligne
11/03/2025,9781595583260,1,9.69,lea.lefebvre93@example.org,site
03/15/2026,9780373300693,3,18.18,jade.david35@example.org,boutique
12/23/2025,9791000000059,1,25.03,jules.bernard49@example.org,en ligne
04/24/2026,9791000000459,2,9.52,lea.simon1@example.org,web
07/24/2025,9780575073241,1,37.67,emma.michel81@example.org,MP
07/25/2025,9780545541251,1,26.77,jules.leroy82@example.org,magasin
01/22/2026,9780862201234,1,25.76,gabriel.leroy23@example.org,STORE
03/27/2026,9780816150694,2,5.57,camille.lefebvre19@example.org,en ligne
10/03/2025,9781974343539,1,26.85,lea.bernard54@example.org,place de marché
04/30/2026,9781786540249,1,25.73,jade.fournier15@example.org,boutique
01/24/2026,9780230015760,1,24.23,emma.fournier3@example.org,web
02/19/2026,9783423763349,1,32.98,gabriel.moreau87@example.org,en ligne
10/20/2025,9780449235997,2,18.0,louis.david33@example.org,STORE
06/14/2026,9780880881326,2,36.36,lea.dubois2@example.org,place de marché
06/04/2026,9791000000549,1,15.06,lucas.moreau53@example.org,site
09/18/2025,9791000000819,1,17.39,camille.dubois71@example.org,STORE
01/24/2026,9780708313503,2,29.43,hugo.roux49@example.org,Magasin
11/28/2025,9780263771213,1,9.21,theo.martin46@example.org,STORE
02/03/2026,9780754006329,1,7.3,zoe.morel48@example.org,STORE
11/02/2025,9780330471138,1,29.34,emma.bernard46@example.org,online
11/05/2025,9781471198144,1,37.74,jade.michel20@example.org,marketplace
10/27/2025,9780316501286,1,18.77,zoe.roux80@example.org,place de marché
04/26/2026,9789388144346,1,25.08,arthur.fournier86@example.org,boutique
07/26/2025,9791000000769,1,25.91,jade.dubois22@example.org,Magasin
09/04/2025,9798585573934,1,18.59,zoe.roux75@example.org,Magasin
12/24/2025,9781481428149,1,25.39,emma.roux95@example.org,boutique
04/10/2026,9781407034461,1,38.93,zoe.bertrand64@example.org,Magasin
01/07/2026,9791000000409,2,4.94,nathan.moreau33@example.org,web
11/06/2025,9791000000179,1,13.24,ines.moreau78@example.org,boutique
05/03/2026,9781574535587,1,8.96,camille.martin1@example.org,marketplace
07/26/2025,9780340874592,3,29.22,jade.dubois79@example.org,magasin
12/04/2025,9789189298323,1,12.53,jules.fournier37@example.org,place de marché
08/06/2025,9781478312932,1,5.09,arthur.simon20@example.org,place de marché
02/26/2026,9780750504355,1,26.2,gabriel.david42@example.org,online
06/07/2026,9791000000649,1,15.01,camille.simon80@example.org,boutique
10/02/2025,9780373833740,1,12.72,arthur.michel55@example.org,magasin
11/11/2025,9780896216921,3,18.68,jules.david48@example.org,online
07/03/2025,9780385094436,1,17.4,camille.lefebvre79@example.org,Magasin
03/27/2026,9780823420278,1,39.13,emma.morel98@example.org,STORE
07/04/2025,9798764553290,1,37.75,arthur.laurent16@example.org,web
08/07/2025,9780263121407,1,27.88,ines.fournier52@example.org,magasin
03/12/2026,9780205060450,1,27.24,lea.lefebvre45@example.org,magasin
08/14/2025,9780061734526,1,27.98,jules.dubois89@example.org,STORE
04/25/2026,9789630711722,2,25.41,arthur.moreau27@example.org,online
11/30/2025,9780470104248,1,14.9,theo.laurent58@example.org,STORE
07/01/2025,9781653656752,1,19.77,zoe.bertrand69@example.org,Magasin
10/24/2025,9780786215133,0,37.17,camille.bertrand61@example.org,online
05/08/2026,9780064601375,2,26.8,lucas.bernard62@example.org,boutique
09/24/2025,9780750503075,1,16.79,manon.simon50@example.org,marketplace
07/19/2025,9781417733675,2,24.27,lucas.leroy1@example.org,MP
08/10/2025,9780358067801,2,7.88,zoe.laurent35@example.org,Magasin
11/05/2025,9798719179537,1,37.13,jules.david63@example.org,online
11/23/2025,9798585573934,1,36.09,camille.bertrand40@example.org,STORE
08/30/2025,9788835161189,1,5.15,hugo.roux92@example.org,web
04/03/2026,9784871877664,1,25.34,jade.morel21@example.org,magasin
01/07/2026,9791000000399,2,24.14,manon.david89@example.org,magasin
03/31/2026,9780345913722,1,18.37,louis.roux90@example.org,en ligne
01/12/2026,9798377220947,1,29.61,chloe.fournier27@example.org,boutique
01/30/2026,9780750504355,1,37.51,zoe.laurent34@example.org,magasin
03/17/2026,9791000000239,1,31.71,gabriel.lefebvre6@example.org,Magasin
07/22/2025,9781250242754,1,39.16,nathan.roux90@example.org,place de marché
06/20/2026,9789578278035,2,14.49,hugo.bernard12@example.org,boutique
09/13/2025,9798986868035,1,8.05,ines.leroy36@example.org,en ligne
12/23/2025,9789132428876,2,13.03,nathan.bernard77@example.org,Magasin
02/18/2026,9781568497037,1,39.47,emma.martin41@example.org,boutique
02/26/2026,9780465067091,1,21.4,manon.simon92@example.org,en ligne
06/23/2026,9791000000839,2,35.07,emma.david26@example.org,magasin
08/02/2025,9798990047709,1,7.1,ines.bertrand32@example.org,STORE
03/06/2026,9780786230358,1,18.95,gabriel.dubois32@example.org,STORE
04/22/2026,9781534487673,3,17.36,camille.dubois96@example.org,online
03/31/2026,9780575042681,1,17.74,zoe.martin28@example.org,Magasin
07/25/2025,9780593160015,3,6.33,hugo.martin51@example.org,Magasin
07/05/2025,9781685450984,1,30.38,lea.david82@example.org,Magasin
07/05/2025,9781847941480,1,8.77,chloe.roux6@example.org,magasin
07/31/2025,9780224617253,2,27.12,emma.simon18@example.org,marketplace
12/21/2025,9780618058952,1,31.67,zoe.morel48@example.org,online
01/04/2026,9780736614016,2,24.84,louis.michel6@example.org,site
03/31/2026,9780823420278,1,35.05,zoe.simon64@example.org,en ligne
11/09/2025,9798986868035,1,26.81,emma.martin41@example.org,en ligne
05/06/2026,9780321793102,1,37.27,hugo.leroy12@example.org,site
05/19/2026,9781015420908,1,23.9,jade.simon81@example.org,STORE
11/23/2025,9791000000089,2,14.52,ines.michel52@example.org,boutique
05/02/2026,9798433379008,1,9.79,arthur.roux64@example.org,site
01/25/2026,9780071614146,1,38.82,gabriel.bernard54@example.org,boutique
02/02/2026,9780380813018,1,14.99,emma.morel54@example.org,Magasin
10/09/2025,9781594634956,2,6.73,lucas.martin10@example.org,STORE
06/14/2026,978031212598X,1,12.66,lea.michel64@example.org,marketplace
07/28/2025,9780205176076,1,24.75,lucas.dubois23@example.org,STORE
10/16/2025,9789507511288,1,15.39,manon.martin91@example.org,Magasin
01/04/2026,9782207256343,1,33.23,zoe.roux7@example.org,MP
09/02/2025,9781559348263,3,7.33,jade.michel96@example.org,en ligne
01/24/2026,9780063429147,1,16.19,nathan.leroy31@example.org,web
05/07/2026,9788447369225,1,28.24,zoe.michel71@example.org,site
02/25/2026,9781250275042,2,38.86,arthur.fournier61@example.org,magasin
11/03/2025,9781982127794,1,27.24,louis.dubois4@example.org,STORE
11/01/2025,9781478312932,1,33.44,arthur.moreau88@example.org,boutique
