DATE_VENTE,ISBN,QUANTITE,PRIX_UNITAIRE,EMAIL_CLIENT,CANAL
2025-07-27,9780534359454,3,27.5,theo.morel18@example.org,Magasin
2026-06-27,9781737507710,1,22.59,lucas.leroy95@example.org,Magasin
2026-06-29,9780786918065,1,5.69,louis.morel98@example.org,magasin
2026-05-07,9783442424504,1,11.93,emma.martin78@example.org,Magasin
2026-06-29,978031212598X,1,24.72,gabriel.david50@example.org,Magasin
2026-02-10,9780810997516,1,12.59,lea.lefebvre32@example.org,boutique
2026-04-09,9786055943370,1,26.77,gabriel.fournier53@example.org,site
2026-03-20,9781101192740,1,30.13,ines.simon35@example.org,boutique
2026-02-03,9791000001019,1,26.06,hugo.lefebvre68@example.org,marketplace
2025-08-14,9791000000379,1,18.54,nathan.martin41@example.org,STORE
2025-09-05,9780785740568,1,25.26,lea.bertrand23@example.org,boutique
2025-11-19,9781653656752,2,8.08,lucas.david63@example.org,site
2025-11-28,9781250095275,2,14.29,nathan.fournier26@example.org,MP
2026-04-07,9780575073241,1,9.86,arthur.lefebvre4@example.org,magasin
2025-10-19,9781844135844,1,19.18,jules.bernard7@example.org,Magasin
2026-06-30,9781512157055,1,35.96,jade.morel67@example.org,Magasin
2025-07-10,9786070793677,1,5.17,nathan.david73@example.org,place de marché
2025-07-29,9781804990278,1,10.62,camille.bernard54@example.org,site
2025-10-06,9781119997559,1,28.66,jules.leroy86@example.org,marketplace
2025-09-20,9781847941480,1,36.17,emma.bernard76@example.org,web
2026-04-20,9781495096105,1,24.14,nathan.roux51@example.org,en ligne
2025-12-30,9782226479822,1,33.44,theo.bernard85@example.org,magasin
2026-03-10,9780606374224,1,9.41,gabriel.lefebvre24@example.org,boutique
2025-10-04,9782843623103,1,25.23,manon.michel91@example.org,online
2026-04-07,9780198118756,1,23.73,ines.moreau34@example.org,Magasin
2026-06-16,9783502551638,1,7.8,lucas.morel43@example.org,Magasin
2025-08-19,9780263096378,1,27.94,jules.david20@example.org,en ligne
2026-01-07,9781409413615,2,6.83,jules.roux97@example.org,online
2026-06-15,9780449024959,1,16.46,camille.bernard89@example.org,boutique
2025-12-23,9780300278576,1,18.78,emma.fournier24@example.org,Magasin
2026-02-25,9782018055524,1,20.47,hugo.morel67@example.org,Magasin
2025-12-26,9780071614146,3,27.43,camille.david4@example.org,boutique
2026-04-27,9780312856830,0,23.86,louis.david88@example.org,marketplace
2025-07-03,9791000000389,1,6.17,arthur.morel66@example.org,en ligne
2025-07-06,9780340874592,1,38.28,camille.laurent21@example.org,Magasin
2026-03-13,9781442006188,1,12.17,nathan.morel63@example.org,web
2025-07-01,9781491543382,1,17.33,manon.roux23@example.org,Magasin
2025-07-18,9781119675655,1,38.46,jade.morel30@example.org,boutique
2026-06-16,9786155514142,1,17.85,arthur.morel6@example.org,STORE
2026-05-13,9791000000949,3,37.65,gabriel.bertrand60@example.org,STORE
2026-06-02,9780451622891,1,39.5,nathan.lefebvre14@example.org,STORE
2025-08-10,9791000000839,1,20.71,jules.simon21@example.org,en ligne
2026-02-22,9791000000919,1,25.5,manon.fournier14@example.org,Magasin
2026-06-18,9780385094436,1,25.38,louis.martin88@example.org,STORE
2025-09-05,9780198118312,1,35.55,jules.laurent54@example.org,STORE
2025-08-21,9781483928197,1,37.65,lea.michel12@example.org,magasin
2025-11-17,9791000000949,1,18.67,ines.bertrand68@example.org,magasin
2026-05-26,9788408282952,1,36.14,hugo.leroy51@example.org,boutique
2025-09-08,9788408282952,1,29.28,chloe.bertrand85@example.org,site
2026-04-11,9781534438545,1,4.88,arthur.dubois9@example.org,boutique
2026-04-16,9780003303377,1,9.78,louis.moreau93@example.org,STORE
2026-02-17,9791000000149,2,16.54,jules.lefebvre2@example.org,magasin
2025-12-13,9781737507710,1,39.06,chloe.martin23@example.org,boutique
2026-01-07,9789189298323,2,6.12,chloe.bernard32@example.org,Magasin
2026-06-12,9781439116050,1,28.36,emma.bertrand5@example.org,Magasin
2026-06-18,9780593105061,1,35.91,ines.dubois9@example.org,web
2025-10-24,9781108057875,1,29.51,theo.laurent64@example.org,magasin
2025-11-09,9780613135818,2,27.51,lea.simon25@example.org,online
2026-01-03,9791000000789,1,24.96,zoe.lefebvre85@example.org,magasin
2025-08-06,9791000000159,0,20.92,theo.morel35@example.org,place de marché
2026-05-22,9798479401305,1,39.32,emma.michel42@example.org,web
2026-01-29,9791000000899,1,34.28,theo.laurent4@example.org,STORE
2026-01-31,9780230015760,2,10.62,louis.michel30@example.org,STORE
2025-09-09,9781419772955,1,35.93,arthur.bertrand46@example.org,Magasin
2026-03-07,9780786936137,1,37.83,hugo.bernard65@example.org,place de marché
2026-03-30,9781841593326,1,4.57,chloe.bertrand83@example.org,boutique
2026-03-28,9782724215908,1,29.02,camille.laurent8@example.org,en ligne
2026-06-04,9783734163357,1,14.22,louis.leroy67@example.org,STORE
2026-02-23,9780380813018,0,20.63,nathan.michel41@example.org,magasin
2025-08-11,9789953432540,1,30.33,louis.fournier52@example.org,marketplace
2026-05-31,9788439707929,1,5.11,chloe.simon98@example.org,en ligne
2026-02-20,9780263121407,1,20.07,jade.lefebvre99@example.org,STORE
2026-01-23,9780547524009,1,9.86,nathan.lefebvre34@example.org,web
2025-10-22,9791000000139,1,19.94,emma.fournier8@example.org,magasin
2026-03-26,9780349440187,3,14.17,hugo.fournier35@example.org,STORE
2025-10-13,9780805035650,1,26.73,lea.dubois19@example.org,magasin
2025-12-21,9781335468437,2,39.43,hugo.roux32@example.org,magasin
2025-10-31,9780449024959,1,36.44,ines.david67@example.org,web
2025-10-21,9780739370971,1,9.93,emma.bertrand5@example.org,Magasin
2025-12-18,9791000000659,2,29.11,lea.dubois72@example.org,STORE
2025-11-25,9780263778809,2,38.35,ines.simon53@example.org,magasin
2025-11-15,9781532913686,1,31.06,gabriel.fournier50@example.org,STORE
2026-03-19,9781974052264,1,11.73,jade.roux65@example.org,web
2025-12-24,9780345913722,1,11.43,nathan.morel86@example.org,online
2025-10-13,9780736628174,2,18.41,theo.moreau57@example.org,magasin
2026-01-19,9780263098839,1,13.77,camille.martin43@example.org,Magasin
2026-04-08,9780373024209,1,29.78,louis.lefebvre13@example.org,STORE
2025-11-11,9780241968154,2,28.19,arthur.leroy42@example.org,boutique
2025-09-28,9791000000239,1,21.43,nathan.lefebvre12@example.org,Magasin
2025-10-07,9780061097317,1,17.77,arthur.leroy20@example.org,online
2026-04-12,9781407034461,1,10.16,lea.laurent32@example.org,Magasin
2025-12-01,9781668010303,1,29.94,nathan.moreau6@example.org,online
2025-09-07,9781737507710,1,12.29,camille.roux3@example.org,boutique
2025-10-23,9789994910458,1,27.87,hugo.moreau36@example.org,site
2025-07-23,9780140256352,2,39.01,zoe.david38@example.org,boutique
2026-05-18,9781594131523,1,38.49,lucas.simon61@example.org,MP
2025-10-31,9780718188740,1,6.51,jade.fournier32@example.org,web
2026-02-04,9791000000079,1,6.18,manon.leroy72@example.org,Magasin
2026-02-12,9789684196780,1,26.37,jade.roux38@example.org,Magasin
2026-03-15,9798705893843,1,34.8,ines.simon44@example.org,magasin
2026-06-04,9781250879530,1,15.44,nathan.bernard44@example.org,site
2025-10-05,9780606404518,1,35.89,ines.moreau67@example.org,magasin
2025-12-27,9780747557777,1,16.33,lucas.simon30@example.org,STORE
2026-04-11,9780999174067,2,22.54,gabriel.fournier15@example.org,boutique
2026-04-19,9780241950265,3,32.35,lucas.david58@example.org,boutique
2025-12-04,9780970373908,1,18.13,ines.david17@example.org,STORE
2025-12-27,9780743486286,1,19.18,gabriel.morel64@example.org,magasin
2026-02-03,9791000000019,3,13.05,chloe.michel11@example.org,site
2025-12-27,9781955876162,1,24.9,hugo.fournier1@example.org,place de marché
2025-10-22,9781958943366,1,13.54,camille.lefebvre66@example.org,magasin
2025-08-10,9780356502410,1,28.36,jade.dubois78@example.org,Magasin
2025-07-19,9780241573754,1,23.89,nathan.michel87@example.org,place de marché
2026-03-03,9780671702427,1,20.63,camille.david25@example.org,Magasin
2025-09-02,9781975618674,1,10.52,nathan.moreau86@example.org,web
2026-06-22,9780060934514,1,33.69,hugo.moreau36@example.org,STORE
2025-08-11,9780840356451,1,21.86,jules.martin64@example.org,en ligne
2026-05-20,9791000000569,1,30.46,nathan.martin3@example.org,site
2026-05-28,9788804686521,1,25.48,manon.moreau81@example.org,online
2025-09-02,9789189298323,1,9.68,jules.simon69@example.org,marketplace
2025-08-31,9780373107148,1,10.09,theo.michel97@example.org,STORE
2026-05-29,9781417733675,1,27.33,gabriel.fournier3@example.org,boutique
2026-03-08,9781436253796,1,24.24,ines.bernard57@example.org,STORE
2025-09-27,9780007493579,1,37.16,gabriel.david61@example.org,place de marché
2025-08-26,9781512486162,1,32.9,zoe.michel9@example.org,boutique
2025-08-18,9788804507727,1,13.02,nathan.roux12@example.org,site
2026-04-13,9789715502016,1,12.87,camille.david18@example.org,place de marché
2025-09-02,9780785748663,1,12.8,chloe.bertrand73@example.org,magasin
2025-09-05,9781444833386,1,32.67,camille.david5@example.org,Magasin
2025-12-20,9780449024959,1,17.74,camille.roux44@example.org,site
2025-10-28,9780439451932,1,12.12,theo.leroy31@example.org,STORE
2025-07-12,9780843960044,2,17.27,gabriel.michel17@example.org,Magasin
2026-04-01,9780553350630,1,31.32,camille.leroy75@example.org,magasin
2025-11-16,9781857157246,1,29.36,gabriel.bernard97@example.org,online
2025-08-05,9781476878584,2,18.3,theo.simon44@example.org,web
2025-09-06,9791000000899,1,25.56,louis.leroy78@example.org,Magasin
2026-01-10,9782207256343,3,10.65,arthur.martin2@example.org,STORE
2026-01-02,9781466864580,2,32.26,zoe.lefebvre54@example.org,site
2025-11-18,9780792443483,3,30.12,nathan.dubois21@example.org,Magasin
2025-09-10,9780486243832,1,34.78,louis.bertrand18@example.org,Magasin
2025-08-25,9781424231355,1,37.87,camille.martin84@example.org,en ligne
2026-04-26,9780805243550,1,17.34,nathan.fournier40@example.org,web
2025-09-02,9780718033323,1,7.52,arthur.dubois96@example.org,web
2026-02-01,9780671692650,1,18.0,jade.lefebvre46@example.org,Magasin
2025-07-05,9780064601375,1,17.32,theo.roux86@example.org,web
2025-07-07,9780606011938,1,31.84,theo.fournier85@example.org,boutique
2025-08-03,9780811806404,1,8.96,emma.simon52@example.org,boutique
2025-08-05,9780230015760,2,8.96,arthur.david7@example.org,marketplace
2025-07-10,9780439451932,1,7.76,lea.fournier47@example.org,boutique
2026-03-16,9780718188740,1,20.46,emma.morel86@example.org,Magasin
2025-10-28,9781421809083,1,27.34,jade.bernard54@example.org,boutique
2026-05-02,9781984819574,1,29.92,lea.roux63@example.org,web
2026-02-07,9781804990278,2,4.95,ines.dubois87@example.org,Magasin
2026-02-06,9780756956691,2,38.87,jade.david86@example.org,online
2026-04-25,9788324592265,2,6.4,zoe.leroy50@example.org,boutique
2025-09-16,9781119997559,2,28.16,hugo.morel24@example.org,boutique
2026-03-19,9781408999233,2,35.02,camille.bertrand88@example.org,STORE
2025-07-21,9781958943366,1,29.78,zoe.bernard69@example.org,magasin
2025-10-27,9798990047709,1,8.1,arthur.michel30@example.org,marketplace
2026-05-15,9781574535587,1,28.52,theo.michel45@example.org,en ligne
2025-09-29,9782702411933,1,38.23,camille.laurent63@example.org,site
2026-01-04,9781521105948,1,28.8,manon.morel1@example.org,magasin
2026-03-17,9780375507250,1,31.43,chloe.dubois8@example.org,site
2025-10-08,9781440673641,1,22.43,nathan.david92@example.org,online
2026-01-13,9780606309912,3,26.85,chloe.simon49@example.org,online
2026-03-14,9781408999233,1,14.97,louis.bernard21@example.org,magasin
2026-01-30,9781101216347,1,32.75,camille.simon28@example.org,STORE
2026-03-05,9780486851921,1,32.28,lea.morel39@example.org,site
2025-08-17,9780393963298,2,22.91,theo.leroy17@example.org,Magasin
2025-07-09,9780373706099,1,14.43,camille.lefebvre93@example.org,magasin
2026-04-21,9798479401305,1,36.28,manon.fournier33@example.org,boutique
2026-03-21,9781433207938,1,30.83,emma.laurent94@example.org,web
2025-10-22,9780394179933,1,14.62,louis.fournier82@example.org,boutique
2025-08-03,9780881039108,1,28.94,hugo.michel15@example.org,boutique
2025-11-14,9780843934632,1,18.52,lea.lefebvre95@example.org,en ligne
2025-08-15,9787555027706,3,7.85,emma.fournier2@example.org,boutique
2025-08-02,9788418550928,1,36.6,jade.david16@example.org,site
2025-08-04,9789388144346,2,5.36,arthur.lefebvre30@example.org,Magasin
2025-12-10,9780679729525,1,23.74,jules.simon50@example.org,magasin
2025-09-18,9781665141253,1,19.12,camille.morel41@example.org,magasin
2026-04-08,9780849202476,1,21.27,jules.simon85@example.org,online
2025-07-20,9781936719112,1,14.87,jules.laurent68@example.org,Magasin
2026-01-02,9780736423298,1,37.97,lea.morel40@example.org,marketplace
2026-03-11,9781963349023,1,11.33,jules.morel7@example.org,boutique
2026-06-22,9780060934514,3,14.07,lea.martin57@example.org,STORE
2026-02-08,9780345913722,1,10.07,zoe.david52@example.org,magasin
2025-10-23,9791000000329,1,36.47,hugo.simon51@example.org,web
2025-11-21,9781440758089,3,34.16,theo.simon59@example.org,magasin
2025-08-11,9798855127560,1,13.97,zoe.moreau16@example.org,marketplace
2026-01-07,9780030314810,1,6.25,camille.fournier74@example.org,boutique
2026-06-30,9798532977518,1,5.6,arthur.moreau60@example.org,marketplace
2025-07-25,9780470083734,2,22.26,zoe.michel63@example.org,web
2026-01-21,9781593976064,1,18.37,arthur.bertrand42@example.org,magasin
2025-12-17,9781448105618,1,33.84,camille.bertrand59@example.org,Magasin
2026-01-18,9791000000359,2,30.14,arthur.dubois79@example.org,STORE
2026-04-07,9789000338658,1,11.73,jade.laurent50@example.org,magasin
2025-11-24,9789333394918,1,9.26,jules.simon44@example.org,boutique
2026-05-20,9791000000239,1,8.55,jules.fournier91@example.org,boutique
2025-12-11,9782702400500,1,26.59,hugo.roux13@example.org,online
2026-05-26,9783548362595,3,35.91,gabriel.dubois2@example.org,boutique
2026-05-02,9789710843480,1,27.09,manon.martin57@example.org,site
2026-05-05,9781559348263,2,22.56,manon.morel58@example.org,magasin
2026-05-14,9780141378893,3,14.06,gabriel.moreau26@example.org,online
2025-10-07,9791020900593,1,25.68,theo.laurent93@example.org,magasin
2025-09-14,9780316479264,2,24.06,louis.dubois31@example.org,MP
2026-02-17,9781436223881,1,27.83,jade.bertrand86@example.org,Magasin
2025-10-09,9781850890362,2,39.05,zoe.simon6@example.org,en ligne
2025-12-03,9781538739723,1,31.94,lucas.simon58@example.org,en ligne
2025-11-21,9781432899011,1,37.8,lea.dubois97@example.org,boutique
2025-07-05,9788834706107,1,14.83,manon.morel32@example.org,magasin
2026-05-02,9780263053043,1,10.99,lucas.fournier60@example.org,magasin
2025-09-19,9780679728054,1,16.61,nathan.morel89@example.org,web
2025-08-27,9780739371077,3,9.64,zoe.morel27@example.org,magasin
2025-08-03,9780312472849,1,38.44,camille.martin93@example.org,online
2026-05-01,9780049140172,3,7.2,jade.simon28@example.org,magasin
2026-04-19,9798701966169,1,34.32,camille.leroy76@example.org,Magasin
2026-02-02,9791000000809,1,12.18,gabriel.fournier2@example.org,Magasin
2025-09-10,9780879015497,1,7.66,jules.bertrand86@example.org,STORE
2026-01-01,9781089496199,2,32.5,arthur.michel63@example.org,online
2026-04-26,9780792443483,1,12.25,jules.roux84@example.org,magasin
2025-12-10,9798475273906,2,36.15,gabriel.simon59@example.org,marketplace
2025-08-23,9780393925340,2,19.61,zoe.michel18@example.org,en ligne
2026-05-20,9780785740568,1,15.96,manon.michel25@example.org,Magasin
2026-05-12,9781473888357,1,13.21,nathan.bertrand10@example.org,boutique
2025-09-26,9780375507250,1,30.94,nathan.martin13@example.org,en ligne
2026-01-04,9780862201234,1,30.2,chloe.morel88@example.org,online
2026-06-08,9781250095275,0,39.1,nathan.dubois45@example.org,Magasin
2026-03-15,9783550068751,1,22.82,camille.simon79@example.org,STORE
2025-08-04,9780765314673,1,8.77,chloe.fournier41@example.org,magasin
2026-03-24,9780373104383,1,35.3,jade.moreau22@example.org,boutique
2025-10-04,9780671868376,2,4.92,lucas.michel87@example.org,web
2025-07-26,978147893377X,1,11.26,jules.morel63@example.org,online
2026-05-14,9780241753859,2,31.47,chloe.laurent75@example.org,en ligne
2025-09-10,9781512486162,1,12.25,chloe.morel77@example.org,STORE
2026-01-22,9791000000119,1,9.12,zoe.dubois82@example.org,place de marché
2026-04-19,9781713532125,1,19.34,arthur.moreau68@example.org,en ligne
2025-07-30,9781974343539,2,14.69,jules.simon71@example.org,place de marché
2025-11-24,9780517202753,1,5.31,hugo.leroy11@example.org,online
2026-03-12,9780807275122,1,25.0,manon.dubois33@example.org,Magasin
2026-06-19,9780860099697,1,29.44,nathan.roux53@example.org,online
2026-03-26,9780451493835,2,6.43,emma.moreau97@example.org,site
2025-09-15,9783499174766,1,37.37,jade.martin7@example.org,Magasin
2026-06-21,9780575085688,1,6.53,ines.leroy2@example.org,STORE
2025-08-24,9780393656435,2,30.95,nathan.bernard45@example.org,STORE
2026-06-17,9780070078727,1,29.17,lea.fournier32@example.org,magasin
2026-01-02,9780894108815,1,28.68,lucas.laurent96@example.org,magasin
2025-08-07,9781847941831,1,7.47,louis.bernard45@example.org,web
2025-08-10,9789799831750,0,29.72,gabriel.martin7@example.org,web
2025-07-20,9781250819369,1,25.5,theo.laurent23@example.org,boutique
2025-10-10,9781434267276,1,16.96,hugo.michel74@example.org,en ligne
2025-11-10,9788170554240,1,22.04,theo.bertrand75@example.org,marketplace
2025-08-31,9781478312932,1,27.07,emma.bertrand70@example.org,en ligne
2025-08-29,9781561005987,1,19.29,arthur.martin44@example.org,boutique
2025-07-20,9788934977841,1,37.02,zoe.lefebvre20@example.org,Magasin
2026-01-02,9791000000159,1,23.67,ines.roux76@example.org,magasin
2026-06-24,9781594634956,2,20.26,louis.fournier38@example.org,en ligne
2026-02-17,9780030314810,1,26.03,arthur.laurent96@example.org,online
2025-08-20,9791000000569,1,18.52,nathan.moreau1@example.org,online
2025-11-19,9780263853087,1,6.83,ines.leroy83@example.org,Magasin
2026-05-30,9786051719092,1,5.42,lea.dubois32@example.org,web
2025-11-03,9791000000419,1,12.02,jules.fournier10@example.org,web
2025-07-27,9786155514142,1,14.48,camille.moreau24@example.org,boutique
2026-01-08,9780833566980,1,18.74,ines.moreau73@example.org,boutique
2026-05-08,9781436223881,1,32.42,gabriel.laurent83@example.org,online
2025-12-11,9780593724309,1,22.97,jade.laurent31@example.org,boutique
2026-01-14,9780394179933,2,31.94,manon.michel43@example.org,place de marché
2025-07-15,9781974343539,1,13.38,nathan.moreau11@example.org,magasin
2026-04-12,9780736614016,1,14.43,manon.martin17@example.org,Magasin
2026-02-28,9781974052264,0,30.81,lucas.dubois98@example.org,boutique
2026-03-26,9780313207693,1,37.3,hugo.morel76@example.org,STORE
2025-09-03,9783453161818,1,35.18,louis.lefebvre31@example.org,web
2026-03-01,9798893310856,1,18.82,ines.bertrand1@example.org,boutique
2025-10-10,9781976087097,1,19.2,lucas.moreau68@example.org,web
2026-04-26,9791000000989,1,36.73,ines.dubois82@example.org,Magasin
2025-11-15,9782018055524,3,20.14,zoe.fournier16@example.org,Magasin
2026-01-11,9780007164943,2,28.38,jules.dubois51@example.org,online
2025-10-13,9781405617093,2,18.81,camille.laurent99@example.org,magasin
2026-02-23,9788308048948,3,36.91,nathan.fournier74@example.org,MP
2025-10-16,9780470104248,1,19.9,zoe.martin11@example.org,en ligne
2025-09-16,9780451118103,1,38.93,gabriel.lefebvre77@example.org,web
2026-05-15,978006024803X,1,5.35,louis.morel61@example.org,magasin
2026-03-26,9780833566980,1,36.47,louis.roux81@example.org,STORE
2026-06-18,9781984842305,3,16.91,jade.roux14@example.org,site
2025-09-17,9780330471138,1,11.21,lucas.simon56@example.org,Magasin
2025-07-26,9780140209723,1,31.71,jules.leroy44@example.org,boutique
2025-10-05,9780793546534,1,29.62,lea.david84@example.org,Magasin
2025-12-03,9789020554113,1,10.22,ines.martin10@example.org,site
2026-06-22,9780205060450,1,26.05,lea.david21@example.org,Magasin
2025-09-08,9781071068403,1,35.07,emma.moreau38@example.org,boutique
2026-02-26,9780393091809,1,17.51,lea.leroy34@example.org,Magasin
2025-10-21,9780800854539,1,8.65,lucas.bernard85@example.org,site
2025-12-11,9791000000579,1,10.15,zoe.bertrand14@example.org,magasin
2026-05-07,9780380395606,1,36.2,jade.simon98@example.org,online
2025-08-14,9780373511648,1,27.28,jules.fournier62@example.org,Magasin
2026-03-18,9781417701155,1,24.51,zoe.bertrand33@example.org,magasin
2026-03-21,9780756992248,0,36.89,lucas.moreau53@example.org,web
2025-11-19,9780131105409,1,20.6,chloe.david97@example.org,web
2025-07-14,9781590073995,1,20.54,emma.martin3@example.org,web
2026-01-09,9781536681949,2,34.17,jade.moreau81@example.org,Magasin
2026-03-01,9780736614016,1,36.86,gabriel.michel42@example.org,STORE
2026-02-23,9780671827038,2,35.67,nathan.bernard67@example.org,site
2026-01-12,9798990047709,1,13.12,chloe.lefebvre30@example.org,web
2026-01-17,9781718104273,2,24.14,theo.bertrand72@example.org,en ligne
2026-05-11,9780241269657,1,27.39,camille.roux39@example.org,online
2025-11-02,9780263137958,1,11.68,arthur.moreau51@example.org,web
2026-03-17,9781547236091,1,27.47,emma.moreau15@example.org,STORE
2026-05-29,9781665141253,1,18.93,emma.bertrand49@example.org,Magasin
2025-07-18,9781605090962,1,25.94,ines.bernard39@example.org,site
2025-09-06,9780575038479,3,18.37,gabriel.moreau17@example.org,en ligne
2026-06-19,9780263757538,1,14.55,gabriel.laurent53@example.org,magasin
2025-07-08,9780061557064,1,10.18,gabriel.bernard60@example.org,MP
2025-08-29,9781561005987,1,19.29,arthur.martin44@example.org,boutique
2025-10-28,9781408982884,1,34.26,gabriel.morel34@example.org,boutique
2025-09-20,9781471198144,1,18.17,arthur.fournier40@example.org,place de marché
